Time,X,Y,Z
2025-03-26T15:53:08.676,        NaN,         NaN,         NaN
2025-03-26T15:53:08.676,        NaN,         NaN,         NaN
2025-03-26T15:53:08.764,        NaN,         NaN,         NaN
2025-03-26T15:53:24.632,        NaN,         NaN,         NaN
2025-03-26T15:53:24.632,     109.23,      197.32,      140.75
2025-03-26T15:53:25.148,     109.23,      197.32,      140.74
2025-03-26T15:53:25.665,     109.23,      197.34,      140.77
2025-03-26T15:53:26.231,     109.23,      197.33,      140.74
2025-03-26T15:53:26.731,     109.24,      197.32,      140.75
2025-03-26T15:53:27.246,     109.23,      197.32,      140.72
2025-03-26T15:53:27.764,     109.22,      197.35,      140.78
2025-03-26T15:53:28.280,     109.21,      197.34,      140.79
2025-03-26T15:53:28.796,     109.23,      197.34,      140.77
2025-03-26T15:53:29.344,     109.23,      197.32,      140.78
2025-03-26T15:53:29.862,     109.23,      197.34,      140.76
2025-03-26T15:53:30.412,     109.23,      197.34,      140.71
2025-03-26T15:53:30.925,     109.23,      197.33,      140.74
2025-03-26T15:53:31.441,     109.23,      197.31,      140.78
2025-03-26T15:53:31.960,     109.23,      197.33,      140.72
2025-03-26T15:53:32.510,     109.23,      197.32,      140.75
2025-03-26T15:53:33.023,     109.24,      197.32,      140.73
2025-03-26T15:53:33.556,     109.24,      197.31,      140.75
2025-03-26T15:53:34.074,     109.23,      197.32,      140.78
2025-03-26T15:53:34.588,     109.22,      197.33,      140.76
2025-03-26T15:53:35.106,     109.23,      197.34,      140.78
2025-03-26T15:53:35.655,     109.23,      197.32,      140.75
2025-03-26T15:53:36.169,     109.21,      197.32,      140.74
2025-03-26T15:53:36.736,     109.22,      197.34,      140.72
2025-03-26T15:53:37.238,     109.23,      197.35,      140.75
2025-03-26T15:53:37.755,     109.23,      197.36,      140.79
2025-03-26T15:53:38.268,     109.23,      197.33,      140.70
2025-03-26T15:53:38.832,     109.23,      197.34,      140.75
2025-03-26T15:53:39.333,     109.22,      197.33,      140.78
2025-03-26T15:53:39.852,     109.23,      197.31,      140.76
2025-03-26T15:53:40.366,     109.24,      197.33,      140.73
2025-03-26T15:53:40.933,     109.24,      197.32,      140.77
2025-03-26T15:53:41.497,     109.24,      197.34,      140.72
2025-03-26T15:53:41.997,     109.23,      197.33,      140.77
2025-03-26T15:53:42.513,     109.22,      197.33,      140.76
2025-03-26T15:53:43.030,     109.24,      197.33,      140.77
2025-03-26T15:53:43.546,     109.25,      197.33,      140.70
2025-03-26T15:53:44.046,     109.22,      197.32,      140.74
2025-03-26T15:53:44.561,     109.22,      197.32,      140.77
2025-03-26T15:53:45.079,     109.22,      197.34,      140.77
2025-03-26T15:53:45.627,     109.24,      197.35,      140.79
2025-03-26T15:53:46.144,     109.23,      197.34,      140.75
2025-03-26T15:53:46.659,     109.22,      197.32,      140.75
2025-03-26T15:53:47.209,     109.23,      197.33,      140.74
2025-03-26T15:53:47.724,     109.22,      197.32,      140.76
2025-03-26T15:53:48.242,     109.24,      197.34,      140.76
2025-03-26T15:53:48.756,     109.23,      197.34,      140.76
2025-03-26T15:53:49.272,     109.22,      197.32,      140.78
2025-03-26T15:53:49.772,     109.23,      197.32,      140.72
2025-03-26T15:53:50.289,     109.23,      197.33,      140.78
2025-03-26T15:53:50.888,     109.24,      197.34,      140.77
2025-03-26T15:53:51.388,     109.23,      197.34,      140.75
2025-03-26T15:53:51.902,     109.23,      197.32,      140.76
2025-03-26T15:53:52.403,     109.25,      197.32,      140.75
2025-03-26T15:53:52.919,     109.22,      197.32,      140.76
2025-03-26T15:53:53.435,     109.24,      197.33,      140.77
2025-03-26T15:53:53.951,     109.23,      197.32,      140.75
2025-03-26T15:53:54.451,     109.22,      197.32,      140.77
2025-03-26T15:53:54.967,     109.22,      197.35,      140.74
2025-03-26T15:53:55.467,     109.22,      197.34,      140.81
2025-03-26T15:53:55.984,     109.23,      197.31,      140.75
2025-03-26T15:53:56.498,     109.23,      197.35,      140.76
2025-03-26T15:53:57.014,     109.22,      197.32,      140.72
2025-03-26T15:53:57.563,     109.23,      197.34,      140.77
2025-03-26T15:53:58.083,     109.24,      197.33,      140.76
2025-03-26T15:53:58.596,     109.23,      197.33,      140.75
2025-03-26T15:53:59.098,     109.24,      197.32,      140.77
2025-03-26T15:53:59.610,     109.24,      197.32,      140.75
2025-03-26T15:54:00.129,     109.24,      197.33,      140.79
2025-03-26T15:54:00.643,     109.24,      197.33,      140.78
2025-03-26T15:54:01.143,     109.23,      197.33,      140.77
2025-03-26T15:54:01.660,     109.22,      197.35,      140.77
2025-03-26T15:54:02.177,     109.23,      197.34,      140.77
2025-03-26T15:54:02.725,     109.23,      197.32,      140.73
2025-03-26T15:54:03.242,     109.22,      197.35,      140.76
2025-03-26T15:54:03.757,     109.23,      197.34,      140.76
2025-03-26T15:54:04.256,     109.24,      197.34,      140.79
2025-03-26T15:54:04.775,     109.23,      197.34,      140.75
2025-03-26T15:54:05.290,     109.24,      197.32,      140.76
2025-03-26T15:54:05.806,     109.24,      197.33,      140.75
2025-03-26T15:54:06.322,     109.24,      197.32,      140.75
2025-03-26T15:54:06.836,     109.23,      197.32,      140.74
2025-03-26T15:54:07.352,     109.23,      197.32,      140.77
2025-03-26T15:54:07.853,     109.23,      197.33,      140.79
2025-03-26T15:54:08.568,     109.23,      197.33,      140.74
2025-03-26T15:54:09.069,     109.24,      197.32,      140.77
2025-03-26T15:54:09.633,     109.23,      197.34,      140.77
2025-03-26T15:54:10.135,     109.24,      197.34,      140.77
2025-03-26T15:54:10.649,     109.22,      197.33,      140.76
2025-03-26T15:54:11.166,     109.23,      197.36,      140.78
2025-03-26T15:54:11.669,     109.23,      197.34,      140.76
2025-03-26T15:54:12.182,     109.22,      197.33,      140.74
2025-03-26T15:54:12.699,     109.22,      197.33,      140.78
2025-03-26T15:54:13.215,     109.24,      197.34,      140.78
2025-03-26T15:54:13.716,     109.24,      197.33,      140.76
2025-03-26T15:54:14.230,     109.23,      197.32,      140.76
2025-03-26T15:54:14.747,     109.23,      197.34,      140.75
2025-03-26T15:54:15.294,     109.23,      197.33,      140.76
2025-03-26T15:54:15.812,     109.22,      197.33,      140.77
2025-03-26T15:54:16.327,     109.22,      197.34,      140.76
2025-03-26T15:54:16.826,     109.24,      197.34,      140.80
2025-03-26T15:54:17.342,     109.23,      197.34,      140.79
2025-03-26T15:54:17.861,     109.24,      197.34,      140.78
2025-03-26T15:54:18.376,     109.22,      197.32,      140.80
2025-03-26T15:54:18.875,     109.24,      197.34,      140.83
2025-03-26T15:54:19.391,     109.23,      197.34,      140.79
2025-03-26T15:54:19.909,     109.24,      197.33,      140.79
2025-03-26T15:54:20.424,     109.22,      197.34,      140.81
2025-03-26T15:54:20.972,     109.22,      197.35,      140.81
2025-03-26T15:54:21.488,     109.22,      197.34,      140.76
2025-03-26T15:54:22.004,     109.24,      197.31,      140.76
2025-03-26T15:54:22.519,     109.22,      197.32,      140.76
2025-03-26T15:54:23.022,     109.23,      197.33,      140.76
2025-03-26T15:54:23.537,     109.23,      197.33,      140.76
2025-03-26T15:54:24.053,     109.23,      197.35,      140.79
2025-03-26T15:54:24.568,     109.22,      197.31,      140.77
2025-03-26T15:54:25.068,     109.22,      197.34,      140.75
2025-03-26T15:54:25.585,     109.23,      197.34,      140.80
2025-03-26T15:54:26.200,     109.23,      197.36,      140.78
2025-03-26T15:54:26.701,     109.22,      197.34,      140.79
2025-03-26T15:54:27.215,     109.24,      197.36,      140.80
2025-03-26T15:54:27.731,     109.25,      197.34,      140.75
2025-03-26T15:54:28.281,     109.23,      197.33,      140.77
2025-03-26T15:54:28.798,     109.24,      197.35,      140.74
2025-03-26T15:54:29.313,     109.22,      197.33,      140.76
2025-03-26T15:54:29.829,     109.21,      197.33,      140.79
2025-03-26T15:54:30.329,     109.23,      197.32,      140.80
2025-03-26T15:54:30.847,     109.23,      197.35,      140.76
2025-03-26T15:54:31.360,     109.23,      197.34,      140.80
2025-03-26T15:54:31.863,     109.23,      197.33,      140.78
2025-03-26T15:54:32.376,     109.23,      197.33,      140.77
2025-03-26T15:54:32.925,     109.22,      197.33,      140.78
2025-03-26T15:54:33.445,     109.24,      197.34,      140.73
2025-03-26T15:54:33.959,     109.24,      197.34,      140.78
2025-03-26T15:54:34.507,     109.24,      197.31,      140.77
2025-03-26T15:54:35.024,     109.24,      197.31,      140.73
2025-03-26T15:54:35.541,     109.24,      197.34,      140.76
2025-03-26T15:54:36.056,     109.24,      197.34,      140.78
2025-03-26T15:54:36.556,     109.25,      197.33,      140.79
2025-03-26T15:54:37.073,     109.23,      197.34,      140.81
2025-03-26T15:54:37.591,     109.24,      197.33,      140.75
2025-03-26T15:54:38.136,     109.21,      197.33,      140.75
2025-03-26T15:54:38.653,     109.23,      197.33,      140.76
2025-03-26T15:54:39.170,     109.24,      197.33,      140.79
2025-03-26T15:54:39.685,     109.22,      197.32,      140.76
2025-03-26T15:54:40.185,     109.23,      197.32,      140.76
2025-03-26T15:54:40.702,     109.23,      197.33,      140.77
2025-03-26T15:54:41.251,     109.23,      197.33,      140.81
2025-03-26T15:54:41.768,     109.22,      197.32,      140.78
2025-03-26T15:54:42.285,     109.22,      197.32,      140.76
2025-03-26T15:54:42.832,     109.23,      197.33,      140.79
2025-03-26T15:54:43.349,     109.22,      197.33,      140.76
2025-03-26T15:54:43.880,     109.21,      197.33,      140.76
2025-03-26T15:54:44.397,     109.23,      197.33,      140.79
2025-03-26T15:54:44.913,     109.24,      197.31,      140.78
2025-03-26T15:54:45.431,     109.23,      197.33,      140.79
2025-03-26T15:54:45.930,     109.23,      197.36,      140.79
2025-03-26T15:54:46.444,     109.23,      197.34,      140.79
2025-03-26T15:54:46.961,     109.23,      197.32,      140.77
2025-03-26T15:54:47.462,     109.22,      197.34,      140.77
2025-03-26T15:54:47.978,     109.23,      197.33,      140.77
2025-03-26T15:54:48.493,     109.23,      197.32,      140.80
2025-03-26T15:54:48.993,     109.23,      197.34,      140.82
2025-03-26T15:54:49.508,     109.22,      197.32,      140.80
2025-03-26T15:54:50.026,     109.23,      197.33,      140.75
2025-03-26T15:54:50.542,     109.22,      197.31,      140.77
2025-03-26T15:54:51.041,     109.24,      197.33,      140.79
2025-03-26T15:54:51.555,     109.22,      197.33,      140.78
2025-03-26T15:54:52.056,     109.23,      197.32,      140.74
2025-03-26T15:54:52.572,     109.23,      197.33,      140.77
2025-03-26T15:54:53.086,     109.23,      197.33,      140.75
2025-03-26T15:54:53.587,     109.23,      197.32,      140.74
2025-03-26T15:54:54.103,     109.23,      197.32,      140.77
2025-03-26T15:54:54.621,     109.22,      197.36,      140.80
2025-03-26T15:54:55.121,     109.24,      197.34,      140.80
2025-03-26T15:54:55.635,     109.23,      197.34,      140.79
2025-03-26T15:54:56.152,     109.22,      197.34,      140.81
2025-03-26T15:54:56.717,     109.22,      197.35,      140.81
2025-03-26T15:54:57.218,     109.23,      197.35,      140.77
2025-03-26T15:54:57.732,     109.23,      197.35,      140.76
2025-03-26T15:54:58.249,     109.23,      197.33,      140.79
2025-03-26T15:54:58.764,     109.23,      197.33,      140.77
2025-03-26T15:54:59.266,     109.22,      197.34,      140.79
2025-03-26T15:54:59.781,     109.23,      197.34,      140.79
2025-03-26T15:55:00.346,     109.23,      197.34,      140.81
2025-03-26T15:55:00.846,     109.22,      197.32,      140.76
2025-03-26T15:55:01.462,     109.23,      197.35,      140.80
2025-03-26T15:55:01.963,     109.23,      197.35,      140.80
2025-03-26T15:55:02.513,     109.21,      197.33,      140.80
2025-03-26T15:55:03.027,     109.23,      197.34,      140.76
2025-03-26T15:55:03.543,     109.22,      197.32,      140.75
2025-03-26T15:55:04.061,     109.22,      197.33,      140.75
2025-03-26T15:55:04.577,     109.23,      197.33,      140.78
2025-03-26T15:55:05.093,     109.23,      197.32,      140.79
2025-03-26T15:55:05.609,     109.22,      197.32,      140.78
2025-03-26T15:55:06.109,     109.23,      197.34,      140.78
2025-03-26T15:55:06.625,     109.22,      197.34,      140.79
2025-03-26T15:55:07.141,     109.24,      197.34,      140.81
2025-03-26T15:55:07.655,     109.23,      197.33,      140.76
2025-03-26T15:55:08.171,     109.22,      197.33,      140.75
