Time,X,Y,Z,Displacement [mm]
2025-04-15T17:06:12.555,       0.00,        0.00,        0.00,        NaN
2025-04-15T17:06:12.555,       0.00,        0.00,        0.00,        NaN
2025-04-15T17:06:12.701,       0.00,        0.00,        0.00,        NaN
2025-04-15T17:06:28.748,        NaN,         NaN,         NaN,        NaN
2025-04-15T17:06:28.748,       0.00,        0.00,        0.00,       0.00
2025-04-15T17:06:29.249,      -0.01,       -0.01,       -0.01,       0.01
2025-04-15T17:06:29.764,       0.00,       -0.01,       -0.03,       0.03
2025-04-15T17:06:30.280,      -0.01,        0.01,       -0.02,       0.03
2025-04-15T17:06:30.779,      -0.00,        0.01,        0.02,       0.02
2025-04-15T17:06:31.295,      -0.01,       -0.00,       -0.00,       0.01
2025-04-15T17:06:31.813,      -0.01,        0.01,       -0.02,       0.03
2025-04-15T17:06:32.362,      -0.01,        0.01,        0.03,       0.04
2025-04-15T17:06:32.880,      -0.00,        0.02,        0.01,       0.02
2025-04-15T17:06:33.426,      -0.01,        0.00,        0.02,       0.02
2025-04-15T17:06:33.941,      -0.01,        0.01,        0.02,       0.02
2025-04-15T17:06:34.444,      -0.01,        0.00,       -0.01,       0.01
2025-04-15T17:06:34.958,       0.00,        0.01,        0.01,       0.01
2025-04-15T17:06:35.524,      -0.01,        0.00,       -0.00,       0.01
2025-04-15T17:06:36.074,      -0.01,        0.02,        0.00,       0.02
2025-04-15T17:06:36.591,      -0.01,       -0.00,        0.02,       0.03
2025-04-15T17:06:37.306,      -0.01,        0.01,       -0.01,       0.02
2025-04-15T17:06:37.806,      -0.01,        0.00,        0.01,       0.01
2025-04-15T17:06:38.321,      -0.01,       -0.00,       -0.01,       0.01
2025-04-15T17:06:38.822,      -0.00,       -0.00,        0.00,       0.00
2025-04-15T17:06:39.338,      -0.01,        0.02,        0.02,       0.03
2025-04-15T17:06:39.852,       0.00,        0.00,        0.01,       0.01
2025-04-15T17:06:40.354,      -0.00,       -0.00,        0.02,       0.02
2025-04-15T17:06:40.868,      -0.01,       -0.01,        0.00,       0.02
2025-04-15T17:06:41.384,      -0.01,        0.00,        0.01,       0.02
2025-04-15T17:06:41.885,      -0.02,        0.01,        0.03,       0.04
2025-04-15T17:06:42.400,      -0.01,        0.02,        0.02,       0.03
2025-04-15T17:06:42.914,      -0.00,        0.01,       -0.02,       0.02
2025-04-15T17:06:43.415,      -0.01,       -0.01,       -0.02,       0.02
2025-04-15T17:06:43.931,      -0.02,       -0.01,       -0.01,       0.02
2025-04-15T17:06:44.480,      -0.01,        0.01,       -0.02,       0.02
2025-04-15T17:06:44.999,      -0.01,        0.00,       -0.02,       0.02
2025-04-15T17:06:45.514,      -0.00,        0.00,        0.00,       0.00
2025-04-15T17:06:46.013,      -0.02,        0.02,        0.00,       0.02
2025-04-15T17:06:46.529,      -0.01,        0.01,        0.02,       0.02
2025-04-15T17:06:47.046,      -0.01,        0.01,        0.03,       0.03
2025-04-15T17:06:47.546,      -0.01,        0.01,       -0.01,       0.02
2025-04-15T17:06:48.110,      -0.01,        0.01,        0.03,       0.04
2025-04-15T17:06:48.660,      -0.01,       -0.01,        0.01,       0.01
2025-04-15T17:06:49.177,      -0.00,       -0.02,        0.02,       0.02
2025-04-15T17:06:49.693,      -0.01,       -0.01,        0.02,       0.02
2025-04-15T17:06:50.244,      -0.02,        0.00,        0.02,       0.03
2025-04-15T17:06:50.758,       0.00,       -0.01,       -0.02,       0.02
2025-04-15T17:06:51.306,      -0.00,       -0.00,       -0.04,       0.04
2025-04-15T17:06:51.824,      -0.01,        0.02,       -0.00,       0.02
2025-04-15T17:06:52.340,      -0.16,        0.02,        0.01,       0.17
2025-04-15T17:06:52.842,      -1.09,        0.10,        0.03,       1.10
2025-04-15T17:06:53.354,      -1.91,        0.17,       -0.08,       1.92
2025-04-15T17:06:53.854,      -2.07,        0.18,       -0.07,       2.08
