Time,X,Y,Z,Displacement [mm]
2025-10-17T16:05:08.143,       0.00,        0.00,        0.00,        NaN
2025-10-17T16:05:08.143,       0.00,        0.00,        0.00,        NaN
2025-10-17T16:05:08.209,       0.00,        0.00,        0.00,        NaN
2025-10-17T16:05:18.147,        NaN,         NaN,         NaN,        NaN
2025-10-17T16:05:18.148,       0.00,        0.00,        0.00,       0.00
2025-10-17T16:05:18.667,       0.01,       -0.01,       -0.05,       0.05
2025-10-17T16:05:19.183,       0.00,       -0.01,        0.02,       0.03
2025-10-17T16:05:19.698,       0.00,       -0.01,       -0.05,       0.05
2025-10-17T16:05:20.212,       0.01,       -0.02,       -0.01,       0.02
2025-10-17T16:05:20.714,       0.00,        0.02,       -0.02,       0.03
2025-10-17T16:05:21.231,       0.01,        0.02,        0.00,       0.02
2025-10-17T16:05:21.746,      -0.00,        0.00,       -0.03,       0.03
2025-10-17T16:05:22.260,       0.01,        0.00,       -0.02,       0.02
2025-10-17T16:05:22.776,       0.01,       -0.03,       -0.07,       0.07
2025-10-17T16:05:23.292,       0.00,        0.01,       -0.01,       0.01
2025-10-17T16:05:23.811,      -0.00,        0.00,       -0.03,       0.03
2025-10-17T16:05:24.328,      -0.01,        0.00,       -0.02,       0.02
2025-10-17T16:05:24.875,       0.00,        0.01,        0.01,       0.02
2025-10-17T16:05:25.392,      -0.00,        0.00,       -0.01,       0.01
2025-10-17T16:05:25.908,      -0.00,        0.02,        0.03,       0.04
2025-10-17T16:05:26.425,      -0.02,       -0.00,       -0.01,       0.02
2025-10-17T16:05:26.938,      -0.01,       -0.01,       -0.02,       0.03
2025-10-17T16:05:27.454,      -0.00,        0.00,       -0.04,       0.04
2025-10-17T16:05:27.971,       0.00,        0.03,        0.00,       0.03
2025-10-17T16:05:28.471,       0.00,       -0.01,        0.04,       0.04
2025-10-17T16:05:28.985,       0.00,        0.00,       -0.00,       0.01
2025-10-17T16:05:29.501,       0.01,       -0.01,       -0.03,       0.03
2025-10-17T16:05:30.022,       0.01,        0.02,       -0.03,       0.04
2025-10-17T16:05:30.584,       0.01,        0.02,        0.02,       0.04
2025-10-17T16:05:31.149,      -0.00,        0.02,       -0.00,       0.02
2025-10-17T16:05:31.652,      -0.01,        0.00,       -0.00,       0.01
2025-10-17T16:05:32.169,       0.00,        0.02,       -0.00,       0.02
2025-10-17T16:05:32.682,       0.01,        0.02,       -0.07,       0.07
2025-10-17T16:05:33.198,       0.04,       -0.01,       -0.11,       0.12
2025-10-17T16:05:33.714,       0.01,       -0.14,       -0.04,       0.14
2025-10-17T16:05:34.217,      -0.00,       -0.25,       -0.01,       0.25
2025-10-17T16:05:34.730,      -0.00,       -0.35,       -0.04,       0.35
2025-10-17T16:05:35.246,       0.00,       -0.44,       -0.07,       0.44
2025-10-17T16:05:35.763,      -0.00,       -0.57,       -0.03,       0.57
2025-10-17T16:05:36.265,      -0.02,       -0.69,       -0.03,       0.69
2025-10-17T16:05:36.778,      -0.02,       -0.83,       -0.05,       0.83
2025-10-17T16:05:37.292,      -0.02,       -0.96,       -0.05,       0.96
2025-10-17T16:05:37.810,      -0.02,       -1.07,       -0.07,       1.07
2025-10-17T16:05:38.328,       0.01,       -1.14,       -0.05,       1.14
2025-10-17T16:05:38.844,       0.00,       -1.31,       -0.09,       1.31
2025-10-17T16:05:39.394,       0.00,       -1.44,       -0.09,       1.44
2025-10-17T16:05:39.911,      -0.01,       -1.56,       -0.12,       1.56
2025-10-17T16:05:40.426,       0.03,       -1.66,       -0.09,       1.66
2025-10-17T16:05:40.939,       0.02,       -1.75,       -0.04,       1.75
2025-10-17T16:05:41.456,       0.04,       -1.84,       -0.14,       1.85
2025-10-17T16:05:41.972,       0.01,       -1.89,       -0.03,       1.89
2025-10-17T16:05:42.491,       0.01,       -1.94,       -0.04,       1.94
2025-10-17T16:05:43.007,      -0.01,       -1.99,        0.04,       1.99
2025-10-17T16:05:43.519,      -0.00,       -2.00,       -0.02,       2.00
