,Magnetometerx,Magnetometery,Magnetometerz
0,-1.568,0.784,0.49
1,-1.568,0.882,0.784
2,-1.568,0.882,0.49
3,-1.568,0.882,0.49
4,-1.568,0.882,0.49
5,-1.568,0.882,0.49
6,-1.568,0.882,0.49
7,-1.568,0.686,0.392
8,-1.568,0.882,0.49
9,-1.568,0.784,0.5880000000000001
10,-1.568,0.784,0.5880000000000001
11,-1.568,0.784,0.5880000000000001
12,-1.568,0.784,0.5880000000000001
13,-1.568,0.98,0.49
14,-1.568,1.078,0.49
15,-1.568,0.784,0.686
16,-1.568,1.078,0.5880000000000001
17,-1.568,1.078,0.5880000000000001
18,-1.568,1.078,0.5880000000000001
19,-1.568,1.078,0.5880000000000001
20,-1.568,1.078,0.49
21,-1.568,0.98,0.49
22,-1.568,0.784,0.49
23,-1.568,0.98,0.5880000000000001
24,-1.568,0.98,0.5880000000000001
25,-1.568,0.98,0.5880000000000001
26,-1.568,0.98,0.5880000000000001
27,-1.568,1.1760000000000002,0.49
28,-1.568,0.98,0.49
29,-1.568,0.882,0.5880000000000001
30,-1.568,0.882,0.5880000000000001
31,-1.568,0.882,0.5880000000000001
32,-1.568,0.882,0.5880000000000001
33,-1.568,1.078,0.5880000000000001
34,-1.568,0.882,0.49
35,-1.568,0.686,0.5880000000000001
36,-1.568,0.686,0.5880000000000001
37,-1.568,0.686,0.5880000000000001
38,-1.568,0.882,0.5880000000000001
39,-1.568,0.784,0.5880000000000001
40,-1.568,0.784,0.5880000000000001
41,-1.568,0.784,0.5880000000000001
42,-1.568,0.784,0.5880000000000001
43,-1.568,0.784,0.5880000000000001
44,-1.568,0.784,0.784
45,-1.568,0.5880000000000001,0.5880000000000001
46,-1.568,1.078,0.49
47,-1.568,1.078,0.49
48,-1.568,1.078,0.49
49,-1.568,0.784,0.392
50,-1.568,0.882,0.49
51,-1.568,0.98,0.5880000000000001
52,-1.568,0.98,0.5880000000000001
53,-1.568,0.98,0.5880000000000001
54,-1.568,0.98,0.5880000000000001
55,-1.568,0.98,0.5880000000000001
56,-1.568,0.882,0.392
57,-1.568,0.784,0.49
58,-1.568,0.784,0.49
59,-1.568,0.784,0.49
60,-1.568,0.882,0.5880000000000001
61,-1.568,0.784,0.392
62,-1.568,1.078,0.5880000000000001
63,-1.568,1.078,0.5880000000000001
64,-1.568,1.078,0.5880000000000001
65,-1.568,1.078,0.5880000000000001
66,-1.568,0.784,0.49
67,-1.568,0.882,0.49
68,-1.568,0.882,0.5880000000000001
69,-1.568,0.882,0.5880000000000001
70,-1.568,0.882,0.5880000000000001
71,-1.568,0.882,0.5880000000000001
72,-1.568,0.784,0.5880000000000001
73,-1.568,0.98,0.29400000000000004
74,-1.568,0.98,0.29400000000000004
75,-1.568,0.98,0.29400000000000004
76,-1.568,0.98,0.29400000000000004
77,-1.568,0.784,0.5880000000000001
78,-1.568,0.784,0.5880000000000001
79,-1.568,0.882,0.392
80,-1.568,0.882,0.392
81,-1.568,0.882,0.392
82,-1.568,0.882,0.392
83,-1.568,1.078,0.392
84,-3.136,0.882,0.49
85,-1.568,0.882,0.49
86,-1.568,0.882,0.49
87,-1.568,0.882,0.49
88,-1.568,0.882,0.49
89,-1.568,0.882,0.5880000000000001
90,-1.568,0.98,0.392
91,-1.568,0.98,0.392
92,-1.568,0.98,0.392
93,-1.568,0.98,0.392
94,-1.568,0.784,0.49
95,-1.568,0.882,0.49
96,-1.568,0.784,0.49
97,-1.568,0.784,0.49
98,-1.568,0.784,0.49
99,-1.568,0.784,0.49
