,Magnetometerx,Magnetometery,Magnetometerz
0,1.274,1.568,1.274
1,1.372,1.568,1.372
2,1.274,1.568,1.372
3,1.274,1.568,1.372
4,1.274,1.568,1.372
5,1.274,1.568,1.372
6,1.372,1.568,1.372
7,1.47,1.568,1.1760000000000002
8,1.1760000000000002,1.568,1.372
9,1.1760000000000002,1.568,1.372
10,1.1760000000000002,1.568,1.372
11,1.274,1.568,1.274
12,1.274,1.568,1.1760000000000002
13,1.372,1.568,1.372
14,1.372,1.568,1.372
15,1.372,1.568,1.372
16,1.372,1.568,1.372
17,1.274,1.568,1.372
18,1.274,1.568,1.372
19,1.372,1.568,1.274
20,1.372,1.568,1.274
21,1.372,1.568,1.274
22,1.372,1.568,1.274
23,1.372,1.568,1.372
24,1.372,1.568,1.372
25,1.568,1.568,1.372
26,1.568,1.568,1.372
27,1.568,1.568,1.372
28,1.568,1.568,1.274
29,1.274,1.568,1.274
30,0.98,1.568,1.274
31,0.98,1.568,1.274
32,0.98,1.568,1.274
33,0.98,1.568,1.274
34,1.274,1.568,1.47
35,1.568,1.568,1.274
36,1.274,1.568,1.274
37,1.274,1.568,1.274
38,1.274,1.568,1.274
39,1.47,1.568,1.274
40,1.274,1.568,1.1760000000000002
41,1.274,1.568,1.274
42,1.274,1.568,1.274
43,1.274,1.568,1.274
44,1.274,1.568,1.274
45,1.47,1.568,1.274
46,1.372,1.568,1.372
47,1.568,1.568,1.372
48,1.568,1.568,1.372
49,1.568,1.568,1.372
50,1.568,1.568,1.372
51,1.372,1.568,1.274
52,1.372,1.568,1.372
53,1.47,1.568,1.274
54,1.47,1.568,1.274
55,1.47,1.568,1.274
56,1.372,1.568,1.372
57,1.568,1.568,1.274
58,1.274,1.568,1.1760000000000002
59,1.274,1.568,1.1760000000000002
60,1.274,1.568,1.1760000000000002
61,1.274,1.568,1.1760000000000002
62,1.1760000000000002,1.568,1.47
63,1.274,1.568,1.274
64,1.274,1.568,1.372
65,1.274,1.568,1.372
66,1.274,1.568,1.372
67,1.47,1.568,1.372
68,1.274,1.568,1.1760000000000002
69,1.274,1.568,1.274
70,1.274,1.568,1.274
71,1.274,1.568,1.274
72,1.274,1.568,1.274
73,1.274,1.568,1.274
74,0.98,1.568,1.372
75,1.372,1.568,1.372
76,1.372,1.568,1.372
77,1.372,1.568,1.372
78,1.372,1.568,1.274
79,1.47,1.568,1.372
80,1.372,1.568,1.1760000000000002
81,1.372,1.568,1.1760000000000002
82,1.372,1.568,1.1760000000000002
83,1.372,1.568,1.1760000000000002
84,1.47,1.568,1.274
85,1.47,1.568,1.372
86,1.372,1.568,1.274
87,1.372,1.568,1.274
88,1.372,1.568,1.274
89,1.372,1.568,1.274
90,1.372,1.568,1.372
91,1.568,1.568,1.274
92,1.568,1.568,1.274
93,1.568,1.568,1.274
94,1.568,1.568,1.274
95,1.372,1.568,1.274
96,1.1760000000000002,1.568,1.274
97,1.274,1.568,1.274
98,1.274,1.568,1.274
99,1.274,1.568,1.274
