,Magnetometerx,Magnetometery,Magnetometerz
0,6.272,-3.136,1.078
1,6.272,-3.136,1.078
2,6.272,-3.136,1.274
3,6.272,-3.136,1.078
4,6.272,-3.136,1.078
5,6.272,-3.136,1.078
6,6.272,-3.136,1.078
7,6.272,-3.136,1.1760000000000002
8,6.272,-3.136,0.98
9,6.272,-3.136,1.1760000000000002
10,6.272,-3.136,1.1760000000000002
11,6.272,-3.136,1.1760000000000002
12,6.272,-3.136,1.1760000000000002
13,6.272,-3.136,1.1760000000000002
14,6.272,-3.136,1.1760000000000002
15,6.272,-3.136,1.1760000000000002
16,6.272,-3.136,1.1760000000000002
17,6.272,-3.136,1.1760000000000002
18,7.84,-3.136,1.078
19,6.272,-3.136,1.078
20,6.272,-3.136,1.1760000000000002
21,6.272,-3.136,1.1760000000000002
22,6.272,-3.136,1.1760000000000002
23,6.272,-3.136,1.1760000000000002
24,6.272,-3.136,1.078
25,6.272,-3.136,1.078
26,6.272,-3.136,0.98
27,6.272,-3.136,0.98
28,6.272,-3.136,0.98
29,7.84,-3.136,1.078
30,7.84,-3.136,0.98
31,6.272,-3.136,1.078
32,6.272,-3.136,1.078
33,6.272,-3.136,1.078
34,6.272,-3.136,1.078
35,6.272,-3.136,1.274
36,6.272,-3.136,1.1760000000000002
37,6.272,-3.136,1.274
38,6.272,-3.136,1.274
39,6.272,-3.136,1.274
40,6.272,-3.136,1.1760000000000002
41,6.272,-3.136,1.1760000000000002
42,6.272,-3.136,1.078
43,6.272,-3.136,1.078
44,6.272,-3.136,1.078
45,6.272,-3.136,1.078
46,6.272,-3.136,1.372
47,6.272,-3.136,1.078
48,6.272,-3.136,1.1760000000000002
49,6.272,-3.136,1.1760000000000002
50,6.272,-3.136,1.1760000000000002
51,6.272,-3.136,1.1760000000000002
52,6.272,-3.136,1.1760000000000002
53,6.272,-3.136,1.078
54,6.272,-3.136,1.078
55,6.272,-3.136,1.078
56,6.272,-3.136,1.078
57,6.272,-3.136,1.078
58,6.272,-3.136,1.1760000000000002
59,6.272,-3.136,1.1760000000000002
60,6.272,-3.136,1.1760000000000002
61,6.272,-3.136,1.1760000000000002
62,6.272,-3.136,1.1760000000000002
63,6.272,-3.136,1.078
64,6.272,-3.136,1.078
65,7.84,-3.136,1.1760000000000002
66,7.84,-3.136,1.1760000000000002
67,7.84,-3.136,1.1760000000000002
68,6.272,-3.136,1.1760000000000002
69,6.272,-3.136,1.078
70,6.272,-3.136,1.1760000000000002
71,6.272,-3.136,1.1760000000000002
72,6.272,-3.136,1.1760000000000002
73,6.272,-3.136,1.1760000000000002
74,6.272,-3.136,1.1760000000000002
75,6.272,-3.136,0.98
76,6.272,-3.136,1.1760000000000002
77,6.272,-3.136,1.1760000000000002
78,6.272,-3.136,1.1760000000000002
79,6.272,-3.136,1.1760000000000002
80,6.272,-3.136,1.1760000000000002
81,6.272,-3.136,1.1760000000000002
82,6.272,-3.136,1.1760000000000002
83,6.272,-3.136,1.1760000000000002
84,6.272,-3.136,1.1760000000000002
85,6.272,-3.136,1.274
86,6.272,-3.136,1.1760000000000002
87,6.272,-3.136,1.078
88,6.272,-3.136,1.078
89,6.272,-3.136,1.078
90,6.272,-3.136,1.078
91,6.272,-3.136,1.1760000000000002
92,6.272,-3.136,1.078
93,6.272,-3.136,1.078
94,6.272,-3.136,1.078
95,6.272,-3.136,1.078
96,6.272,-3.136,1.078
97,6.272,-3.136,1.274
98,6.272,-3.136,1.1760000000000002
99,6.272,-3.136,1.1760000000000002
