,Magnetometerx,Magnetometery,Magnetometerz
0,-12.544,-1.568,1.568
1,-12.544,0.0,1.568
2,-12.544,0.0,1.568
3,-12.544,0.0,1.568
4,-12.544,0.0,1.568
5,-12.544,-1.568,3.136
6,-12.544,-1.568,1.568
7,-12.544,-1.568,1.568
8,-12.544,-1.568,1.568
9,-12.544,-1.568,1.568
10,-12.544,-1.568,3.136
11,-12.544,-1.568,1.568
12,-12.544,-1.568,3.136
13,-12.544,-1.568,3.136
14,-12.544,-1.568,3.136
15,-12.544,-1.568,3.136
16,-12.544,0.0,1.568
17,-12.544,-1.568,1.568
18,-12.544,-1.568,3.136
19,-12.544,-1.568,3.136
20,-12.544,-1.568,3.136
21,-12.544,-1.568,1.568
22,-12.544,-1.568,3.136
23,-12.544,-1.568,3.136
24,-12.544,-1.568,3.136
25,-12.544,-1.568,3.136
26,-12.544,-1.568,3.136
27,-12.544,-1.568,1.568
28,-12.544,-1.568,3.136
29,-12.544,-1.568,3.136
30,-12.544,-1.568,3.136
31,-12.544,-1.568,3.136
32,-12.544,-1.568,1.568
33,-12.544,-1.568,3.136
34,-12.544,-1.568,3.136
35,-12.544,-1.568,3.136
36,-12.544,-1.568,3.136
37,-12.544,-1.568,3.136
38,-12.544,0.098,3.136
39,-12.544,-1.568,3.136
40,-12.544,-1.568,3.136
41,-12.544,-1.568,3.136
42,-12.544,-1.568,3.136
43,-12.544,-1.568,3.136
44,-12.544,-1.568,3.136
45,-12.544,-1.568,3.136
46,-12.544,-1.568,3.136
47,-12.544,-1.568,3.136
48,-12.544,-1.568,3.136
49,-12.544,-1.568,1.568
50,-12.544,-1.568,3.136
51,-12.544,-1.568,3.136
52,-12.544,-1.568,3.136
53,-12.544,-1.568,3.136
54,-12.544,-1.568,3.136
55,-12.544,-1.568,1.568
56,-12.544,-1.568,3.136
57,-12.544,-1.568,1.568
58,-12.544,-1.568,1.568
59,-12.544,-1.568,1.568
60,-12.544,-1.568,3.136
61,-12.544,-1.568,1.568
62,-12.544,-1.568,1.568
63,-12.544,-1.568,1.568
64,-12.544,-1.568,1.568
65,-12.544,-1.568,1.568
66,-12.544,-1.568,3.136
67,-12.544,-1.568,1.568
68,-12.544,-1.568,1.568
69,-12.544,-1.568,1.568
70,-12.544,-1.568,1.568
71,-12.544,-1.568,3.136
72,-12.544,0.0,3.136
73,-12.544,-1.568,3.136
74,-12.544,-1.568,3.136
75,-12.544,-1.568,3.136
76,-12.544,-1.568,3.136
77,-12.544,-1.568,3.136
78,-12.544,-1.568,3.136
79,-12.544,-1.568,1.568
80,-12.544,-1.568,1.568
81,-12.544,-1.568,1.568
82,-12.544,-1.568,1.568
83,-12.544,-1.568,3.136
84,-12.544,-1.568,3.136
85,-12.544,-1.568,3.136
86,-12.544,-1.568,3.136
87,-12.544,-1.568,3.136
88,-12.544,-1.568,3.136
89,-12.544,-1.568,3.136
90,-12.544,-1.568,1.568
91,-12.544,-1.568,1.568
92,-12.544,-1.568,1.568
93,-12.544,-1.568,1.568
94,-12.544,-1.568,1.568
95,-12.544,-1.568,3.136
96,-12.544,-1.568,3.136
97,-12.544,-1.568,3.136
98,-12.544,-1.568,3.136
99,-12.544,-1.568,1.568
