,SampleID,Accelerometerx,Accelerometery,Accelerometerz,Magnetometerx,Magnetometery,Magnetometerz,Gyroscopex,Gyroscopey,Gyroscopez,EulerAngx,EulerAngy,EulerAngz,Quaternionx,Quaterniony,Quaternionz,LinearAccelerationx,LinearAccelerationy,LinearAccelerationz,Gravityx,Gravityy,Gravityz
0,0.03,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,0.003272492347489368,-0.001090830782496456,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.06,-0.07,-0.41000000000000003,0.05,-0.36,9.790000000000001
1,0.04,-0.36,9.39,-2048.0,-2048.0,-2048.0,0.00545415391248228,0.0,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.08,0.0,-0.46,0.05,-0.36,9.790000000000001
2,0.17,-0.34,9.44,-2048.0,-2048.0,-2048.0,-0.001090830782496456,-0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.22,-0.11,-0.39,0.05,-0.36,9.790000000000001
3,-0.12,-0.43,9.3,-2040.0,-2048.0,-2048.0,0.14180800172453928,-0.002181661564992912,0.001090830782496456,9.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,1.4000000000000001,-0.03,-0.43,1.33,-0.36,9.790000000000001
4,-0.03,-0.31,9.38,-2048.0,-2048.0,-2048.0,0.14180800172453928,-0.001090830782496456,0.0,9.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.02,0.0,-0.41000000000000003,1.33,-0.36,9.790000000000001
5,1.34,-0.35000000000000003,9.290000000000001,-2048.0,-2048.0,-2048.0,0.13962634015954636,-0.001090830782496456,0.001090830782496456,9.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,1.31,0.0,-0.35000000000000003,1.33,-0.36,9.790000000000001
6,0.1,-0.38,9.370000000000001,-2048.0,-2048.0,-2048.0,0.003272492347489368,-0.003272492347489368,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.06,0.02,-0.38,0.05,-0.36,9.790000000000001
7,0.0,-0.36,9.42,-2048.0,-2048.0,-2048.0,0.004363323129985824,-0.001090830782496456,0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.04,0.01,-0.39,0.05,-0.36,9.790000000000001
8,0.1,-0.36,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,-0.02,-0.4,0.05,-0.36,9.790000000000001
9,0.03,-0.33,9.43,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.002181661564992912,-0.003272492347489368,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.01,0.01,-0.39,0.05,-0.36,9.790000000000001
10,0.06,-0.34,9.39,-2048.0,-2048.0,-2048.0,-0.002181661564992912,0.003272492347489368,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.06,-0.41000000000000003,0.05,-0.36,9.790000000000001
