Time,X,Y,Z,Displacement [mm]
2026-02-06T16:08:45.565,       0.00,        0.00,        0.00,       0.00
2026-02-06T16:08:46.078,       0.00,        0.02,        0.02,       0.03
2026-02-06T16:08:46.595,       0.01,        0.03,        0.01,       0.03
2026-02-06T16:08:47.109,       0.00,        0.02,        0.05,       0.05
2026-02-06T16:08:47.628,      -0.00,        0.04,        0.11,       0.11
2026-02-06T16:08:48.175,      -0.00,        0.04,        0.07,       0.08
2026-02-06T16:08:48.692,       0.01,        0.05,        0.06,       0.08
2026-02-06T16:08:49.210,       0.02,        0.02,       -0.01,       0.03
2026-02-06T16:08:49.726,       0.01,        0.03,       -0.01,       0.03
2026-02-06T16:08:50.243,      -0.00,        0.04,        0.05,       0.06
2026-02-06T16:08:50.756,       0.01,        0.01,        0.02,       0.02
2026-02-06T16:08:51.272,      -0.00,        0.02,        0.10,       0.11
2026-02-06T16:08:51.775,       0.01,        0.04,        0.07,       0.08
2026-02-06T16:08:52.291,       0.00,        0.03,        0.02,       0.03
2026-02-06T16:08:52.804,       0.02,        0.02,        0.03,       0.04
2026-02-06T16:08:53.319,       0.02,        0.03,        0.04,       0.05
2026-02-06T16:08:53.836,       0.01,        0.02,        0.03,       0.04
2026-02-06T16:08:54.338,       0.01,        0.01,        0.03,       0.03
2026-02-06T16:08:54.851,       0.00,        0.01,        0.05,       0.05
2026-02-06T16:08:55.367,       0.00,        0.05,        0.11,       0.12
2026-02-06T16:08:55.884,       0.01,        0.05,        0.09,       0.11
2026-02-06T16:08:56.403,       0.00,        0.02,        0.06,       0.06
2026-02-06T16:08:56.918,       0.00,        0.02,        0.04,       0.04
2026-02-06T16:08:57.465,      -0.00,        0.03,        0.02,       0.04
2026-02-06T16:08:57.986,       0.01,        0.02,        0.03,       0.04
2026-02-06T16:08:58.501,      -0.01,        0.01,        0.02,       0.03
2026-02-06T16:08:59.014,      -0.00,        0.02,        0.04,       0.04
2026-02-06T16:08:59.530,       0.01,        0.04,        0.04,       0.05
2026-02-06T16:09:00.032,       0.01,        0.03,        0.03,       0.04
2026-02-06T16:09:00.547,       0.02,        0.03,        0.02,       0.04
2026-02-06T16:09:01.061,      -0.00,        0.01,        0.05,       0.05
2026-02-06T16:09:01.578,      -0.00,        0.01,        0.06,       0.06
2026-02-06T16:09:02.081,       0.00,        0.03,        0.05,       0.06
2026-02-06T16:09:02.596,       0.01,        0.03,        0.04,       0.05
2026-02-06T16:09:03.109,       0.01,        0.02,        0.04,       0.05
2026-02-06T16:09:03.626,      -0.00,        0.03,        0.09,       0.09
2026-02-06T16:09:04.128,      -0.00,        0.02,        0.08,       0.09
2026-02-06T16:09:04.641,       0.01,        0.01,        0.02,       0.03
2026-02-06T16:09:05.157,       0.00,        0.01,        0.05,       0.05
2026-02-06T16:09:05.674,       0.01,        0.03,        0.06,       0.07
2026-02-06T16:09:06.177,       0.01,        0.04,        0.07,       0.08
2026-02-06T16:09:06.689,       0.01,        0.02,        0.06,       0.06
2026-02-06T16:09:07.205,      -0.00,        0.04,        0.11,       0.12
2026-02-06T16:09:07.721,       0.00,        0.03,        0.09,       0.09
2026-02-06T16:09:08.223,       0.01,        0.02,        0.03,       0.04
2026-02-06T16:09:08.736,      -0.00,        0.01,        0.01,       0.02
2026-02-06T16:09:09.252,       0.00,        0.03,        0.06,       0.06
2026-02-06T16:09:09.769,       0.00,        0.03,        0.08,       0.08
2026-02-06T16:09:10.271,       0.01,        0.03,        0.06,       0.07
2026-02-06T16:09:10.784,       0.00,        0.03,        0.11,       0.11
2026-02-06T16:09:11.300,       0.01,        0.01,        0.04,       0.05
2026-02-06T16:09:11.817,       0.00,       -0.00,        0.01,       0.01
2026-02-06T16:09:12.336,       0.01,        0.00,        0.07,       0.07
2026-02-06T16:09:12.851,       0.01,        0.02,        0.05,       0.06
2026-02-06T16:09:13.398,       0.02,        0.05,        0.10,       0.12
2026-02-06T16:09:13.914,       0.01,        0.04,        0.05,       0.06
2026-02-06T16:09:14.432,       0.02,       -0.00,        0.02,       0.03
2026-02-06T16:09:14.948,       0.01,        0.01,        0.07,       0.07
2026-02-06T16:09:15.463,       0.02,       -0.00,        0.04,       0.05
2026-02-06T16:09:16.015,       0.01,        0.04,        0.06,       0.08
2026-02-06T16:09:16.530,       0.01,        0.02,        0.04,       0.05
2026-02-06T16:09:17.044,      -0.00,       -0.05,        0.02,       0.05
2026-02-06T16:09:17.561,       0.02,       -0.19,       -0.04,       0.19
2026-02-06T16:09:18.076,       0.01,       -0.22,        0.07,       0.23
2026-02-06T16:09:18.576,      -0.01,       -0.39,        0.03,       0.39
2026-02-06T16:09:19.092,       0.00,       -0.46,        0.01,       0.46
2026-02-06T16:09:19.609,       0.02,       -0.52,        0.02,       0.52
2026-02-06T16:09:20.127,       0.01,       -0.64,        0.01,       0.64
2026-02-06T16:09:20.642,      -0.00,       -0.71,        0.02,       0.71
2026-02-06T16:09:21.159,       0.02,       -0.89,       -0.02,       0.89
2026-02-06T16:09:21.706,       0.00,       -0.93,       -0.04,       0.93
2026-02-06T16:09:22.224,       0.02,       -1.09,        0.01,       1.09
2026-02-06T16:09:22.740,       0.00,       -1.18,        0.02,       1.18
2026-02-06T16:09:23.255,       0.00,       -1.33,        0.08,       1.33
2026-02-06T16:09:23.820,       0.00,       -1.44,        0.04,       1.44
2026-02-06T16:09:24.323,       0.00,       -1.56,        0.07,       1.56
2026-02-06T16:09:24.835,       0.01,       -1.67,       -0.03,       1.67
2026-02-06T16:09:25.352,       0.01,       -1.77,        0.00,       1.77
2026-02-06T16:09:25.867,       0.01,       -1.87,        0.05,       1.87
2026-02-06T16:09:26.386,       0.01,       -1.94,       -0.02,       1.94
2026-02-06T16:09:26.933,       0.02,       -2.02,       -0.00,       2.02
2026-02-06T16:09:27.450,      -0.01,       -2.10,       -0.03,       2.10
2026-02-06T16:09:27.968,       0.01,       -2.15,       -0.04,       2.15
2026-02-06T16:09:28.484,      -0.02,       -2.15,        0.01,       2.15
2026-02-06T16:09:29.001,      -0.00,       -2.18,       -0.00,       2.18
2026-02-06T16:09:29.514,       0.00,       -2.32,       -0.00,       2.32
2026-02-06T16:09:30.030,       0.02,       -2.32,       -0.04,       2.32
2026-02-06T16:09:30.532,       0.01,       -2.39,        0.05,       2.39
2026-02-06T16:09:31.049,       0.00,       -2.48,        0.01,       2.48
2026-02-06T16:09:31.561,       0.00,       -2.51,        0.01,       2.51
2026-02-06T16:09:32.077,       0.00,       -2.52,        0.02,       2.52
2026-02-06T16:09:32.594,      -0.00,       -2.54,       -0.01,       2.54
2026-02-06T16:09:33.096,       0.01,       -2.54,        0.01,       2.54
2026-02-06T16:09:33.609,       0.00,       -2.52,       -0.02,       2.52
2026-02-06T16:09:34.125,       0.00,       -2.52,        0.02,       2.52
2026-02-06T16:09:34.642,       0.01,       -2.51,        0.03,       2.51
2026-02-06T16:09:35.160,       0.01,       -2.53,       -0.03,       2.53
2026-02-06T16:09:35.707,       0.01,       -2.52,        0.02,       2.52
2026-02-06T16:09:36.226,       0.01,       -2.55,       -0.01,       2.55
2026-02-06T16:09:36.743,       0.02,       -2.41,        0.01,       2.41
2026-02-06T16:09:37.258,      -0.00,       -2.29,       -0.04,       2.29
2026-02-06T16:09:37.771,       0.01,       -2.21,       -0.01,       2.21
2026-02-06T16:09:38.288,       0.01,       -2.10,       -0.09,       2.10
2026-02-06T16:09:38.790,       0.03,       -1.88,       -0.08,       1.88
2026-02-06T16:09:39.303,       0.01,       -1.78,       -0.09,       1.78
2026-02-06T16:09:39.819,       0.03,       -1.67,       -0.02,       1.67
2026-02-06T16:09:40.336,       0.02,       -1.51,        0.01,       1.51
2026-02-06T16:09:40.854,       0.02,       -1.35,       -0.04,       1.35
2026-02-06T16:09:41.370,       0.03,       -1.23,        0.02,       1.23
2026-02-06T16:09:41.938,       0.02,       -1.11,       -0.04,       1.11
2026-02-06T16:09:42.486,       0.01,       -0.99,        0.04,       0.99
2026-02-06T16:09:43.001,       0.03,       -0.89,        0.06,       0.89
2026-02-06T16:09:43.515,       0.04,       -0.82,       -0.02,       0.82
2026-02-06T16:09:44.032,       0.03,       -0.70,       -0.01,       0.70
2026-02-06T16:09:44.547,       0.03,       -0.54,        0.00,       0.55
2026-02-06T16:09:45.049,       0.02,       -0.56,       -0.01,       0.56
2026-02-06T16:09:45.563,       0.01,       -0.38,        0.06,       0.39
2026-02-06T16:09:46.079,       0.01,       -0.27,        0.06,       0.28
2026-02-06T16:09:46.595,      -0.00,       -0.15,        0.06,       0.16
2026-02-06T16:09:47.114,       0.01,       -0.05,        0.03,       0.06
2026-02-06T16:09:47.680,       0.02,        0.04,        0.05,       0.06
2026-02-06T16:09:48.227,       0.02,        0.03,        0.02,       0.04
2026-02-06T16:09:48.745,       0.01,        0.02,       -0.01,       0.03
2026-02-06T16:09:49.261,       0.01,        0.03,       -0.04,       0.05
2026-02-06T16:09:49.776,       0.01,        0.02,        0.01,       0.02
2026-02-06T16:09:50.291,       0.01,        0.03,        0.03,       0.05
2026-02-06T16:09:50.807,      -0.01,        0.02,        0.02,       0.03
2026-02-06T16:09:51.307,      -0.00,        0.03,        0.08,       0.08
2026-02-06T16:09:51.824,      -0.00,        0.02,        0.02,       0.03
2026-02-06T16:09:52.339,      -0.01,        0.04,        0.05,       0.07
2026-02-06T16:09:52.855,       0.01,        0.02,        0.04,       0.04
2026-02-06T16:09:53.375,       0.00,        0.01,       -0.01,       0.02
2026-02-06T16:09:53.889,       0.01,        0.01,        0.02,       0.03
2026-02-06T16:09:54.403,      -0.00,        0.03,        0.06,       0.07
2026-02-06T16:09:54.905,      -0.01,        0.02,        0.04,       0.05
2026-02-06T16:09:55.423,      -0.00,        0.04,        0.05,       0.07
2026-02-06T16:09:55.938,      -0.01,        0.02,        0.05,       0.05
2026-02-06T16:09:56.451,       0.01,        0.05,        0.03,       0.06
2026-02-06T16:09:56.968,       0.01,        0.02,        0.04,       0.04
2026-02-06T16:09:57.470,       0.01,        0.01,        0.02,       0.02
2026-02-06T16:09:57.986,       0.01,        0.03,        0.03,       0.04
2026-02-06T16:09:58.499,       0.00,        0.04,        0.05,       0.07
2026-02-06T16:09:59.016,       0.00,        0.01,        0.00,       0.01
2026-02-06T16:09:59.531,       0.01,        0.01,        0.05,       0.05
2026-02-06T16:10:00.050,       0.01,        0.03,        0.03,       0.05
2026-02-06T16:10:00.567,      -0.01,        0.02,        0.07,       0.07
