"Sensor 14 Average (x, y, z)"
"[0.033495, 0.06594, -0.16763340000000002]"
"[0.032415, 0.062025, -0.17494179999999998]"
"[0.033585000000000004, 0.05577, -0.18043520000000005]"
"[0.03516, 0.05173499999999999, -0.18561400000000003]"
"[0.03687, 0.04422000000000001, -0.191906]"
"[0.036525, 0.035745, -0.19706060000000003]"
"[0.022425, 0.06814500000000001, -0.17310259999999997]"
"[0.027824999999999996, 0.06266999999999999, -0.174845]"
"[0.026249999999999996, 0.055785, -0.18416200000000002]"
"[0.027284999999999997, 0.05198999999999998, -0.18989739999999997]"
"[0.026999999999999996, 0.046064999999999995, -0.19352740000000004]"
"[0.027554999999999996, 0.038924999999999994, -0.19914179999999998]"
"[0.01764, 0.07043999999999999, -0.17034380000000002]"
