"Sensor 3 Average (x, y, z)"
"[0.0021150000000000058, -0.0027599999999999994, -0.03763099999999999]"
"[0.003029999999999991, -0.0037799999999999995, -0.03325079999999999]"
"[0.004455000000000001, -0.0057, -0.0319924]"
"[0.004695000000000005, -0.00852, -0.0294756]"
"[0.00616499999999999, -0.007994999999999999, -0.0267168]"
"[0.008234999999999992, -0.01005, -0.027225000000000003]"
"[-0.00013499999999999623, -0.0011849999999999986, -0.0357676]"
"[-0.00022500000000000298, -0.0044399999999999995, -0.0333476]"
"[0.0006599999999999939, -0.006105, -0.032282799999999987]"
"[0.0024450000000000027, -0.007875, -0.0287496]"
"[0.003344999999999987, -0.008264999999999998, -0.029088400000000007]"
"[0.005249999999999991, -0.00861, -0.0254342]"
"[-0.004574999999999996, 4.49999999999999e-05, -0.0344366]"
"[-0.003044999999999992, -0.002624999999999999, -0.03257319999999999]"
"[-0.0013800000000000062, -0.0027750000000000006, -0.031363199999999994]"
"[-0.00039000000000000146, -0.005954999999999999, -0.0284108]"
"[0.0017099999999999893, -0.00729, -0.0282172]"
"[0.0028650000000000064, -0.0096, -0.0239338]"
"[-0.006960000000000022, -0.0007499999999999989, -0.032912]"
"[-0.005085000000000006, -0.001514999999999999, -0.029403]"
"[-0.004545000000000007, -0.0036899999999999997, -0.028822200000000003]"
"[-0.005145000000000011, -0.00417, -0.025022799999999998]"
"[-0.0021000000000000185, -0.005475, -0.024877599999999996]"
"[4.499999999998949e-05, -0.004904999999999999, -0.023933799999999998]"
"[-0.010395000000000015, 0.0016500000000000004, -0.03296039999999999]"
"[-0.009345, 0.00045000000000000075, -0.029257799999999997]"
"[-0.006165000000000004, -0.0019049999999999987, -0.027442800000000003]"
"[-0.005519999999999997, -0.0026100000000000003, -0.025821399999999998]"
"[-0.0048900000000000055, -0.004665, -0.0245146]"
"[-0.002354999999999996, -0.005625, -0.019239000000000003]"
"[-0.012135000000000014, 0.002535000000000001, -0.0282656]"
"[-0.009690000000000004, 0.002175, -0.0265958]"
"[-0.008790000000000006, 0.0006750000000000003, -0.0243452]"
"[-0.00804000000000002, -0.0020099999999999996, -0.023159399999999997]"
"[-0.006510000000000016, -0.0033749999999999995, -0.0185856]"
"[-0.005549999999999999, -0.0052499999999999995, -0.0182952]"
