"Sensor 4 Average (x, y, z)"
"[-1.0274249999999998, -0.70779, -1.4327851999999999]"
"[-0.898785, -0.83676, -1.1820490000000001]"
"[-0.7607550000000001, -0.8894549999999999, -0.9253596]"
"[-0.6264899999999999, -0.8803049999999999, -0.6929911999999999]"
"[-0.5059049999999999, -0.828885, -0.492107]"
"[-0.404355, -0.7537649999999999, -0.33083819999999997]"
"[-1.058475, -0.5810099999999999, -1.1051655999999999]"
"[-0.933465, -0.6944699999999999, -0.9197209999999998]"
"[-0.800895, -0.747345, -0.7234589999999999]"
"[-0.67008, -0.750705, -0.5440885999999998]"
"[-0.5439749999999999, -0.7167, -0.39003140000000003]"
"[-0.43851000000000007, -0.6585899999999999, -0.2609728]"
"[-1.02546, -0.465735, -0.8158788000000001]"
"[-0.9135449999999998, -0.5629949999999999, -0.6818833999999999]"
"[-0.7890599999999999, -0.6124349999999998, -0.5431206]"
"[-0.6687299999999999, -0.6222449999999999, -0.40747959999999994]"
"[-0.5514, -0.6029100000000001, -0.2930136]"
"[-0.44914500000000007, -0.561735, -0.1950762]"
"[-0.9458399999999999, -0.365835, -0.581405]"
"[-0.8514, -0.4485000000000001, -0.487388]"
"[-0.7444949999999998, -0.493965, -0.38349739999999993]"
"[-0.6376049999999999, -0.50724, -0.2904]"
"[-0.53721, -0.4997400000000001, -0.20286860000000004]"
"[-0.443055, -0.47034, -0.1312124]"
"[-0.846915, -0.28351499999999996, -0.3919189999999999]"
"[-0.767295, -0.35067000000000004, -0.3263612]"
"[-0.6784349999999999, -0.39139499999999994, -0.2602226]"
"[-0.5893199999999998, -0.4082549999999999, -0.19345480000000004]"
"[-0.501105, -0.40678499999999995, -0.13368080000000002]"
"[-0.41904, -0.389865, -0.08184440000000003]"
"[-0.7393499999999998, -0.21837, -0.25049419999999994]"
"[-0.6772499999999999, -0.271095, -0.20935420000000002]"
"[-0.6059249999999999, -0.3083849999999999, -0.1612688]"
"[-0.531915, -0.32738999999999996, -0.11485320000000002]"
"[-0.45786, -0.33067500000000005, -0.07959379999999999]"
"[-0.38886000000000004, -0.31972500000000004, -0.038792599999999997]"
