"Sensor 4 Average (x, y, z)"
"[-1.04595, -0.701625, -1.3123902]"
"[-0.91503, -0.8191200000000001, -1.0792958000000001]"
"[-0.77532, -0.8635499999999998, -0.8377555999999999]"
"[-0.638865, -0.8484449999999999, -0.6219642]"
"[-0.5161349999999999, -0.79911, -0.43932679999999996]"
"[-0.41204999999999997, -0.7258049999999999, -0.29286840000000003]"
"[-1.0603799999999999, -0.576015, -1.0006700000000002]"
"[-0.9357149999999999, -0.67659, -0.8276157999999999]"
"[-0.7975949999999999, -0.722475, -0.6488745999999999]"
"[-0.66432, -0.7197449999999999, -0.48363700000000004]"
"[-0.54384, -0.6864299999999999, -0.34042139999999993]"
"[-0.43960499999999997, -0.6303300000000001, -0.2248664]"
"[-1.0108199999999998, -0.45981000000000005, -0.7275003999999999]"
"[-0.898005, -0.546945, -0.605]"
"[-0.7762649999999999, -0.587325, -0.4743926]"
"[-0.6542250000000001, -0.596505, -0.35157759999999993]"
"[-0.5440499999999999, -0.575385, -0.24739660000000002]"
"[-0.44415, -0.5375399999999999, -0.15988939999999996]"
"[-0.922845, -0.3591, -0.5042553999999999]"
"[-0.8295899999999999, -0.43170000000000003, -0.4227255999999999]"
"[-0.7258500000000001, -0.47596499999999997, -0.33115279999999997]"
"[-0.6193649999999999, -0.48491999999999996, -0.24236299999999994]"
"[-0.521955, -0.475245, -0.16952099999999998]"
"[-0.430365, -0.4474349999999999, -0.1025112]"
"[-0.81906, -0.27705, -0.3345892]"
"[-0.740985, -0.33735, -0.27735619999999994]"
"[-0.6557250000000001, -0.37419, -0.21552519999999997]"
"[-0.5708249999999999, -0.38887499999999997, -0.153428]"
"[-0.48378, -0.3861899999999999, -0.10234180000000001]"
"[-0.40643999999999997, -0.36880500000000005, -0.0575718]"
"[-0.7108800000000001, -0.21364499999999997, -0.2087976]"
"[-0.65082, -0.262185, -0.16959359999999996]"
"[-0.58194, -0.29268, -0.12910699999999997]"
"[-0.510525, -0.31020000000000003, -0.08811219999999999]"
"[-0.43967999999999996, -0.3107399999999999, -0.0492712]"
"[-0.37390500000000004, -0.302895, -0.019674599999999993]"
