"Sensor 8 Average (x, y, z)"
"[0.39533999999999997, 0.6741449999999999, 0.8315361999999998]"
"[0.456525, 0.620085, 0.7438354]"
"[0.49673999999999985, 0.56046, 0.6546099999999999]"
"[0.5193299999999998, 0.5005049999999999, 0.5687968000000001]"
"[0.5277299999999999, 0.44240999999999997, 0.4779984000000001]"
"[0.521565, 0.387165, 0.397727]"
"[0.4474499999999999, 0.6452849999999999, 0.9747518]"
"[0.5090999999999999, 0.594255, 0.8677878]"
"[0.5547749999999999, 0.53232, 0.7606786]"
"[0.57723, 0.4714649999999999, 0.6557232000000001]"
"[0.584565, 0.4151849999999999, 0.552002]"
"[0.5733, 0.360495, 0.4554924]"
"[0.48723000000000005, 0.583155, 1.095171]"
"[0.5568449999999999, 0.5308649999999999, 0.9784785999999999]"
"[0.6021, 0.478815, 0.8541874]"
"[0.62271, 0.41894999999999993, 0.7356557999999999]"
"[0.626355, 0.36737999999999993, 0.616858]"
"[0.614265, 0.317445, 0.5104022]"
"[0.5314199999999999, 0.5042549999999999, 1.2247861999999996]"
"[0.6051749999999999, 0.45625499999999997, 1.0873543999999997]"
"[0.64965, 0.40962, 0.9488577999999999]"
"[0.6720299999999999, 0.35968500000000003, 0.8145961999999999]"
"[0.67485, 0.31070999999999993, 0.6828514]"
"[0.659055, 0.2692049999999999, 0.563981]"
"[0.5712149999999999, 0.398535, 1.3358399999999997]"
"[0.6471299999999999, 0.360795, 1.1848804]"
"[0.695145, 0.32052, 1.0325655999999999]"
"[0.71544, 0.280755, 0.8792586]"
"[0.71463, 0.24211499999999994, 0.7381000000000001]"
"[0.69663, 0.20669999999999994, 0.6075168]"
"[0.601815, 0.27269999999999994, 1.4270014]"
"[0.6840899999999999, 0.24122999999999997, 1.2708387999999997]"
"[0.73245, 0.21362999999999996, 1.1038103999999997]"
"[0.7532099999999999, 0.18497999999999998, 0.9371934]"
"[0.7511849999999999, 0.15836999999999996, 0.7833781999999999]"
"[0.7272599999999999, 0.13528499999999996, 0.6419775999999999]"
