"Sensor 5 Average (x, y, z)"
"[-0.51891, 0.370935, 0.38560279999999997]"
"[-0.527955, 0.35734499999999997, 0.4629944]"
"[-0.5227499999999999, 0.410055, 0.5504774]"
"[-0.50097, 0.46242, 0.637791]"
"[-0.46318499999999996, 0.5145450000000001, 0.725032]"
"[-0.40691999999999995, 0.5601750000000001, 0.8103127999999998]"
"[-0.56886, 0.280875, 0.44542519999999997]"
"[-0.579525, 0.32830499999999996, 0.536272]"
"[-0.57807, 0.379065, 0.6375732000000002]"
"[-0.5562900000000001, 0.432075, 0.7419962]"
"[-0.516315, 0.48219, 0.8457415999999999]"
"[-0.45489, 0.5310449999999999, 0.9443565999999999]"
"[-0.61491, 0.24469499999999997, 0.49595480000000003]"
"[-0.627675, 0.2883599999999999, 0.5996518]"
"[-0.624705, 0.33802499999999996, 0.7160053999999999]"
"[-0.604755, 0.38453999999999994, 0.8333269999999999]"
"[-0.5625899999999999, 0.43324499999999994, 0.9560452]"
"[-0.49836, 0.476235, 1.0702934]"
"[-0.6552300000000001, 0.19254, 0.5432174]"
"[-0.670035, 0.23168999999999998, 0.6655000000000001]"
"[-0.671175, 0.274635, 0.790614]"
"[-0.6522899999999999, 0.31581000000000004, 0.923593]"
"[-0.6094499999999999, 0.3554699999999999, 1.0630576]"
"[-0.539805, 0.397335, 1.1902286]"
"[-0.6854250000000001, 0.13317, 0.5856158]"
"[-0.7057650000000001, 0.163755, 0.709786]"
"[-0.707835, 0.198135, 0.8503396000000001]"
"[-0.6884550000000002, 0.23059499999999997, 0.9959752]"
"[-0.6440850000000001, 0.26352, 1.1464266000000003]"
"[-0.5719200000000001, 0.29655000000000004, 1.2892066]"
"[-0.7076850000000001, 0.06562499999999999, 0.6112919999999998]"
"[-0.730695, 0.08334000000000001, 0.7491593999999999]"
"[-0.735495, 0.10636500000000002, 0.8976506000000001]"
"[-0.71682, 0.129435, 1.0557734]"
"[-0.67083, 0.15092999999999998, 1.2145979999999998]"
"[-0.595725, 0.17277, 1.3632102000000001]"
