"Sensor 9 Average (x, y, z)"
"[-0.27809999999999996, -0.164415, 0.33405679999999993]"
"[-0.29307, -0.142845, 0.3567806]"
"[-0.30615000000000003, -0.11636999999999997, 0.37993999999999994]"
"[-0.31484999999999996, -0.089835, 0.3965412]"
"[-0.32086499999999996, -0.056835, 0.40452720000000003]"
"[-0.32358, -0.02073, 0.41234380000000004]"
"[-0.27235499999999996, -0.180975, 0.3775442000000001]"
"[-0.28884000000000004, -0.1566, 0.40380119999999997]"
"[-0.29978999999999995, -0.12764999999999999, 0.4281706]"
"[-0.30877499999999997, -0.09631500000000001, 0.4468046]"
"[-0.314655, -0.05938499999999999, 0.46192960000000005]"
"[-0.31945499999999993, -0.022335, 0.46807640000000006]"
"[-0.26219999999999993, -0.19572, 0.419144]"
"[-0.27827999999999997, -0.17038499999999998, 0.4525884]"
"[-0.28797, -0.139365, 0.47521539999999995]"
"[-0.29905499999999996, -0.10439999999999999, 0.4987136]"
"[-0.30423, -0.064515, 0.5137902]"
"[-0.30703499999999995, -0.023745000000000002, 0.5249222000000001]"
"[-0.2442, -0.21075000000000002, 0.46151819999999993]"
"[-0.25995, -0.18391500000000002, 0.4996332]"
"[-0.270165, -0.15028499999999997, 0.5274148]"
"[-0.27981, -0.11241000000000001, 0.5516632]"
"[-0.285585, -0.06978, 0.5677078]"
"[-0.28807499999999997, -0.025604999999999996, 0.5771457999999999]"
"[-0.22188000000000002, -0.22273499999999996, 0.4984232]"
"[-0.23455500000000004, -0.19423499999999996, 0.54087]"
"[-0.24424500000000002, -0.15896999999999997, 0.5707812000000001]"
"[-0.25437, -0.119235, 0.5992162]"
"[-0.2602649999999999, -0.07416, 0.6187940000000001]"
"[-0.26359499999999997, -0.026414999999999994, 0.6280626]"
"[-0.19281, -0.23736, 0.5381596000000001]"
"[-0.20454000000000003, -0.20532, 0.5800982]"
"[-0.212145, -0.16753499999999996, 0.6131312]"
"[-0.21990000000000004, -0.12481500000000001, 0.6440346]"
"[-0.225975, -0.078105, 0.6662744]"
"[-0.22782, -0.02835, 0.6795843999999999]"
