"Sensor 6 Average (x, y, z)"
"[-4.635134999999999, -1.8062550000000002, 4.6762386]"
"[-4.912109999999999, -1.0159049999999998, 5.0676252]"
"[4.8147899999999995, -0.11306999999999999, 5.224659]"
"[-4.937835000000001, 0.8016300000000001, 5.120090800000001]"
"[-4.680045, 1.625685, 4.7768622]"
"[-4.153275, 2.506545, 4.2412436]"
"[-4.64472, -1.96209, 6.3950678000000005]"
"[-4.886625, -0.9395849999999999, 6.862031]"
"[-4.937835, 0.193035, 6.980974]"
"[-4.78944, 1.3060649999999998, 6.7391917999999995]"
"[-4.46703, 2.263065, 6.176009400000001]"
"[-4.01418, 2.980395, 5.387404]"
"[-4.187865, -2.2973399999999997, 7.8353307999999995]"
"[-4.414289999999999, -1.10913, -7.4383298]"
"[-4.459725, 0.219885, -7.2853373999999995]"
"[-4.31745, 1.51215, -7.596404199999999]"
"[-4.00479, 2.62308, 7.545172800000001]"
"[-3.573825, 3.4412850000000006, 6.5471889999999995]"
"[-3.3334349999999997, -2.59572, -6.722759999999998]"
"[-3.518369999999999, -1.263285, -6.017112199999999]"
"[-3.55191, 0.23134500000000002, -5.834934599999999]"
"[-3.42567, 1.6959599999999997, -6.2101556]"
"[-3.161475, 2.9367, -7.0744828]"
"[-2.801145, 3.8396549999999996, 7.5943955999999995]"
"[-2.11497, -2.8236149999999993, -5.7379652]"
"[-2.2246799999999998, -1.3860000000000001, -4.946625199999999]"
"[-2.237895, 0.23484, -4.743780799999999]"
"[-2.14782, 1.816755, -5.1726048]"
"[-1.9681799999999998, 3.1578, -6.144259]"
"[-1.731705, 4.122225, -7.486415199999998]"
"[-0.626535, -2.8942649999999994, -5.3599854]"
"[-0.648615, -1.4228850000000002, -4.538588999999999]"
"[-0.6378750000000001, 0.22985999999999995, -4.330299599999999]"
"[-0.5935650000000001, 1.8434249999999999, -4.7765476]"
"[-0.5279699999999999, 3.2169000000000003, -5.790454999999999]"
"[-0.4494, 4.196385, -7.183745799999999]"
