"Sensor 14 Average (x, y, z)"
"[-0.944265, -1.86699, 0.2789776]"
"[-1.173945, -2.11113, 0.5031422]"
"[-1.4522849999999998, -2.354145, 0.7964461999999999]"
"[-1.7892449999999998, -2.58177, 1.169949]"
"[-2.1826799999999995, -2.767065, 1.6320964]"
"[-2.6266800000000003, -2.8613100000000005, 2.1856472]"
"[-0.85737, -2.08314, 0.38354579999999994]"
"[-1.0755149999999998, -2.3740799999999997, 0.6453656]"
"[-1.34646, -2.67438, 0.9998471999999999]"
"[-1.6732949999999998, -2.9596050000000003, 1.4595988]"
"[-2.062275, -3.1949249999999996, 2.0418024]"
"[-2.59536, -3.4138200000000003, 2.9834244]"
"[-0.754905, -2.35884, 0.5413298000000001]"
"[-0.955365, -2.701575, 0.8791376]"
"[-1.2010199999999998, -3.0614700000000004, 1.3327423999999999]"
"[-1.509105, -3.405345, 1.9223269999999997]"
"[-1.8747599999999998, -3.6987599999999996, 2.6663318]"
"[-2.297655, -3.880034999999999, 3.5777280000000005]"
"[-0.577665, -2.51382, 0.6270703999999999]"
"[-0.734805, -2.899065, 1.0052922000000002]"
"[-0.93534, -3.307455, 1.5169044]"
"[-1.17861, -3.708, 2.1906807999999995]"
"[-1.4735399999999998, -4.055610000000001, 3.0537254]"
"[-1.8196499999999998, -4.285815, 4.1064495999999995]"
"[-0.3676649999999999, -2.62164, 0.6871347999999998]"
"[-0.46839000000000003, -3.0370049999999997, 1.0941062]"
"[-0.5999700000000001, -3.4820250000000006, 1.6535618]"
"[-0.759675, -3.925485, 2.391081]"
"[-0.95484, -4.317584999999999, 3.3355344000000002]"
"[-1.17897, -4.593165, 4.505991599999999]"
"[-0.13605, -2.6829899999999998, 0.721644]"
"[-0.17475000000000004, -3.1154400000000004, 1.1458216]"
"[-0.22411500000000004, -3.5813549999999994, 1.7256052]"
"[-0.28144499999999995, -4.045169999999999, 2.4957944]"
"[-0.35238, -4.462529999999999, 3.4883332]"
"[-0.43519499999999994, -4.75494, 4.7235738000000005]"
