"Sensor 2 Average (x, y, z)"
"[-1.3294800000000002, -1.0771499999999998, -1.9117515999999994]"
"[-1.20075, -1.1721899999999998, -1.6642823999999998]"
"[-1.07214, -1.2235199999999997, -1.4233956]"
"[-0.9420000000000001, -1.23468, -1.1918016]"
"[-0.82488, -1.21413, -0.9800515999999999]"
"[-0.7129499999999999, -1.1684099999999997, -0.7913399999999999]"
"[-1.22799, -1.1924700000000001, -2.1858408000000003]"
"[-1.10592, -1.29417, -1.9023136]"
"[-0.98355, -1.3428900000000001, -1.6188348]"
"[-0.8602799999999998, -1.35054, -1.352054]"
"[-0.74859, -1.32177, -1.1082632]"
"[-0.6465899999999999, -1.2675, -0.8939480000000001]"
"[-1.07283, -1.3023299999999998, -2.4447808]"
"[-0.96315, -1.40967, -2.1200652]"
"[-0.8544599999999999, -1.45848, -1.8044004]"
"[-0.74739, -1.4569200000000002, -1.5008355999999998]"
"[-0.63888, -1.42323, -1.2255364]"
"[-0.54735, -1.3576500000000002, -0.98494]"
"[-0.84675, -1.4114699999999998, -2.6666948]"
"[-0.7579800000000001, -1.5154800000000002, -2.3072763999999992]"
"[-0.67011, -1.55958, -1.9522624]"
"[-0.58419, -1.5536399999999997, -1.62019]"
"[-0.5023200000000001, -1.5061499999999999, -1.3226268]"
"[-0.43308, -1.4301899999999999, -1.0573464]"
"[-0.58617, -1.4854199999999997, -2.8362884]"
"[-0.52692, -1.59333, -2.4515567999999996]"
"[-0.46541999999999994, -1.63365, -2.0706971999999997]"
"[-0.40524, -1.62222, -1.7132148000000005]"
"[-0.34932, -1.57026, -1.3954204]"
"[-0.29930999999999996, -1.48674, -1.1141679999999998]"
"[-0.29522999999999994, -1.53402, -2.9425264]"
"[-0.26349000000000006, -1.64025, -2.530594]"
"[-0.23381999999999997, -1.6793399999999998, -2.1356984000000008]"
"[-0.20438999999999996, -1.6629, -1.765632]"
"[-0.17769000000000001, -1.60773, -1.436996]"
"[-0.15275999999999998, -1.5203399999999998, -1.1503227999999999]"
