"Sensor 2 Average (x, y, z)"
"[0.028080000000000004, -0.1323, -0.023570800000000003]"
"[0.03783, -0.11216999999999999, -0.04235]"
"[0.03135, -0.08394000000000001, -0.040123599999999995]"
"[0.037529999999999994, -0.10665, -0.043705199999999986]"
"[0.04806000000000002, -0.14082, -0.04757719999999999]"
"[0.037140000000000006, -0.15513000000000002, -0.043221199999999994]"
"[0.045329999999999995, -0.14393999999999998, -0.045350800000000004]"
"[0.054449999999999985, -0.16662, -0.0466576]"
"[0.05522999999999999, -0.16496999999999998, -0.043463199999999994]"
"[0.043289999999999995, -0.13392, -0.0426404]"
"[0.05553000000000001, -0.11639999999999998, -0.044479599999999994]"
"[0.04397999999999999, -0.12924, -0.0455444]"
