"Sensor 8 Average (x, y, z)"
"[0.024689999999999997, 0.03933, 0.29804719999999996]"
"[0.025949999999999997, 0.03881999999999999, 0.2951916]"
"[0.02601, 0.03735000000000001, 0.2958692]"
"[0.0255, 0.03921, 0.29485279999999997]"
"[0.02499, 0.03873, 0.2987732]"
"[0.02709, 0.036180000000000004, 0.29407839999999996]"
"[0.029039999999999996, 0.032189999999999996, 0.276364]"
"[0.025859999999999998, 0.032639999999999995, 0.2717176]"
"[0.02742, 0.032010000000000004, 0.2712336]"
"[0.026940000000000002, 0.03251999999999999, 0.27045919999999996]"
