"Sensor 1 Average (x, y, z)"
"[0.005744999999999998, -6.0000000000001025e-05, 0.0036542]"
"[0.005384999999999999, -5.9999999999997555e-05, 0.004089800000000003]"
"[0.004874999999999999, 7.499999999999868e-05, 0.0046222]"
"[0.004454999999999999, -3.469446951953614e-18, 0.004936800000000002]"
"[0.003929999999999998, -7.500000000000215e-05, 0.005396600000000001]"
"[0.0035849999999999988, 8.99999999999998e-05, 0.005009400000000001]"
"[0.0029699999999999987, 9.000000000000327e-05, 0.004719000000000001]"
"[0.0023549999999999977, 3.0000000000002247e-05, 0.004477000000000002]"
"[0.002129999999999999, 0.00016500000000000195, 0.0038962000000000024]"
"[0.0015299999999999984, 5.9999999999997555e-05, 0.003436399999999999]"
"[0.0014549999999999988, -0.0002249999999999995, 0.002952400000000001]"
