"Sensor 1 Average (x, y, z)"
"[0.08784, 0.013304999999999997, -0.1708278]"
"[0.07884, 0.014279999999999998, -0.18776779999999998]"
"[0.06575999999999999, 0.015404999999999999, -0.2044658]"
"[0.05057999999999999, 0.016634999999999997, -0.21707400000000002]"
"[0.033015, 0.01743, -0.2267298]"
"[0.015555, 0.017939999999999998, -0.2311342]"
"[-0.009044999999999994, 0.018090000000000002, -0.23159400000000002]"
"[-0.026340000000000002, 0.017759999999999998, -0.22806079999999998]"
"[-0.043379999999999995, 0.016904999999999996, -0.22009900000000002]"
"[-0.05595, 0.014984999999999998, -0.21191939999999998]"
"[-0.07077, 0.014099999999999998, -0.1960684]"
