"Sensor 10 Average (x, y, z)"
"[0.015764999999999998, 0.013574999999999997, -0.22827859999999997]"
"[0.01689, 0.023534999999999986, -0.22680240000000002]"
"[0.01533, 0.031094999999999984, -0.22343860000000001]"
"[0.01449, 0.040334999999999996, -0.22155099999999997]"
"[0.014429999999999998, 0.048224999999999976, -0.21271799999999996]"
"[0.02454, 0.012899999999999995, -0.2252052]"
"[0.02469, 0.02126999999999999, -0.22568920000000006]"
"[0.024374999999999997, 0.03013500000000001, -0.2191068]"
"[0.022635, 0.037559999999999996, -0.2161302]"
"[0.02397, 0.04745999999999999, -0.2116774]"
"[0.03327, 0.01149, -0.2219866]"
"[0.035595, 0.02003999999999998, -0.22239799999999996]"
"[0.03228, 0.030614999999999976, -0.21712239999999997]"
"[0.03204, 0.038714999999999986, -0.21295999999999998]"
"[0.030495, 0.04676999999999999, -0.2095478]"
"[0.04248, 0.009209999999999996, -0.21898579999999995]"
"[0.041850000000000005, 0.02059499999999999, -0.21707399999999993]"
"[0.041909999999999996, 0.028319999999999998, -0.2174854]"
"[0.04284, 0.03696000000000001, -0.20896699999999999]"
"[0.04071, 0.04490999999999999, -0.20328]"
"[0.049440000000000005, 0.01029, -0.21371019999999996]"
"[0.04966500000000001, 0.01851, -0.2101286]"
"[0.049905, 0.027914999999999995, -0.2080958]"
"[0.047235, 0.038279999999999995, -0.20485300000000004]"
"[0.04911000000000001, 0.04485, -0.20025499999999993]"
