values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,0.00567388909291223,0.03460643897661893,0.000918105031215571
0,1,0,0,0,0.005618802791039295,0.034814542783694453,0.0009548292324641939
0,2,0,0,0,0.005618802791039295,0.034814542783694453,0.0009548292324641939
0,3,0,0,0,0.005520871587709634,0.03482678418411066,0.0011935365405802425
0,4,0,0,0,0.005478026686252907,0.03490023258660791,0.0007038805239319378
0,5,0,0,0,0.0058207858979067205,0.03480842208348635,0.0007834496266372873
0,6,0,0,0,0.0058207858979067205,0.03480842208348635,0.0007834496266372873
0,7,0,0,0,0.005484147386461012,0.034728852980781,0.00012241400416207614
0,8,0,0,0,0.005367854082507039,0.03445342147141633,0.0011629330395397234
0,9,0,0,0,0.005367854082507039,0.03445342147141633,0.0011629330395397234
0,10,0,0,0,0.005618802791039295,0.0348757497857755,0.0005263802178969274
0,11,0,0,0,0.0056494062920798135,0.03480230138327824,0.000667156322683315
0,12,0,0,0,0.0056494062920798135,0.03480230138327824,0.000667156322683315
0,13,0,0,0,0.0055759578895825685,0.0348879911861917,0.0006916391235157302
0,14,0,0,0,0.005784061696658098,0.03473497368098911,0.0008813808299669483
0,15,0,0,0,0.005784061696658098,0.03473497368098911,0.0008813808299669483
0,16,0,0,0,0.005343371281674623,0.03490635328681601,0.00120577794099645
0,17,0,0,0,0.005741216795201371,0.03467988737911617,0.0014444852491124986
0,18,0,0,0,0.005741216795201371,0.03467988737911617,0.0014444852491124986
0,19,0,0,0,0.005533112988125841,0.034796180683070145,0.0011568123393316196
0,20,0,0,0,0.005563716489166361,0.034741094381197206,0.000697759823723834
0,21,0,0,0,0.005563716489166361,0.034741094381197206,0.000697759823723834
0,22,0,0,0,0.005563716489166361,0.03480842208348635,0.0011874158403721385
0,23,0,0,0,0.00551475088750153,0.03475945648182152,0.0002570694087403599
0,24,0,0,0,0.00551475088750153,0.03475945648182152,0.000728363324764353
0,25,0,0,0,0.005655526992287918,0.03458807687599461,0.000728363324764353
0,26,0,0,0,0.005355612682090831,0.0348757497857755,0.00037336271269433223
0,27,0,0,0,0.005484147386461012,0.03482066348390256,0.0011017260374586852
0,28,0,0,0,0.005484147386461012,0.03482066348390256,0.0011017260374586852
0,29,0,0,0,0.005569837189374464,0.0347227322805729,0.0010650018362100624
0,30,0,0,0,0.005563716489166361,0.034894111886399806,0.0010894846370424777
0,31,0,0,0,0.005563716489166361,0.034894111886399806,0.0010894846370424777
0,32,0,0,0,0.00564328559187171,0.034526869873913575,0.0004468111151915779
0,33,0,0,0,0.005582078589790672,0.034936956787856535,0.0014995715509854327
0,34,0,0,0,0.005582078589790672,0.034936956787856535,0.0014995715509854327
0,35,0,0,0,0.005496388786877219,0.03490635328681601,0.0013159505447423185
0,36,0,0,0,0.005435181784796181,0.034894111886399806,0.0013037091443261109
0,37,0,0,0,0.005435181784796181,0.034894111886399806,0.0013037091443261109
0,38,0,0,0,0.005398457583547558,0.03480230138327824,0.0010650018362100624
0,39,0,0,0,0.005453543885420492,0.03447790427224874,0.0011139674378748928
0,40,0,0,0,0.005453543885420492,0.03447790427224874,0.0011139674378748928
0,41,0,0,0,0.005588199289998775,0.03497980168931326,0.000985432733504713
0,42,0,0,0,0.0056126820908311914,0.03460643897661893,0.0003856041131105398
0,43,0,0,0,0.0056126820908311914,0.03460643897661893,0.0003856041131105398
0,44,0,0,0,0.005496388786877219,0.034710490880156694,0.0013098298445342147
0,45,0,0,0,0.005618802791039295,0.034728852980781,0.0008079324274697026
0,46,0,0,0,0.005618802791039295,0.03494307748806463,0.0009364671318398824
0,47,0,0,0,0.005447423185212389,0.03494307748806463,0.0009364671318398824
0,48,0,0,0,0.00551475088750153,0.03480842208348635,0.000856898029134533
0,49,0,0,0,0.0055759578895825685,0.03477169788223773,0.0005508630187293426
0,50,0,0,0,0.0055759578895825685,0.03477169788223773,0.0005508630187293426
0,51,0,0,0,0.005735096094993267,0.03463092177745134,0.0010894846370424777
0,52,0,0,0,0.005667768392704125,0.03463092177745134,0.0008201738278859101
0,53,0,0,0,0.005667768392704125,0.03463092177745134,0.0008201738278859101
0,54,0,0,0,0.0054045782837556615,0.03480230138327824,0.0010711225364181663
0,55,0,0,0,0.005300526380217897,0.03494307748806463,0.0009548292324641939
0,56,0,0,0,0.005300526380217897,0.03494307748806463,0.0009548292324641939
0,57,0,0,0,0.005680009793120333,0.034569714775370304,0.0008752601297588444
0,58,0,0,0,0.005582078589790672,0.034894111886399806,0.0011506916391235157
0,59,0,0,0,0.005582078589790672,0.034894111886399806,0.0011506916391235157
0,60,0,0,0,0.0055943199902068795,0.0345635940751622,0.0006243114212265883
0,61,0,0,0,0.005569837189374464,0.03458195617578651,0.0011812951401640349
0,62,0,0,0,0.005569837189374464,0.03458195617578651,0.0011812951401640349
0,63,0,0,0,0.005398457583547558,0.03485126698494308,0.0005937079201860692
0,64,0,0,0,0.005410698983963765,0.03482066348390256,0.001009915534337128
0,65,0,0,0,0.005410698983963765,0.03482066348390256,0.001009915534337128
0,66,0,0,0,0.00572285469457706,0.03460031827641082,0.0012241400416207614
0,67,0,0,0,0.005618802791039295,0.03475945648182152,0.0011629330395397234
0,68,0,0,0,0.005618802791039295,0.03477781858244583,0.0003427592116538132
0,69,0,0,0,0.005508630187293426,0.03477781858244583,0.0003427592116538132
0,70,0,0,0,0.0054045782837556615,0.03477169788223773,0.0012241400416207614
0,71,0,0,0,0.00564328559187171,0.034955318888480844,0.00094870853225609
0,72,0,0,0,0.00564328559187171,0.034955318888480844,0.00094870853225609
0,73,0,0,0,0.005520871587709634,0.03459419757620272,0.0008018117272615987
0,74,0,0,0,0.0056494062920798135,0.03483290488431877,0.000697759823723834
0,75,0,0,0,0.0056494062920798135,0.03483290488431877,0.000697759823723834
0,76,0,0,0,0.005618802791039295,0.03508997429305913,0.0008446566287183254
