values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,0.005998286203941731,0.027469702533969888,0.004058024237972824
0,1,0,0,0,0.005998286203941731,0.027469702533969888,0.004058024237972824
0,2,0,0,0,0.006096217407271392,0.027512547435426617,0.0038254376300648797
0,3,0,0,0,0.006169665809768637,0.02726159872689436,0.0037519892275676334
0,4,0,0,0,0.006169665809768637,0.027237115926061938,0.0035194026196596886
0,5,0,0,0,0.006188027910392949,0.027237115926061938,0.0035194026196596886
0,6,0,0,0,0.006004406904149834,0.027194271024605216,0.00410086913942955
0,7,0,0,0,0.006163545109560534,0.02735952993022402,0.003972334435059371
0,8,0,0,0,0.006163545109560534,0.02735952993022402,0.003972334435059371
0,9,0,0,0,0.0060839760068551844,0.027298322928142982,0.003984575835475578
0,10,0,0,0,0.006071734606438976,0.027200391724813318,0.0038744032317297094
0,11,0,0,0,0.006071734606438976,0.027200391724813318,0.0038744032317297094
0,12,0,0,0,0.006218631411433468,0.027163667523564694,0.0038131962296486716
0,13,0,0,0,0.006059493206022769,0.02718202962418901,0.003807075529440568
0,14,0,0,0,0.006059493206022769,0.02718202962418901,0.003807075529440568
0,15,0,0,0,0.00615742440935243,0.027200391724813318,0.004015179336516098
0,16,0,0,0,0.006243114212265883,0.0271759089239809,0.003672420124862284
0,17,0,0,0,0.006243114212265883,0.0271759089239809,0.003672420124862284
0,18,0,0,0,0.0061207002081038065,0.02740849553188885,0.00400293793609989
0,19,0,0,0,0.0062737177133064025,0.027530909536050925,0.003323540213000367
0,20,0,0,0,0.0062737177133064025,0.027530909536050925,0.003323540213000367
0,21,0,0,0,0.0060839760068551844,0.02735340923001591,0.004058024237972824
0,22,0,0,0,0.006212510711225364,0.027249357326478145,0.004119231240053862
0,23,0,0,0,0.006212510711225364,0.027249357326478145,0.004119231240053862
0,24,0,0,0,0.006077855306647081,0.027451340433345572,0.004021300036724201
0,25,0,0,0,0.006298200514138817,0.02741461623209695,0.003935610233810748
0,26,0,0,0,0.006298200514138817,0.027328926429183498,0.0042355245440078345
0,27,0,0,0,0.006200269310809157,0.027328926429183498,0.0042355245440078345
0,28,0,0,0,0.0062920798139307135,0.027279960827518667,0.0037703513281919453
0,29,0,0,0,0.005924837801444485,0.02736565063043212,0.0036050924225731426
0,30,0,0,0,0.005924837801444485,0.02736565063043212,0.0036050924225731426
0,31,0,0,0,0.006212510711225364,0.027457461133553678,0.0038560411311053984
0,32,0,0,0,0.006304321214346921,0.02731056432855919,0.0037703513281919453
0,33,0,0,0,0.006304321214346921,0.02731056432855919,0.0037703513281919453
0,34,0,0,0,0.006383890317052271,0.02739625413147264,0.0036907822254865956
0,35,0,0,0,0.006175786509976741,0.02744521973313747,0.003960093034643163
0,36,0,0,0,0.006175786509976741,0.02744521973313747,0.003960093034643163
0,37,0,0,0,0.006145183008936223,0.027286081527726776,0.0038254376300648797
0,38,0,0,0,0.006090096707063288,0.027390133431264535,0.0038927653323540213
0,39,0,0,0,0.006090096707063288,0.027390133431264535,0.0038927653323540213
0,40,0,0,0,0.0060656139062308725,0.02726771942710246,0.0035255233198677933
0,41,0,0,0,0.006126820908311911,0.02722487452564573,0.0034214714163300283
0,42,0,0,0,0.006126820908311911,0.02722487452564573,0.0034214714163300283
0,43,0,0,0,0.006316562614763129,0.027341167829599704,0.004039662137348512
0,44,0,0,0,0.006328804015179336,0.027292202227934874,0.0038927653323540213
0,45,0,0,0,0.006328804015179336,0.027292202227934874,0.0038927653323540213
0,46,0,0,0,0.006022769004774146,0.027347288529807813,0.0036050924225731426
0,47,0,0,0,0.006163545109560534,0.027145305422940386,0.0030236259028032808
0,48,0,0,0,0.006163545109560534,0.02708409842085935,0.003800954829232464
0,49,0,0,0,0.006077855306647081,0.02708409842085935,0.003800954829232464
0,50,0,0,0,0.006353286816011753,0.027543150936467132,0.004492593952748194
0,51,0,0,0,0.006090096707063288,0.027200391724813318,0.0035194026196596886
0,52,0,0,0,0.006090096707063288,0.027200391724813318,0.0035194026196596886
0,53,0,0,0,0.0060472518056065615,0.027016770718570206,0.0038499204308972946
0,54,0,0,0,0.0062369935120577796,0.02726771942710246,0.004058024237972824
0,55,0,0,0,0.0062369935120577796,0.02726771942710246,0.004058024237972824
0,56,0,0,0,0.006096217407271392,0.02731056432855919,0.003941730934018852
0,57,0,0,0,0.005986044803525523,0.027279960827518667,0.00413147264047007
0,58,0,0,0,0.005986044803525523,0.027279960827518667,0.00413147264047007
0,59,0,0,0,0.006218631411433468,0.02718202962418901,0.004039662137348512
0,60,0,0,0,0.006096217407271392,0.0271759089239809,0.004088627739013343
0,61,0,0,0,0.006096217407271392,0.0271759089239809,0.004088627739013343
0,62,0,0,0,0.006347166115803648,0.027377892030848328,0.003960093034643163
0,63,0,0,0,0.0063104419145550246,0.027328926429183498,0.00438854204921043
0,64,0,0,0,0.0063104419145550246,0.027328926429183498,0.00438854204921043
0,65,0,0,0,0.006206390011017261,0.02731056432855919,0.0035438854204921043
0,66,0,0,0,0.006035010405190354,0.027120822622107972,0.003678540825070388
0,67,0,0,0,0.006035010405190354,0.027120822622107972,0.003678540825070388
0,68,0,0,0,0.006322683314971232,0.027163667523564694,0.0038376790304810874
0,69,0,0,0,0.006145183008936223,0.027279960827518667,0.004064144938180928
0,70,0,0,0,0.006261476312890195,0.027157546823356592,0.0038193169298567755
0,71,0,0,0,0.006261476312890195,0.027157546823356592,0.0038193169298567755
0,72,0,0,0,0.006059493206022769,0.027243236626270047,0.003935610233810748
0,73,0,0,0,0.006169665809768637,0.02739625413147264,0.0032868160117517442
0,74,0,0,0,0.006169665809768637,0.02739625413147264,0.0032868160117517442
0,75,0,0,0,0.006059493206022769,0.027035132819194518,0.003556126820908312
0,76,0,0,0,0.006151303709144326,0.02722487452564573,0.0036295752234055574
0,77,0,0,0,0.006151303709144326,0.02722487452564573,0.0036295752234055574
