values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.02695556371648917,0.0332843677316685,-0.03370669604602767
0,1,0,0,0,-0.026980046517321582,0.03322316072958746,-0.033314971232709024
0,2,0,0,0,-0.026827029012118985,0.03314971232709022,-0.0334373852368711
0,3,0,0,0,-0.026808666911494677,0.03329048843187661,-0.03337005753458196
0,4,0,0,0,-0.026808666911494677,0.03329048843187661,-0.03336393683437385
0,5,0,0,0,-0.027004529318153996,0.0331129881258416,-0.03336393683437385
0,6,0,0,0,-0.02694944301628106,0.033161953727506424,-0.03357204064144938
0,7,0,0,0,-0.02675358060962174,0.033174195127922634,-0.03356591994124128
0,8,0,0,0,-0.0268453911127433,0.03310686742563349,-0.03353531644020076
0,9,0,0,0,-0.026833149712327094,0.03299669482188762,-0.033455747337495415
0,10,0,0,0,-0.026961684416697267,0.03294772922022279,-0.033614885542906106
0,11,0,0,0,-0.026778063410454155,0.033406781735830574,-0.03355367854082507
0,12,0,0,0,-0.02688211531399192,0.03277634961439589,-0.03342514383645489
0,13,0,0,0,-0.026600563104419144,0.0334496266372873,-0.033614885542906106
0,14,0,0,0,-0.026765822010037948,0.033229281429795574,-0.03347410943811972
0,15,0,0,0,-0.026857632513159507,0.032800832415228305,-0.03350471293916024
0,16,0,0,0,-0.026735218508997426,0.033161953727506424,-0.03366385114457094
0,17,0,0,0,-0.026937201615864853,0.033259884930836085,-0.03292324641939038
0,18,0,0,0,-0.026820908311910883,0.03324764353041988,-0.03366385114457094
0,19,0,0,0,-0.026643408005875873,0.03305178112376056,-0.03369445464561146
0,20,0,0,0,-0.026643408005875873,0.03305178112376056,-0.03350471293916024
0,21,0,0,0,-0.027059615620026935,0.033302729832292814,-0.03350471293916024
0,22,0,0,0,-0.026729097808789327,0.03313747092667401,-0.033388419635206265
0,23,0,0,0,-0.026924960215448646,0.03308238462480108,-0.033608764842698
0,24,0,0,0,-0.026875994613783816,0.0331129881258416,-0.03359040274207369
0,25,0,0,0,-0.0268453911127433,0.033027298322928146,-0.03374342024727629
0,26,0,0,0,-0.026980046517321582,0.03302117762272004,-0.033657730444362835
0,27,0,0,0,-0.026735218508997426,0.03303953972334435,-0.03371281674623577
0,28,0,0,0,-0.02686375321336761,0.03306402252417677,-0.033688333945403354
0,29,0,0,0,-0.02679642551107847,0.03310686742563349,-0.03357816134165749
0,30,0,0,0,-0.026857632513159507,0.03300893622230383,-0.03371281674623577
0,31,0,0,0,-0.02677194271024605,0.033272126331252296,-0.033547557840616964
0,32,0,0,0,-0.02690047741461623,0.03307626392459297,-0.03373729954706818
0,33,0,0,0,-0.02686375321336761,0.033119108826049695,-0.03323540213000367
0,34,0,0,0,-0.02690047741461623,0.03310074672542539,-0.03373729954706818
0,35,0,0,0,-0.02690047741461623,0.03310074672542539,-0.033357816134165746
0,36,0,0,0,-0.02690047741461623,0.03322316072958746,-0.033357816134165746
0,37,0,0,0,-0.026918839515240545,0.03326600563104419,-0.03359040274207369
0,38,0,0,0,-0.02690047741461623,0.033143591626882116,-0.033608764842698
0,39,0,0,0,-0.026857632513159507,0.03310686742563349,-0.033547557840616964
0,40,0,0,0,-0.026986167217529684,0.033174195127922634,-0.03358428204186559
0,41,0,0,0,-0.0268453911127433,0.03307014322438487,-0.03366385114457094
0,42,0,0,0,-0.02679642551107847,0.033186436528338845,-0.03337005753458196
0,43,0,0,0,-0.026808666911494677,0.03298445342147142,-0.03374954094748439
0,44,0,0,0,-0.026710735708165012,0.03335169543395765,-0.03336393683437385
0,45,0,0,0,-0.026869873913575714,0.032917125719182275,-0.03374954094748439
0,46,0,0,0,-0.02699228791773779,0.0331129881258416,-0.033486350838535926
0,47,0,0,0,-0.026729097808789327,0.03315583302729832,-0.033627126943322316
0,48,0,0,0,-0.026833149712327094,0.03314971232709022,-0.0334496266372873
0,49,0,0,0,-0.026808666911494677,0.032917125719182275,-0.033786265148733015
0,50,0,0,0,-0.026980046517321582,0.03310074672542539,-0.0335965234422818
0,51,0,0,0,-0.026980046517321582,0.03310074672542539,-0.0335965234422818
0,52,0,0,0,-0.026973925817113477,0.033131350226465905,-0.033229281429795574
0,53,0,0,0,-0.026961684416697267,0.03322316072958746,-0.033871954951646466
0,54,0,0,0,-0.027004529318153996,0.0332782470314604,-0.03347410943811972
0,55,0,0,0,-0.02686375321336761,0.03313747092667401,-0.033608764842698
0,56,0,0,0,-0.02699840861794589,0.03284979801689313,-0.033455747337495415
0,57,0,0,0,-0.026857632513159507,0.03294772922022279,-0.0332782470314604
0,58,0,0,0,-0.02681478761170278,0.03319867792875505,-0.033406781735830574
0,59,0,0,0,-0.02656995960337863,0.033161953727506424,-0.03342514383645489
0,60,0,0,0,-0.026833149712327094,0.03299057412167952,-0.03352307503978455
0,61,0,0,0,-0.026778063410454155,0.033119108826049695,-0.03355367854082507
0,62,0,0,0,-0.026747459909413636,0.033259884930836085,-0.03358428204186559
0,63,0,0,0,-0.02695556371648917,0.03310686742563349,-0.03358428204186559
0,64,0,0,0,-0.026869873913575714,0.03313747092667401,-0.03330885053250092
0,65,0,0,0,-0.026980046517321582,0.033174195127922634,-0.03350471293916024
0,66,0,0,0,-0.026980046517321582,0.033174195127922634,-0.03350471293916024
0,67,0,0,0,-0.0266862529073326,0.03314971232709022,-0.033633247643530415
0,68,0,0,0,-0.026918839515240545,0.03303953972334435,-0.03349247153874403
0,69,0,0,0,-0.02704125351940262,0.03324152283021178,-0.03352307503978455
0,70,0,0,0,-0.026961684416697267,0.03281307381564451,-0.03349247153874403
0,71,0,0,0,-0.026729097808789327,0.03308850532500918,-0.0334373852368711
0,72,0,0,0,-0.02680254621128657,0.03298445342147142,-0.03366385114457094
0,73,0,0,0,-0.02675358060962174,0.03300893622230383,-0.03366385114457094
0,74,0,0,0,-0.027237115926061938,0.03320479862896315,-0.03333945403354144
