values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.017229771085812216,0.0292569469947362,-0.031221691761537516
0,1,0,0,0,-0.017229771085812216,0.0292569469947362,-0.031221691761537516
0,2,0,0,0,-0.017303219488309464,0.029324274697025338,-0.03135634716611581
0,3,0,0,0,-0.017199167584771698,0.02919573999265516,-0.031233933161953727
0,4,0,0,0,-0.017199167584771698,0.02919573999265516,-0.031233933161953727
0,5,0,0,0,-0.01739502999143102,0.029367119598482067,-0.03120945036112131
0,6,0,0,0,-0.01718692618435549,0.029232464193903785,-0.031215571061329418
0,7,0,0,0,-0.01718692618435549,0.029232464193903785,-0.031215571061329418
0,8,0,0,0,-0.017284857387685152,0.029324274697025338,-0.031025829354878198
0,9,0,0,0,-0.017578650997674132,0.029287550495776714,-0.031117639857999757
0,10,0,0,0,-0.017578650997674132,0.029287550495776714,-0.031117639857999757
0,11,0,0,0,-0.01729709878810136,0.02935487819806586,-0.03106255355612682
0,12,0,0,0,-0.01740115069163912,0.02919573999265516,-0.03131350226465908
0,13,0,0,0,-0.01740115069163912,0.02919573999265516,-0.03131350226465908
0,14,0,0,0,-0.017223650385604115,0.02903660178724446,-0.031197208960705103
0,15,0,0,0,-0.017205288284979803,0.029207981393071368,-0.031184967560288896
0,16,0,0,0,-0.017303219488309464,0.02917737789203085,-0.030817725547802672
0,17,0,0,0,-0.017303219488309464,0.02917737789203085,-0.030817725547802672
0,18,0,0,0,-0.01731546088872567,0.029140653690782226,-0.03138082996694822
0,19,0,0,0,-0.017486840494552576,0.029146774390990327,-0.03133798506549149
0,20,0,0,0,-0.017486840494552576,0.029146774390990327,-0.03133798506549149
0,21,0,0,0,-0.017456236993512057,0.029116170889949812,-0.03105643285591872
0,22,0,0,0,-0.017290978087893254,0.02917737789203085,-0.031417554168196846
0,23,0,0,0,-0.017290978087893254,0.02917737789203085,-0.031417554168196846
0,24,0,0,0,-0.017205288284979803,0.02903660178724446,-0.03135634716611581
0,25,0,0,0,-0.017309340188517566,0.02934875749785775,-0.03131350226465908
0,26,0,0,0,-0.017309340188517566,0.02934875749785775,-0.03131350226465908
0,27,0,0,0,-0.017321581588933772,0.029238584894111887,-0.03136858856653201
0,28,0,0,0,-0.017321581588933772,0.029201860692863263,-0.031491002570694086
0,29,0,0,0,-0.017321581588933772,0.029201860692863263,-0.031491002570694086
0,30,0,0,0,-0.017303219488309464,0.029409964499938795,-0.03135634716611581
0,31,0,0,0,-0.017486840494552576,0.029140653690782226,-0.03136858856653201
0,32,0,0,0,-0.017486840494552576,0.029140653690782226,-0.03136858856653201
0,33,0,0,0,-0.017566409597257925,0.02943444730077121,-0.031405312767780635
0,34,0,0,0,-0.01734606438976619,0.029079446688701188,-0.03128289876361856
0,35,0,0,0,-0.017388909291222915,0.02939772309952259,-0.031215571061329418
0,36,0,0,0,-0.017388909291222915,0.02939772309952259,-0.031215571061329418
0,37,0,0,0,-0.01739502999143102,0.02930591259640103,-0.031319622964867185
0,38,0,0,0,-0.01715632268331497,0.02934875749785775,-0.031393071367364425
0,39,0,0,0,-0.01715632268331497,0.02934875749785775,-0.031393071367364425
0,40,0,0,0,-0.017462357693720162,0.02936099889827396,-0.031264536662994245
0,41,0,0,0,-0.017327702289141877,0.029232464193903785,-0.031307381564450974
0,42,0,0,0,-0.017327702289141877,0.029232464193903785,-0.031307381564450974
0,43,0,0,0,-0.017376667890806708,0.02936099889827396,-0.0310319500550863
0,44,0,0,0,-0.0173644264903905,0.02922022279348758,-0.031184967560288896
0,45,0,0,0,-0.0173644264903905,0.02922022279348758,-0.031184967560288896
0,46,0,0,0,-0.017205288284979803,0.0292630676949443,-0.031307381564450974
0,47,0,0,0,-0.017193046884563596,0.02917737789203085,-0.031264536662994245
0,48,0,0,0,-0.01711959848206635,0.029171257191822748,-0.03105643285591872
0,49,0,0,0,-0.017205288284979803,0.0292630676949443,-0.031001346554045784
0,50,0,0,0,-0.01734606438976619,0.029146774390990327,-0.03125841596278614
0,51,0,0,0,-0.01734606438976619,0.02939772309952259,-0.03120945036112131
0,52,0,0,0,-0.017517443995593095,0.02939772309952259,-0.03110539845758355
0,53,0,0,0,-0.017511323295384993,0.029471171502019833,-0.03110539845758355
0,54,0,0,0,-0.017407271391847227,0.029299791896192924,-0.03128289876361856
0,55,0,0,0,-0.017407271391847227,0.029336516097441544,-0.031533847472150815
0,56,0,0,0,-0.017229771085812216,0.029238584894111887,-0.031362467866323906
0,57,0,0,0,-0.017309340188517566,0.029238584894111887,-0.031393071367364425
0,58,0,0,0,-0.017260374586852735,0.02935487819806586,-0.0313441057656996
0,59,0,0,0,-0.017321581588933772,0.029116170889949812,-0.03129514016403477
0,60,0,0,0,-0.017223650385604115,0.029171257191822748,-0.031307381564450974
0,61,0,0,0,-0.017419512792263437,0.029238584894111887,-0.030909536050924225
0,62,0,0,0,-0.017462357693720162,0.029030481087036358,-0.031087036356959235
0,63,0,0,0,-0.01709511568123393,0.029422205900355002,-0.03135634716611581
0,64,0,0,0,-0.017597013098298444,0.029287550495776714,-0.03133798506549149
0,65,0,0,0,-0.017468478393928268,0.029293671195984822,-0.03133798506549149
0,66,0,0,0,-0.017529685396009305,0.029452809401395517,-0.031423674868404944
0,67,0,0,0,-0.01735218508997429,0.029385481699106382,-0.03146039906965357
0,68,0,0,0,-0.01735218508997429,0.029385481699106382,-0.03146039906965357
0,69,0,0,0,-0.01755416819684172,0.029250826294528093,-0.031227812461745625
0,70,0,0,0,-0.017290978087893254,0.029324274697025338,-0.031276778063410456
0,71,0,0,0,-0.01738278859101481,0.029244705594319992,-0.031405312767780635
0,72,0,0,0,-0.01735218508997429,0.029287550495776714,-0.03136858856653201
0,73,0,0,0,-0.017260374586852735,0.029409964499938795,-0.031087036356959235
0,74,0,0,0,-0.017260374586852735,0.029226343493695676,-0.031184967560288896
