values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.009621740727139184,0.06858244583180316,-0.020945036112131228
0,1,0,0,0,-0.009621740727139184,0.0684845146284735,-0.021293916023993144
0,2,0,0,0,-0.009536050924225731,0.06841106622597624,-0.021055208715877096
0,3,0,0,0,-0.009921655037336271,0.0684906353286816,-0.02101236381442037
0,4,0,0,0,-0.009554413024850043,0.06844166972701678,-0.020669604602766557
0,5,0,0,0,-0.009487085322560901,0.06844779042722487,-0.021275553923368835
0,6,0,0,0,-0.00941975762027176,0.06826416942098176,-0.02096951891296364
0,7,0,0,0,-0.009627861427347287,0.06841718692618436,-0.02091443261109071
0,8,0,0,0,-0.009474843922144694,0.0683314971232709,-0.02109193291712572
0,9,0,0,0,-0.009536050924225731,0.06842942832660057,-0.020945036112131228
0,10,0,0,0,-0.009627861427347287,0.06841106622597624,-0.02087158770963398
0,11,0,0,0,-0.009725792630676949,0.06823356591994124,-0.02165503733627127
0,12,0,0,0,-0.00956665442526625,0.06828253152160607,-0.021544864732525402
0,13,0,0,0,-0.00956665442526625,0.06828253152160607,-0.021544864732525402
0,14,0,0,0,-0.009560533725058147,0.06821520381931692,-0.02125107112253642
0,15,0,0,0,-0.009536050924225731,0.06868649773534093,-0.02101236381442037
0,16,0,0,0,-0.009640102827763496,0.06837434202472763,-0.02081650140776105
0,17,0,0,0,-0.00943811972089607,0.06846615252784918,-0.02109193291712572
0,18,0,0,0,-0.00951768882360142,0.06842942832660057,-0.020363569592361366
0,19,0,0,0,-0.009450361121312279,0.06825192802056555,-0.021312278124617456
0,20,0,0,0,-0.009609499326722977,0.06852123882972212,-0.021202105520871588
0,21,0,0,0,-0.009315705716733996,0.06835597992410332,-0.0210613294160852
0,22,0,0,0,-0.009431999020687967,0.06822744521973315,-0.02109805361733382
0,23,0,0,0,-0.009407516219855552,0.06838658342514384,-0.021226588321704005
0,24,0,0,0,-0.009621740727139184,0.06853348023013833,-0.021459174929611947
0,25,0,0,0,-0.009633982127555393,0.0683314971232709,-0.02114089851879055
0,26,0,0,0,-0.009542171624433837,0.06850899742930591,-0.021036846615252784
0,27,0,0,0,-0.009511568123393316,0.06853960093034643,-0.020779777206512424
0,28,0,0,0,-0.009370792018606928,0.0684906353286816,-0.021324519525033662
0,29,0,0,0,-0.009370792018606928,0.0684906353286816,-0.020810380707552943
0,30,0,0,0,-0.009542171624433837,0.0683192557228547,-0.020810380707552943
0,31,0,0,0,-0.009652344228179703,0.06844779042722487,-0.02091443261109071
0,32,0,0,0,-0.009376912718815033,0.06842330762639245,-0.021134777818582445
0,33,0,0,0,-0.009652344228179703,0.06859468723221937,-0.021257191822744523
0,34,0,0,0,-0.009701309829844535,0.0684906353286816,-0.021453054229403846
0,35,0,0,0,-0.00951768882360142,0.06852735952993022,-0.021244950422328317
0,36,0,0,0,-0.009487085322560901,0.06855184233076264,-0.021000122414004164
0,37,0,0,0,-0.009621740727139184,0.06861304933284368,-0.020712449504223282
0,38,0,0,0,-0.009585016525890562,0.06841718692618436,-0.020743053005263804
0,39,0,0,0,-0.009395274819439343,0.06841106622597624,-0.021336760925449873
0,40,0,0,0,-0.009652344228179703,0.06842942832660057,-0.020926674011506916
0,41,0,0,0,-0.009621740727139184,0.0684967560288897,-0.02112253641816624
0,42,0,0,0,-0.00961562002693108,0.0684722732280573,-0.021104174317541927
0,43,0,0,0,-0.00961562002693108,0.0684722732280573,-0.021104174317541927
0,44,0,0,0,-0.009664585628595911,0.06838046272493573,-0.020945036112131228
0,45,0,0,0,-0.00941975762027176,0.06839270412535195,-0.02142857142857143
0,46,0,0,0,-0.009640102827763496,0.0683192557228547,-0.021330640225241768
0,47,0,0,0,-0.009529930224017626,0.06855184233076264,-0.02095115681233933
0,48,0,0,0,-0.00969518912963643,0.06830701432243849,-0.021459174929611947
0,49,0,0,0,-0.009621740727139184,0.06828865222181417,-0.020522707797772065
0,50,0,0,0,-0.009597257926306769,0.06858856653201126,-0.020926674011506916
0,51,0,0,0,-0.009664585628595911,0.068337617823479,-0.021502019831068676
0,52,0,0,0,-0.00943811972089607,0.06841718692618436,-0.021391847227322805
0,53,0,0,0,-0.00956665442526625,0.06846003182764107,-0.021673399436895578
0,54,0,0,0,-0.009597257926306769,0.06831313502264659,-0.021550985432733503
0,55,0,0,0,-0.009499326722977108,0.0686436528338842,-0.02141633002815522
0,56,0,0,0,-0.009731913330885054,0.06839270412535195,-0.02152650263190109
0,57,0,0,0,-0.009640102827763496,0.06834985922389522,-0.021281674623576937
0,58,0,0,0,-0.009640102827763496,0.06834985922389522,-0.021281674623576937
0,59,0,0,0,-0.009511568123393316,0.06836822132451953,-0.021342881625657974
0,60,0,0,0,-0.00954829232464194,0.06857632513159505,-0.020896070510466398
0,61,0,0,0,-0.009682947729220223,0.06853348023013833,-0.021024605214836577
0,62,0,0,0,-0.009597257926306769,0.06845391112743297,-0.020981760313379852
0,63,0,0,0,-0.009542171624433837,0.0686620149345085,-0.02117150201983107
0,64,0,0,0,-0.009407516219855552,0.06842330762639245,-0.021153139919206757
0,65,0,0,0,-0.009542171624433837,0.06801934141265761,-0.02147753703023626
0,66,0,0,0,-0.009658464928387808,0.06858856653201126,-0.02065736320235035
0,67,0,0,0,-0.009413636920063655,0.06830701432243849,-0.021275553923368835
0,68,0,0,0,-0.009866568735463337,0.06871098053617333,-0.020889949810258292
0,69,0,0,0,-0.009499326722977108,0.06834985922389522,-0.020987881013587957
0,70,0,0,0,-0.009499326722977108,0.06834985922389522,-0.020987881013587957
0,71,0,0,0,-0.00951768882360142,0.06842942832660057,-0.020828742808177255
0,72,0,0,0,-0.009603378626514874,0.06862529073325987,-0.021055208715877096
0,73,0,0,0,-0.00934018851756641,0.0683253764230628,-0.020590035500061207
0,74,0,0,0,-0.009395274819439343,0.06853960093034643,-0.02069408740359897
