values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.02892030848329049,0.03426367976496511,-0.013716489166360632
0,1,0,0,0,-0.028944791284122907,0.03444730077120823,-0.01426123148488187
0,2,0,0,0,-0.028846860080793242,0.03445954217162443,-0.013771575468233566
0,3,0,0,0,-0.028730566776839273,0.03417798996205166,-0.014059248378014444
0,4,0,0,0,-0.02869384257559065,0.034129024360386825,-0.014879422205900356
0,5,0,0,0,-0.02885910148120945,0.03436161096829478,-0.014065369078222548
0,6,0,0,0,-0.028804015179336517,0.034269800465173215,-0.014095972579263066
0,7,0,0,0,-0.02874892887746358,0.03426367976496511,-0.01419390378259273
0,8,0,0,0,-0.02866323907455013,0.034514628473497365,-0.013857265271147019
0,9,0,0,0,-0.02889582568245807,0.03430652466642184,-0.014248990084465663
0,10,0,0,0,-0.02889582568245807,0.03430652466642184,-0.014248990084465663
0,11,0,0,0,-0.02874280817725548,0.034129024360386825,-0.014512180193414126
0,12,0,0,0,-0.028577549271636676,0.0342514383645489,-0.013906230872811851
0,13,0,0,0,-0.028944791284122907,0.03432488676704615,-0.014053127677806341
0,14,0,0,0,-0.028957032684539113,0.03434936956787856,-0.014444852491124986
0,15,0,0,0,-0.028993756885787737,0.03416574856163545,-0.01416330028155221
0,16,0,0,0,-0.028785653078712205,0.034428938670583914,-0.013918472273228058
0,17,0,0,0,-0.02887746358183376,0.034184110662259765,-0.013887868772187539
0,18,0,0,0,-0.028852980781001347,0.034184110662259765,-0.013857265271147019
0,19,0,0,0,-0.02874892887746358,0.034410576569959606,-0.01400416207614151
0,20,0,0,0,-0.028883584282041862,0.03431876606683805,-0.014665197698616721
0,21,0,0,0,-0.02874892887746358,0.034055575957889585,-0.014126576080303588
0,22,0,0,0,-0.028779532378504103,0.0342391969641327,-0.013906230872811851
0,23,0,0,0,-0.028724446076631167,0.03423307626392459,-0.013961317174684785
0,24,0,0,0,-0.028975394785163422,0.03437997306891909,-0.013985799975517198
0,25,0,0,0,-0.02884073938058514,0.03430652466642184,-0.014108213979679277
0,26,0,0,0,-0.02884073938058514,0.03430652466642184,-0.014812094503611215
0,27,0,0,0,-0.02906720528828498,0.034428938670583914,-0.014812094503611215
0,28,0,0,0,-0.028871342881625656,0.03429428326600563,-0.013967437874892888
0,29,0,0,0,-0.02874892887746358,0.03431264536662994,-0.014053127677806341
0,30,0,0,0,-0.028736687477047374,0.03443505937079202,-0.014524421593830333
0,31,0,0,0,-0.028852980781001347,0.0342453176643408,-0.013863385971355124
0,32,0,0,0,-0.02879177377892031,0.03412290366017872,-0.013912351573019954
0,33,0,0,0,-0.02881013587954462,0.03444730077120823,-0.014169420981760314
0,34,0,0,0,-0.028589790672052882,0.03420859346309218,-0.013949075774268576
0,35,0,0,0,-0.028681601175174442,0.034428938670583914,-0.013643040763863388
0,36,0,0,0,-0.028828497980168934,0.03406169665809768,-0.013765454768025463
0,37,0,0,0,-0.028852980781001347,0.034288162565797524,-0.01419390378259273
0,38,0,0,0,-0.02889582568245807,0.03422083486350839,-0.014095972579263066
0,39,0,0,0,-0.028761170277879788,0.03420859346309218,-0.014316317786754804
0,40,0,0,0,-0.028761170277879788,0.03420859346309218,-0.014316317786754804
0,41,0,0,0,-0.028871342881625656,0.03446566287183254,-0.014200024482800833
0,42,0,0,0,-0.02884073938058514,0.03398824825560044,-0.012822866935977475
0,43,0,0,0,-0.02874280817725548,0.03413514506059494,-0.014206145183008936
0,44,0,0,0,-0.028718325376423066,0.03445954217162443,-0.014138817480719795
0,45,0,0,0,-0.02888970498224997,0.034288162565797524,-0.013740971967193047
0,46,0,0,0,-0.028828497980168934,0.03436773166850288,-0.01437140408862774
0,47,0,0,0,-0.028730566776839273,0.034129024360386825,-0.01393683437385237
0,48,0,0,0,-0.029073325988493083,0.034300403966213734,-0.013893989472395642
0,49,0,0,0,-0.028999877585995835,0.03416574856163545,-0.014224507283633248
0,50,0,0,0,-0.028761170277879788,0.03427592116538132,-0.01367976496511201
0,51,0,0,0,-0.029030481087036358,0.03430652466642184,-0.014022524176765822
0,52,0,0,0,-0.0289325498837067,0.034355490268086666,-0.014010282776349614
0,53,0,0,0,-0.02885910148120945,0.03434936956787856,-0.01467743909903293
0,54,0,0,0,-0.028675480474966337,0.03413514506059494,-0.014536662994246542
0,55,0,0,0,-0.02890806708287428,0.03422695556371649,-0.01369812706573632
0,56,0,0,0,-0.02866323907455013,0.034153507161219246,-0.014169420981760314
0,57,0,0,0,-0.028718325376423066,0.03414738646101114,-0.014206145183008936
0,58,0,0,0,-0.028865222181417554,0.034398335169543395,-0.014402007589668258
0,59,0,0,0,-0.028865222181417554,0.034398335169543395,-0.014402007589668258
0,60,0,0,0,-0.028865222181417554,0.0342391969641327,-0.014389766189252052
0,61,0,0,0,-0.028871342881625656,0.03436161096829478,-0.014102093279471173
0,62,0,0,0,-0.02866323907455013,0.03438609376912719,-0.014016403476557717
0,63,0,0,0,-0.02874892887746358,0.034141265760803036,-0.01418166238217652
0,64,0,0,0,-0.028730566776839273,0.03436161096829478,-0.014316317786754804
0,65,0,0,0,-0.028975394785163422,0.0344044558697515,-0.013814420369690291
0,66,0,0,0,-0.02887746358183376,0.0342514383645489,-0.01426123148488187
0,67,0,0,0,-0.02870608397600686,0.03423307626392459,-0.01421226588321704
0,68,0,0,0,-0.028828497980168934,0.03419023136246786,-0.013857265271147019
0,69,0,0,0,-0.028755049577671686,0.034288162565797524,-0.014487697392581711
0,70,0,0,0,-0.028773411678295994,0.0344044558697515,-0.014585628595911374
0,71,0,0,0,-0.02874892887746358,0.03429428326600563,-0.014255110784673767
0,72,0,0,0,-0.02874892887746358,0.03434936956787856,-0.013796058269065981
0,73,0,0,0,-0.028852980781001347,0.03434936956787856,-0.013949075774268576
0,74,0,0,0,-0.02912841229036602,0.03420859346309218,-0.013949075774268576
