values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.01668502876729098,0.02962418900722243,-0.01948830946260252
0,1,0,0,0,-0.01668502876729098,0.02962418900722243,-0.01948830946260252
0,2,0,0,0,-0.016905373974782714,0.029477292202227934,-0.01935977475823234
0,3,0,0,0,-0.016776839270412534,0.029422205900355002,-0.019531154364059247
0,4,0,0,0,-0.016905373974782714,0.029422205900355002,-0.01942098176031338
0,5,0,0,0,-0.016905373974782714,0.029422205900355002,-0.01942098176031338
0,6,0,0,0,-0.016942098176031338,0.029452809401395517,-0.01988615497612927
0,7,0,0,0,-0.01673399436895581,0.029416085200146897,-0.019959603378626515
0,8,0,0,0,-0.01673399436895581,0.029416085200146897,-0.019959603378626515
0,9,0,0,0,-0.016697270167707185,0.029544619904517077,-0.020118741584037213
0,10,0,0,0,-0.016789080670828745,0.029587464805973802,-0.019592361366140287
0,11,0,0,0,-0.016789080670828745,0.029587464805973802,-0.019592361366140287
0,12,0,0,0,-0.016813563471661158,0.02963030970743053,-0.01991675847716979
0,13,0,0,0,-0.016997184477904274,0.029465050801811728,-0.019622964867180806
0,14,0,0,0,-0.016997184477904274,0.029465050801811728,-0.019622964867180806
0,15,0,0,0,-0.016721752968539602,0.029746603011384504,-0.01917615375198923
0,16,0,0,0,-0.016776839270412534,0.029452809401395517,-0.01974537887134288
0,17,0,0,0,-0.016776839270412534,0.029452809401395517,-0.01974537887134288
0,18,0,0,0,-0.017076753580609623,0.02940384379973069,-0.019555637164891664
0,19,0,0,0,-0.01666054596645856,0.029526257803892765,-0.019769861672175294
0,20,0,0,0,-0.01666054596645856,0.029526257803892765,-0.019769861672175294
0,21,0,0,0,-0.016887011874158402,0.029501775003060348,-0.019739258171134776
0,22,0,0,0,-0.016887011874158402,0.02936099889827396,-0.01939037825927286
0,23,0,0,0,-0.016887011874158402,0.02936099889827396,-0.01939037825927286
0,24,0,0,0,-0.016887011874158402,0.029416085200146897,-0.019702533969886155
0,25,0,0,0,-0.01675235646958012,0.02943444730077121,-0.019782103072591505
0,26,0,0,0,-0.01678295997062064,0.02943444730077121,-0.020082017382788593
0,27,0,0,0,-0.01678295997062064,0.02943444730077121,-0.020082017382788593
0,28,0,0,0,-0.016666666666666666,0.029244705594319992,-0.019494430162810626
0,29,0,0,0,-0.016770718570204433,0.02948953360264414,-0.02004529318153997
0,30,0,0,0,-0.016770718570204433,0.02948953360264414,-0.02004529318153997
0,31,0,0,0,-0.01691149467499082,0.029477292202227934,-0.019831068674256335
0,32,0,0,0,-0.01678295997062064,0.02939772309952259,-0.019329171257191823
0,33,0,0,0,-0.01678295997062064,0.02939772309952259,-0.019329171257191823
0,34,0,0,0,-0.01675235646958012,0.029507895703268457,-0.01943934386093769
0,35,0,0,0,-0.016807442771453053,0.029452809401395517,-0.019408740359897172
0,36,0,0,0,-0.016807442771453053,0.029452809401395517,-0.019408740359897172
0,37,0,0,0,-0.016825804872077365,0.02944668870118742,-0.019598482066348392
0,38,0,0,0,-0.016764597869996328,0.029379360998898273,-0.019880034275921166
0,39,0,0,0,-0.016764597869996328,0.029379360998898273,-0.019880034275921166
0,40,0,0,0,-0.01686252907332599,0.02944668870118742,-0.019782103072591505
0,41,0,0,0,-0.016923736075407026,0.02935487819806586,-0.01972701677071857
0,42,0,0,0,-0.016923736075407026,0.02935487819806586,-0.01972701677071857
0,43,0,0,0,-0.016678908067082873,0.02940384379973069,-0.01942098176031338
0,44,0,0,0,-0.016678908067082873,0.029385481699106382,-0.019824947974048233
0,45,0,0,0,-0.016678908067082873,0.029385481699106382,-0.019824947974048233
0,46,0,0,0,-0.01678295997062064,0.02944056800097931,-0.019573999265515975
0,47,0,0,0,-0.01665442526625046,0.029556861304933284,-0.01948830946260252
0,48,0,0,0,-0.01666054596645856,0.029452809401395517,-0.019635206267597013
0,49,0,0,0,-0.01666054596645856,0.029452809401395517,-0.019635206267597013
0,50,0,0,0,-0.016850287672909782,0.0295813441057657,-0.01987391357571306
0,51,0,0,0,-0.016844166972701677,0.02940384379973069,-0.019622964867180806
0,52,0,0,0,-0.016844166972701677,0.02940384379973069,-0.019622964867180806
0,53,0,0,0,-0.016678908067082873,0.029520137103684663,-0.019494430162810626
0,54,0,0,0,-0.016636063165626148,0.02935487819806586,-0.019739258171134776
0,55,0,0,0,-0.016636063165626148,0.02935487819806586,-0.019739258171134776
0,56,0,0,0,-0.016966580976863755,0.029281429795568616,-0.019512792263434935
0,57,0,0,0,-0.016587097563961317,0.029232464193903785,-0.01992287917737789
0,58,0,0,0,-0.016587097563961317,0.029232464193903785,-0.01992287917737789
0,59,0,0,0,-0.01675235646958012,0.02953237850410087,-0.01998408617945893
0,60,0,0,0,-0.01673399436895581,0.02944668870118742,-0.019476068062186314
0,61,0,0,0,-0.01673399436895581,0.02944668870118742,-0.019476068062186314
0,62,0,0,0,-0.01661158036479373,0.02961806830701432,-0.019451585261353897
0,63,0,0,0,-0.016715632268331497,0.029428326600563104,-0.0192924470559432
0,64,0,0,0,-0.016715632268331497,0.029428326600563104,-0.0192924470559432
0,65,0,0,0,-0.01680132207124495,0.02940384379973069,-0.019335291957399928
0,66,0,0,0,-0.01678295997062064,0.029244705594319992,-0.01991675847716979
0,67,0,0,0,-0.016764597869996328,0.029562982005141385,-0.020106500183621007
0,68,0,0,0,-0.016764597869996328,0.029562982005141385,-0.020106500183621007
0,69,0,0,0,-0.016905373974782714,0.02935487819806586,-0.019947361978210308
0,70,0,0,0,-0.01678295997062064,0.029409964499938795,-0.019378136858856653
0,71,0,0,0,-0.01678295997062064,0.029409964499938795,-0.019378136858856653
0,72,0,0,0,-0.016740115069163914,0.02970987881013588,-0.019555637164891664
0,73,0,0,0,-0.01696046027665565,0.029250826294528093,-0.019378136858856653
0,74,0,0,0,-0.01696046027665565,0.029250826294528093,-0.019378136858856653
