values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.016532011262088385,0.033431264536662994,-0.015993389643775245
0,1,0,0,0,-0.016311666054596646,0.03365160974415473,-0.016017872444607666
0,2,0,0,0,-0.016311666054596646,0.03355367854082507,-0.0164034765577182
0,3,0,0,0,-0.01654425266250459,0.03355367854082507,-0.0164034765577182
0,4,0,0,0,-0.0165564940629208,0.03384135145060595,-0.01601175174439956
0,5,0,0,0,-0.016305545354388544,0.03356591994124128,-0.015919941241278
0,6,0,0,0,-0.016305545354388544,0.03356591994124128,-0.015919941241278
0,7,0,0,0,-0.016599338964377524,0.033412902436038686,-0.01615864854939405
0,8,0,0,0,-0.016501407761047866,0.033486350838535926,-0.01606071734606439
0,9,0,0,0,-0.016501407761047866,0.033486350838535926,-0.01606071734606439
0,10,0,0,0,-0.0164034765577182,0.03359040274207369,-0.015711837434202472
0,11,0,0,0,-0.016568735463337005,0.033412902436038686,-0.01609132084710491
0,12,0,0,0,-0.016568735463337005,0.033412902436038686,-0.01609132084710491
0,13,0,0,0,-0.01634839025584527,0.03339454033541437,-0.01660545966458563
0,14,0,0,0,-0.016550373362712693,0.03355367854082507,-0.016195372750642673
0,15,0,0,0,-0.016550373362712693,0.03355367854082507,-0.016195372750642673
0,16,0,0,0,-0.016532011262088385,0.033400661035622475,-0.016244338352307507
0,17,0,0,0,-0.016421838658342514,0.03346798873791162,-0.01615864854939405
0,18,0,0,0,-0.016421838658342514,0.03346798873791162,-0.01615864854939405
0,19,0,0,0,-0.016709511568123395,0.03349247153874403,-0.01595054474231852
0,20,0,0,0,-0.016507528461255968,0.03350471293916024,-0.01620761415105888
0,21,0,0,0,-0.016507528461255968,0.03350471293916024,-0.01620761415105888
0,22,0,0,0,-0.016538131962296487,0.033682213245195256,-0.0159138205410699
0,23,0,0,0,-0.016336148855429063,0.0335965234422818,-0.016562614763128904
0,24,0,0,0,-0.016336148855429063,0.03356591994124128,-0.0164034765577182
0,25,0,0,0,-0.01643408005875872,0.03356591994124128,-0.0164034765577182
0,26,0,0,0,-0.016580976863753212,0.0336026441424899,-0.01675235646958012
0,27,0,0,0,-0.01649528706083976,0.033486350838535926,-0.016672787366874768
0,28,0,0,0,-0.01649528706083976,0.033486350838535926,-0.016672787366874768
0,29,0,0,0,-0.0164034765577182,0.0335965234422818,-0.016483045660423554
0,30,0,0,0,-0.016532011262088385,0.033547557840616964,-0.016636063165626148
0,31,0,0,0,-0.016532011262088385,0.033547557840616964,-0.016636063165626148
0,32,0,0,0,-0.01657485616354511,0.033541437140408865,-0.01649528706083976
0,33,0,0,0,-0.01649528706083976,0.03350471293916024,-0.016532011262088385
0,34,0,0,0,-0.01649528706083976,0.03350471293916024,-0.016532011262088385
0,35,0,0,0,-0.016587097563961317,0.03366385114457094,-0.015852613538988862
0,36,0,0,0,-0.01649528706083976,0.03352307503978455,-0.01586485493940507
0,37,0,0,0,-0.01649528706083976,0.03352307503978455,-0.01586485493940507
0,38,0,0,0,-0.01654425266250459,0.033412902436038686,-0.016360631656261476
0,39,0,0,0,-0.016562614763128904,0.03339454033541437,-0.015822010037948343
0,40,0,0,0,-0.016562614763128904,0.03339454033541437,-0.015822010037948343
0,41,0,0,0,-0.01629942465418044,0.03339454033541437,-0.01620761415105888
0,42,0,0,0,-0.01647692496021545,0.033431264536662994,-0.01647692496021545
0,43,0,0,0,-0.01647692496021545,0.033431264536662994,-0.01647692496021545
0,44,0,0,0,-0.016311666054596646,0.03365160974415473,-0.01631778675480475
0,45,0,0,0,-0.016513649161464073,0.0334373852368711,-0.01615864854939405
0,46,0,0,0,-0.016452442159383032,0.03310074672542539,-0.015919941241278
0,47,0,0,0,-0.016452442159383032,0.03310074672542539,-0.015919941241278
0,48,0,0,0,-0.016323907455012852,0.033547557840616964,-0.016293303953972334
0,49,0,0,0,-0.016262700452931815,0.03374954094748439,-0.01614028644876974
0,50,0,0,0,-0.01654425266250459,0.03348023013832783,-0.01661158036479373
0,51,0,0,0,-0.0164034765577182,0.033700575345819564,-0.015999510343983354
0,52,0,0,0,-0.016532011262088385,0.03362100624311421,-0.016580976863753212
0,53,0,0,0,-0.016519769861672175,0.033498592238952137,-0.016072958746480598
0,54,0,0,0,-0.016715632268331497,0.033529195739992655,-0.016519769861672175
0,55,0,0,0,-0.016715632268331497,0.033529195739992655,-0.016146407148977842
0,56,0,0,0,-0.01643408005875872,0.033529195739992655,-0.016146407148977842
0,57,0,0,0,-0.016330028155220958,0.03346186803770351,-0.016072958746480598
0,58,0,0,0,-0.016391235157301995,0.03347410943811972,-0.015877096339821276
0,59,0,0,0,-0.016538131962296487,0.03358428204186559,-0.016115803647937323
0,60,0,0,0,-0.01649528706083976,0.03353531644020076,-0.016323907455012852
0,61,0,0,0,-0.01638511445709389,0.033541437140408865,-0.016085200146896805
0,62,0,0,0,-0.016372873056677683,0.033412902436038686,-0.01587097563961317
0,63,0,0,0,-0.016311666054596646,0.033400661035622475,-0.016023993144815767
0,64,0,0,0,-0.01641571795813441,0.033559799241033174,-0.01629942465418044
0,65,0,0,0,-0.016372873056677683,0.033633247643530415,-0.016023993144815767
0,66,0,0,0,-0.01652589056188028,0.033455747337495415,-0.01660545966458563
0,67,0,0,0,-0.01634839025584527,0.033431264536662994,-0.01586485493940507
0,68,0,0,0,-0.01654425266250459,0.03351083363936834,-0.01635451095605337
0,69,0,0,0,-0.01643408005875872,0.033431264536662994,-0.016201493450850778
0,70,0,0,0,-0.01643408005875872,0.033431264536662994,-0.016342269555637164
0,71,0,0,0,-0.01660545966458563,0.033406781735830574,-0.016342269555637164
0,72,0,0,0,-0.016568735463337005,0.033559799241033174,-0.016164769249602154
0,73,0,0,0,-0.016501407761047866,0.033700575345819564,-0.016378993756885788
0,74,0,0,0,-0.0163973558575101,0.03342514383645489,-0.01569347533357816
