values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.019592361366140287,0.08057901823968662,-0.04772309952258538
0,1,0,0,0,-0.01986779287550496,0.08101358795446198,-0.048157669237360756
0,2,0,0,0,-0.01972701677071857,0.0808850532500918,-0.04832904884318766
0,3,0,0,0,-0.01972701677071857,0.0808850532500918,-0.04832904884318766
0,4,0,0,0,-0.019702533969886155,0.08084220834863508,-0.048029134532990576
0,5,0,0,0,-0.0197759823723834,0.08108091565675113,-0.047918961929244705
0,6,0,0,0,-0.0197759823723834,0.08108091565675113,-0.047918961929244705
0,7,0,0,0,-0.0197759823723834,0.08073815644509733,-0.047759823723834006
0,8,0,0,0,-0.019671930468845637,0.08073815644509733,-0.048016893132574366
0,9,0,0,0,-0.019671930468845637,0.08073815644509733,-0.048016893132574366
0,10,0,0,0,-0.019671930468845637,0.08073815644509733,-0.04762516831925572
0,11,0,0,0,-0.019671930468845637,0.08087893254988371,-0.04808422083486351
0,12,0,0,0,-0.019671930468845637,0.08087893254988371,-0.04808422083486351
0,13,0,0,0,-0.01969641326967805,0.08083608764842698,-0.04784551352674746
0,14,0,0,0,-0.020020810380707552,0.08076263924592973,-0.047943444730077125
0,15,0,0,0,-0.019653568368221325,0.08078100134655405,-0.04766801322071245
0,16,0,0,0,-0.019653568368221325,0.08078100134655405,-0.04766801322071245
0,17,0,0,0,-0.01974537887134288,0.0810319500550863,-0.04802301383278247
0,18,0,0,0,-0.019604602766556494,0.08105031215571061,-0.047918961929244705
0,19,0,0,0,-0.019604602766556494,0.08105031215571061,-0.047918961929244705
0,20,0,0,0,-0.019751499571550986,0.08073203574488921,-0.047931203329660915
0,21,0,0,0,-0.019720896070510467,0.08078712204676215,-0.04796792753090954
0,22,0,0,0,-0.019720896070510467,0.08078712204676215,-0.04796792753090954
0,23,0,0,0,-0.019751499571550986,0.0807014322438487,-0.04757008201738279
0,24,0,0,0,-0.019947361978210308,0.08052393193781368,-0.04805973803403109
0,25,0,0,0,-0.019947361978210308,0.08052393193781368,-0.04805973803403109
0,26,0,0,0,-0.019855551475088752,0.080542294038438,-0.04781491002570694
0,27,0,0,0,-0.0196107234667646,0.08095850165258905,-0.048047496633614885
0,28,0,0,0,-0.0196107234667646,0.08095850165258905,-0.048047496633614885
0,29,0,0,0,-0.01978822377279961,0.0807259150446811,-0.04798628963153385
0,30,0,0,0,-0.019751499571550986,0.08059738034031093,-0.048016893132574366
0,31,0,0,0,-0.019751499571550986,0.08059738034031093,-0.048016893132574366
0,32,0,0,0,-0.019763740971967193,0.08076875994613783,-0.0479067205288285
0,33,0,0,0,-0.01964744766801322,0.08092789815154854,-0.047943444730077125
0,34,0,0,0,-0.01964744766801322,0.08092789815154854,-0.04795568613049333
0,35,0,0,0,-0.019739258171134776,0.08060350104051903,-0.04795568613049333
0,36,0,0,0,-0.0197759823723834,0.08081160484759456,-0.04783327212633125
0,37,0,0,0,-0.019708654670094257,0.08094626025217286,-0.047619047619047616
0,38,0,0,0,-0.019708654670094257,0.08094626025217286,-0.047619047619047616
0,39,0,0,0,-0.019720896070510467,0.08067082874280818,-0.048016893132574366
0,40,0,0,0,-0.01978822377279961,0.08073815644509733,-0.04785775492716367
0,41,0,0,0,-0.01978822377279961,0.08073815644509733,-0.04785775492716367
0,42,0,0,0,-0.019720896070510467,0.08078100134655405,-0.04810870363569593
0,43,0,0,0,-0.0201003794834129,0.08068919084343248,-0.04777206512425021
0,44,0,0,0,-0.0201003794834129,0.08068919084343248,-0.04777206512425021
0,45,0,0,0,-0.019782103072591505,0.08079324274697025,-0.04796792753090954
0,46,0,0,0,-0.019794344473007715,0.08065246664218387,-0.04784551352674746
0,47,0,0,0,-0.019794344473007715,0.08065246664218387,-0.04784551352674746
0,48,0,0,0,-0.019812706573632023,0.08085444974905129,-0.047949565430285224
0,49,0,0,0,-0.019928999877585996,0.08082996694821888,-0.04777206512425021
0,50,0,0,0,-0.019928999877585996,0.08082996694821888,-0.04777206512425021
0,51,0,0,0,-0.01969029256946995,0.08073203574488921,-0.047876117027787976
0,52,0,0,0,-0.01992287917737789,0.080719794344473,-0.0479067205288285
0,53,0,0,0,-0.01992287917737789,0.080719794344473,-0.0479067205288285
0,54,0,0,0,-0.019782103072591505,0.08059125964010283,-0.04805973803403109
0,55,0,0,0,-0.01969029256946995,0.08073815644509733,-0.04779654792508263
0,56,0,0,0,-0.01969029256946995,0.08073815644509733,-0.04812094503611213
0,57,0,0,0,-0.019641326967805118,0.0810380707552944,-0.04812094503611213
0,58,0,0,0,-0.019702533969886155,0.08066470804260008,-0.04811482433590403
0,59,0,0,0,-0.019641326967805118,0.08078712204676215,-0.04752723711592606
0,60,0,0,0,-0.019641326967805118,0.08078712204676215,-0.04752723711592606
0,61,0,0,0,-0.01983718937446444,0.08095238095238096,-0.0479128412290366
0,62,0,0,0,-0.01969641326967805,0.08064634594197576,-0.047747582323417796
0,63,0,0,0,-0.01969641326967805,0.08064634594197576,-0.047747582323417796
0,64,0,0,0,-0.019880034275921166,0.0807136736442649,-0.04800465173215816
0,65,0,0,0,-0.0197759823723834,0.08064022524176766,-0.04786999632757988
0,66,0,0,0,-0.0197759823723834,0.08064022524176766,-0.04786999632757988
0,67,0,0,0,-0.01969641326967805,0.08064022524176766,-0.048029134532990576
0,68,0,0,0,-0.01991675847716979,0.08078100134655405,-0.04805361733382299
0,69,0,0,0,-0.01991675847716979,0.08078100134655405,-0.04805361733382299
0,70,0,0,0,-0.01974537887134288,0.08062186314114335,-0.047716978822377284
0,71,0,0,0,-0.01988615497612927,0.08084220834863508,-0.04781491002570694
0,72,0,0,0,-0.01988615497612927,0.08084220834863508,-0.04781491002570694
0,73,0,0,0,-0.019763740971967193,0.08090953605092423,-0.04783939282653936
0,74,0,0,0,-0.019757620271759087,0.08078712204676215,-0.04796792753090954
