values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.019157791651364917,0.052393193781368586,-0.08818704859835966
0,1,0,0,0,-0.018961929244705595,0.05261353898886033,-0.08847472150814054
0,2,0,0,0,-0.019237360754070267,0.05266250459052516,-0.08849920430897294
0,3,0,0,0,-0.019237360754070267,0.05266250459052516,-0.08849920430897294
0,4,0,0,0,-0.019206757253029748,0.05244215938303341,-0.08837679030481087
0,5,0,0,0,-0.019023136246786632,0.052717590892398095,-0.08838903170522708
0,6,0,0,0,-0.019023136246786632,0.052717590892398095,-0.08838903170522708
0,7,0,0,0,-0.019267964255110785,0.05260129758844412,-0.08835230750397846
0,8,0,0,0,-0.01914555025094871,0.0525829354878198,-0.08868282531521607
0,9,0,0,0,-0.019316929856775616,0.05238095238095238,-0.08860937691271882
0,10,0,0,0,-0.019316929856775616,0.05238095238095238,-0.08860937691271882
0,11,0,0,0,-0.019114946749908192,0.05266250459052516,-0.08843799730689192
0,12,0,0,0,-0.019121067450116293,0.0523993144815767,-0.08834006610356224
0,13,0,0,0,-0.019121067450116293,0.0523993144815767,-0.08834006610356224
0,14,0,0,0,-0.01935365405802424,0.05231362467866324,-0.08863385971355123
0,15,0,0,0,-0.01926184355490268,0.05246052148365773,-0.08871954951646469
0,16,0,0,0,-0.01926184355490268,0.05246052148365773,-0.08871954951646469
0,17,0,0,0,-0.019249602154486473,0.0522462969763741,-0.08845023870730812
0,18,0,0,0,-0.01926184355490268,0.052540090586363074,-0.08862773901334313
0,19,0,0,0,-0.01926184355490268,0.052540090586363074,-0.08862773901334313
0,20,0,0,0,-0.01914555025094871,0.05266250459052516,-0.08852980781001346
0,21,0,0,0,-0.01943322316072959,0.05251560778553066,-0.08845635940751621
0,22,0,0,0,-0.01943322316072959,0.05251560778553066,-0.08845635940751621
0,23,0,0,0,-0.01923124005386216,0.05263802178969275,-0.08840127310564329
0,24,0,0,0,-0.018968049944913697,0.05244215938303341,-0.08835842820418656
0,25,0,0,0,-0.018968049944913697,0.05244215938303341,-0.08835842820418656
0,26,0,0,0,-0.019249602154486473,0.05236259028032807,-0.08845023870730812
0,27,0,0,0,-0.019084343248867673,0.052429917982617216,-0.08849920430897294
0,28,0,0,0,-0.019084343248867673,0.052429917982617216,-0.08849920430897294
0,29,0,0,0,-0.019267964255110785,0.05246052148365773,-0.0884318766066838
0,30,0,0,0,-0.019194515852613538,0.05246052148365773,-0.08834618680377035
0,31,0,0,0,-0.019188395152405436,0.05235646958011997,-0.08843799730689192
0,32,0,0,0,-0.019188395152405436,0.05235646958011997,-0.08843799730689192
0,33,0,0,0,-0.019157791651364917,0.05252172848573877,-0.08857877341167829
0,34,0,0,0,-0.019084343248867673,0.05258905618802791,-0.08846860080793242
0,35,0,0,0,-0.019084343248867673,0.05258905618802791,-0.08846860080793242
0,36,0,0,0,-0.019249602154486473,0.05251560778553066,-0.0884318766066838
0,37,0,0,0,-0.018961929244705595,0.052717590892398095,-0.088560411311054
0,38,0,0,0,-0.018961929244705595,0.052717590892398095,-0.088560411311054
0,39,0,0,0,-0.019243481454278368,0.052540090586363074,-0.08834618680377035
0,40,0,0,0,-0.019108826049700087,0.05230138327824703,-0.08834006610356224
0,41,0,0,0,-0.019108826049700087,0.05230138327824703,-0.08834006610356224
0,42,0,0,0,-0.01903537764720284,0.052160607173460646,-0.08843799730689192
0,43,0,0,0,-0.019206757253029748,0.052374831680744284,-0.08866446321459175
0,44,0,0,0,-0.019206757253029748,0.052374831680744284,-0.08866446321459175
0,45,0,0,0,-0.01939037825927286,0.05261353898886033,-0.088560411311054
0,46,0,0,0,-0.019041498347410944,0.05274207369323051,-0.08853592851022157
0,47,0,0,0,-0.019041498347410944,0.05274207369323051,-0.08853592851022157
0,48,0,0,0,-0.019170033051781124,0.052448280083241525,-0.08821765209940016
0,49,0,0,0,-0.019335291957399928,0.05230138327824703,-0.08834618680377035
0,50,0,0,0,-0.019225119353654056,0.05251560778553066,-0.08855429061084588
0,51,0,0,0,-0.01923124005386216,0.05228302117762272,-0.08847472150814054
0,52,0,0,0,-0.019218998653445955,0.05250336638511446,-0.08853592851022157
0,53,0,0,0,-0.01931080915656751,0.0524115558819929,-0.08865222181417555
0,54,0,0,0,-0.019108826049700087,0.052436038682825314,-0.08852980781001346
0,55,0,0,0,-0.019451585261353897,0.052448280083241525,-0.0881013587954462
0,56,0,0,0,-0.019200636552821643,0.052448280083241525,-0.08835842820418656
0,57,0,0,0,-0.019237360754070267,0.052417676582201,-0.08846860080793242
0,58,0,0,0,-0.0191333088505325,0.0523993144815767,-0.08850532500918104
0,59,0,0,0,-0.019267964255110785,0.05212388297221202,-0.08851756640959726
0,60,0,0,0,-0.019267964255110785,0.05212388297221202,-0.08851756640959726
0,61,0,0,0,-0.019316929856775616,0.05249724568490636,-0.0882482556004407
0,62,0,0,0,-0.0191271881503244,0.05234422817970376,-0.088560411311054
0,63,0,0,0,-0.019378136858856653,0.05232586607907944,-0.08845635940751621
0,64,0,0,0,-0.01923124005386216,0.05264414248990085,-0.08804627249357326
0,65,0,0,0,-0.019010894846370426,0.05235034887991186,-0.08835230750397846
0,66,0,0,0,-0.019506671563226833,0.05228302117762272,-0.08852368710980536
0,67,0,0,0,-0.019047619047619046,0.05247888358428204,-0.08788101358795446
0,68,0,0,0,-0.019188395152405436,0.052546211286571186,-0.08863385971355123
0,69,0,0,0,-0.019347533357816134,0.052540090586363074,-0.08847472150814054
0,70,0,0,0,-0.019121067450116293,0.052417676582201,-0.08876239441792141
0,71,0,0,0,-0.019023136246786632,0.05230138327824703,-0.08838903170522708
0,72,0,0,0,-0.019023136246786632,0.05230138327824703,-0.08838903170522708
0,73,0,0,0,-0.019378136858856653,0.052546211286571186,-0.08866446321459175
0,74,0,0,0,-0.019298567756151304,0.05249724568490636,-0.08832782470314604
