values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.0005814665197698617,0.08515730199534827,-0.07807565185457216
0,1,0,0,0,-0.0002999143101970865,0.08540825070388053,-0.078302117762272
0,2,0,0,0,-0.0005447423185212389,0.08540825070388053,-0.07848573876851513
0,3,0,0,0,-0.0001652589056188028,0.08523687109805361,-0.07848573876851513
0,4,0,0,0,-0.00041008691394295505,0.08525523319867792,-0.07831435916268821
0,5,0,0,0,-0.000697759823723834,0.08513893989472396,-0.07833884196352062
0,6,0,0,0,-0.00022034520749173708,0.08491247398702412,-0.07780634104541559
0,7,0,0,0,-0.0004896560166483046,0.08537764720284,-0.0784367731668503
0,8,0,0,0,-0.00039784551352674746,0.08516342269555637,-0.07824091076019096
0,9,0,0,0,-0.0002937936099889827,0.08523075039784551,-0.07806953115436406
0,10,0,0,0,-0.0005753458195617579,0.0851940261965969,-0.0784428938670584
0,11,0,0,0,-0.0004957767168564084,0.08507161219243482,-0.07841229036601786
0,12,0,0,0,-0.0003550006120700208,0.08533480230138328,-0.07857142857142857
0,13,0,0,0,-0.0004039662137348513,0.08546945770596157,-0.07840616966580977
0,14,0,0,0,-0.0002754315093646713,0.08530419880034276,-0.07868772187538255
0,15,0,0,0,-0.0003672420124862284,0.08514506059493207,-0.07823479005998286
0,16,0,0,0,-0.0002631901089484637,0.08527359529930224,-0.07857142857142857
0,17,0,0,0,-0.0002631901089484637,0.08527359529930224,-0.07836944546456115
0,18,0,0,0,-0.00039172481331864364,0.08500428449014567,-0.07836944546456115
0,19,0,0,0,-0.0003550006120700208,0.085200146896805,-0.07811237605582079
0,20,0,0,0,-0.000379483412902436,0.08526135389888603,-0.07841841106622598
0,21,0,0,0,-0.0004223283143591627,0.08494307748806464,-0.07811237605582079
0,22,0,0,0,-0.0004529318153996817,0.08524911249846982,-0.07838780756518546
0,23,0,0,0,-0.00014077610478638756,0.08512669849430775,-0.07822254865956665
0,24,0,0,0,-0.00021422450728363326,0.08517566409597258,-0.07841841106622598
0,25,0,0,0,-0.0004162076141510589,0.08540825070388053,-0.07837556616476925
0,26,0,0,0,-0.00014689680499449135,0.08499204308972946,-0.07825927286081527
0,27,0,0,0,-0.0004590525156077855,0.08523075039784551,-0.07820418655894235
0,28,0,0,0,-0.000508018117272616,0.08506549149222671,-0.07837556616476925
0,29,0,0,0,-0.00036112131227812464,0.08509609499326723,-0.07807565185457216
0,30,0,0,0,-0.00036112131227812464,0.08526135389888603,-0.07823479005998286
0,31,0,0,0,-0.0004039662137348513,0.08518178479618069,-0.07836332476435304
0,32,0,0,0,-0.0004039662137348513,0.08518178479618069,-0.07825927286081527
0,33,0,0,0,-0.0004468111151915779,0.08526135389888603,-0.07825927286081527
0,34,0,0,0,-0.00041008691394295505,0.08504100869139429,-0.07835108336393684
0,35,0,0,0,-0.00012241400416207614,0.08512669849430775,-0.0784490145672665
0,36,0,0,0,-0.00031215571061329417,0.0852185089974293,-0.07791039294895336
0,37,0,0,0,-0.0003856041131105398,0.0852185089974293,-0.07832047986289632
0,38,0,0,0,-0.0002693108091565675,0.08516342269555637,-0.07812461745623699
0,39,0,0,0,-0.0005325009181050312,0.08530419880034276,-0.07828375566164769
0,40,0,0,0,-0.0004162076141510589,0.08524911249846982,-0.07818582445831804
0,41,0,0,0,-0.00031215571061329417,0.08491859468723222,-0.07842453176643407
0,42,0,0,0,-0.0003427592116538132,0.08501040519035377,-0.07843065246664219
0,43,0,0,0,-0.0005263802178969274,0.08518790549638879,-0.07816746235769371
0,44,0,0,0,-0.00020810380707552944,0.0850287672909781,-0.07773901334312645
0,45,0,0,0,-0.00044069041498347416,0.08515730199534827,-0.07830823846248011
0,46,0,0,0,-0.00036112131227812464,0.085200146896805,-0.07819194515852614
0,47,0,0,0,-0.0001775003060350104,0.08496756028889704,-0.07815522095727752
0,48,0,0,0,-0.0003243971110295018,0.08510833639368344,-0.07833272126331252
0,49,0,0,0,-0.0002631901089484637,0.08510833639368344,-0.07802668625290733
0,50,0,0,0,-0.00041008691394295505,0.08530419880034276,-0.07837556616476925
0,51,0,0,0,-0.00041008691394295505,0.08530419880034276,-0.07837556616476925
0,52,0,0,0,-0.0003856041131105398,0.08521238829722119,-0.07824703146039907
0,53,0,0,0,-0.0005325009181050312,0.08503488799118619,-0.0784612559676827
0,54,0,0,0,-0.000538621618313135,0.08494307748806464,-0.07865711837434203
0,55,0,0,0,-0.00037336271269433223,0.085200146896805,-0.07823479005998286
0,56,0,0,0,-0.0002509487085322561,0.08515118129514017,-0.07840004896560167
0,57,0,0,0,-0.000189741706451218,0.08522462969763742,-0.07865099767413392
0,58,0,0,0,-0.00030603501040519035,0.08524911249846982,-0.07851634226955564
0,59,0,0,0,-0.0001713796058269066,0.08508385359285102,-0.07817970375810993
0,60,0,0,0,-0.0006243114212265883,0.08518178479618069,-0.07847349736809892
0,61,0,0,0,-0.000379483412902436,0.08526747459909415,-0.07809401395519647
0,62,0,0,0,-0.0006243114212265883,0.08531031950055087,-0.07831435916268821
0,63,0,0,0,-0.0002631901089484637,0.08515118129514017,-0.07828987636185579
0,64,0,0,0,-0.000348879911861917,0.0853654058024238,-0.07831435916268821
0,65,0,0,0,-0.0003243971110295018,0.0853592851022157,-0.07857142857142857
0,66,0,0,0,-0.0003243971110295018,0.0850287672909781,-0.07828987636185579
0,67,0,0,0,-0.00013465540457828376,0.0850287672909781,-0.07819806585873423
0,68,0,0,0,-0.0003856041131105398,0.08504712939160239,-0.07819806585873423
0,69,0,0,0,-0.0003366385114457094,0.08496756028889704,-0.07848573876851513
0,70,0,0,0,-0.00039784551352674746,0.0852185089974293,-0.07824091076019096
0,71,0,0,0,-0.0004162076141510589,0.085200146896805,-0.07832660056310442
0,72,0,0,0,-0.000189741706451218,0.08514506059493207,-0.07856530787122047
