values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.01565675113232954,0.030891173950299916,-0.08749540947484392
0,1,0,0,0,-0.015632268331497123,0.031166605459664588,-0.0874464438731791
0,2,0,0,0,-0.015632268331497123,0.031166605459664588,-0.0874464438731791
0,3,0,0,0,-0.01572407883461868,0.030805484147386458,-0.08767290978087892
0,4,0,0,0,-0.01588321704002938,0.03082996694821888,-0.0872995470681846
0,5,0,0,0,-0.01588321704002938,0.03082996694821888,-0.0872995470681846
0,6,0,0,0,-0.015485371526502631,0.030548414738646102,-0.08737911617088995
0,7,0,0,0,-0.015748561635451096,0.03088505325009181,-0.08733015056922512
0,8,0,0,0,-0.015748561635451096,0.03088505325009181,-0.08733015056922512
0,9,0,0,0,-0.015773044436283513,0.030842208348635086,-0.0874648059738034
0,10,0,0,0,-0.01572407883461868,0.030530052638021787,-0.08757497857754927
0,11,0,0,0,-0.01572407883461868,0.030530052638021787,-0.08757497857754927
0,12,0,0,0,-0.01568735463337006,0.03082996694821888,-0.08760558207858979
0,13,0,0,0,-0.01578528583669972,0.030823846248010774,-0.08758721997796548
0,14,0,0,0,-0.01578528583669972,0.030823846248010774,-0.08758721997796548
0,15,0,0,0,-0.016023993144815767,0.03079324274697025,-0.08756273717713306
0,16,0,0,0,-0.015760803035867306,0.031007467254253886,-0.0872995470681846
0,17,0,0,0,-0.015760803035867306,0.031007467254253886,-0.08720161586485495
0,18,0,0,0,-0.015589423430040397,0.03092789815154854,-0.08720161586485495
0,19,0,0,0,-0.01568735463337006,0.030903415350716123,-0.0871342881625658
0,20,0,0,0,-0.015766923736075408,0.03088505325009181,-0.08760558207858979
0,21,0,0,0,-0.015766923736075408,0.03088505325009181,-0.08760558207858979
0,22,0,0,0,-0.015828130738156445,0.031068674256334926,-0.08750153017505202
0,23,0,0,0,-0.015583302729832294,0.030970743053005262,-0.08748316807442771
0,24,0,0,0,-0.015583302729832294,0.030970743053005262,-0.08748316807442771
0,25,0,0,0,-0.01568735463337006,0.03096462235279716,-0.08733015056922512
0,26,0,0,0,-0.01578528583669972,0.030860570449259394,-0.0873056677683927
0,27,0,0,0,-0.01578528583669972,0.030860570449259394,-0.0873056677683927
0,28,0,0,0,-0.01551597502754315,0.030854449749051292,-0.08738523687109805
0,29,0,0,0,-0.015791406536907825,0.031074794956543028,-0.08736687477047375
0,30,0,0,0,-0.015791406536907825,0.031074794956543028,-0.08736687477047375
0,31,0,0,0,-0.015754682335659197,0.03092177745134043,-0.08737911617088995
0,32,0,0,0,-0.015840372138572652,0.030989105153629577,-0.08753825437630065
0,33,0,0,0,-0.015840372138572652,0.030989105153629577,-0.08753825437630065
0,34,0,0,0,-0.015613906230872813,0.030750397845513526,-0.08734851266984943
0,35,0,0,0,-0.015815889337740238,0.030952380952380953,-0.0874525645733872
0,36,0,0,0,-0.015815889337740238,0.030952380952380953,-0.0874525645733872
0,37,0,0,0,-0.0155955441302485,0.030934018851756638,-0.0874648059738034
0,38,0,0,0,-0.01572407883461868,0.03101358795446199,-0.08760558207858979
0,39,0,0,0,-0.01572407883461868,0.03101358795446199,-0.08732402986901702
0,40,0,0,0,-0.015822010037948343,0.0307014322438487,-0.08732402986901702
0,41,0,0,0,-0.015668992532745746,0.03082996694821888,-0.08764842698004652
0,42,0,0,0,-0.015675113232953848,0.031074794956543028,-0.08769739258171136
0,43,0,0,0,-0.015675113232953848,0.031074794956543028,-0.08769739258171136
0,44,0,0,0,-0.0155955441302485,0.030934018851756638,-0.08751989227567633
0,45,0,0,0,-0.015509854327335046,0.03098298445342147,-0.08736687477047375
0,46,0,0,0,-0.015509854327335046,0.03098298445342147,-0.08736687477047375
0,47,0,0,0,-0.01580364793732403,0.030958501652589055,-0.08750765087526013
0,48,0,0,0,-0.015613906230872813,0.030866691149467503,-0.08767290978087892
0,49,0,0,0,-0.015613906230872813,0.030866691149467503,-0.08767290978087892
0,50,0,0,0,-0.015601664830456604,0.031136001958624065,-0.08775859958379238
0,51,0,0,0,-0.01572407883461868,0.030909536050924225,-0.0874525645733872
0,52,0,0,0,-0.0159138205410699,0.03088505325009181,-0.08752601297588444
0,53,0,0,0,-0.015607785530664709,0.030952380952380953,-0.08765454768025463
0,54,0,0,0,-0.015675113232953848,0.030854449749051292,-0.08755661647692496
0,55,0,0,0,-0.01551597502754315,0.030768759946137834,-0.08743420247276287
0,56,0,0,0,-0.015534337128167463,0.03083608764842698,-0.0871526502631901
0,57,0,0,0,-0.017101236381442037,0.030842208348635086,-0.08737911617088995
0,58,0,0,0,-0.01583425143836455,0.030842208348635086,-0.08715877096339822
0,59,0,0,0,-0.015448647325254009,0.03078712204676215,-0.08715877096339822
0,60,0,0,0,-0.015822010037948343,0.030940139551964747,-0.08767903048108704
0,61,0,0,0,-0.015730199534826784,0.03087893254988371,-0.08737299547068185
0,62,0,0,0,-0.015583302729832294,0.03088505325009181,-0.08739135757130616
0,63,0,0,0,-0.015999510343983354,0.030866691149467503,-0.08756273717713306
0,64,0,0,0,-0.015760803035867306,0.031178846860080794,-0.08777084098420859
0,65,0,0,0,-0.015613906230872813,0.031068674256334926,-0.08763006487942221
0,66,0,0,0,-0.015564940629207982,0.031038070755294404,-0.08741584037213858
0,67,0,0,0,-0.01557718202962419,0.030976863753213367,-0.08742808177255477
0,68,0,0,0,-0.015632268331497123,0.030958501652589055,-0.08754437507650875
0,69,0,0,0,-0.01564450973191333,0.03092177745134043,-0.08745868527359531
0,70,0,0,0,-0.015620026931080916,0.031166605459664588,-0.0873056677683927
0,71,0,0,0,-0.01580364793732403,0.031050312155710615,-0.0876117027787979
0,72,0,0,0,-0.01580364793732403,0.031050312155710615,-0.0876117027787979
0,73,0,0,0,-0.01569347533357816,0.031019708654670092,-0.0872811849675603
0,74,0,0,0,-0.015754682335659197,0.03101358795446199,-0.08772187538254377
