values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.04064144938180928,-0.03667523564695801,0.06076019096584649
0,1,0,0,0,-0.04046394907577427,-0.03627126943322316,0.06065001836210062
0,2,0,0,0,-0.040653690782225485,-0.03671195984820663,0.06055208715877096
0,3,0,0,0,-0.040678173583057906,-0.036552821642795934,0.060698983963765454
0,4,0,0,0,-0.0405190353776472,-0.03637532133676093,0.06050924225731423
0,5,0,0,0,-0.0405129146774391,-0.036491614640714896,0.06083976006855184
0,6,0,0,0,-0.04041498347410944,-0.03655894234300404,0.060968294772922024
0,7,0,0,0,-0.040537397478271515,-0.03648549394050679,0.06090708777084099
0,8,0,0,0,-0.04062920798139307,-0.03658342514383646,0.06072958746480598
0,9,0,0,0,-0.04060472518056066,-0.036565063043212144,0.060564328559187176
0,10,0,0,0,-0.04086179458930102,-0.036565063043212144,0.06083976006855184
0,11,0,0,0,-0.04078834618680377,-0.03658954584404456,0.060680621863141146
0,12,0,0,0,-0.040763863385971356,-0.03647937324029869,0.060913208471049085
0,13,0,0,0,-0.040525156077855305,-0.03655894234300404,0.06064389766189252
0,14,0,0,0,-0.040525156077855305,-0.03635695923613662,0.06051536295752234
0,15,0,0,0,-0.04053127677806341,-0.03635695923613662,0.06051536295752234
0,16,0,0,0,-0.04047619047619048,-0.03671808054841474,0.060656139062308725
0,17,0,0,0,-0.04045782837556616,-0.03654058024237973,0.06107234667645979
0,18,0,0,0,-0.04046394907577427,-0.03630187293426368,0.06083363936834374
0,19,0,0,0,-0.040665932182641695,-0.03661402864487697,0.06069286326355735
0,20,0,0,0,-0.040623087281184966,-0.0366446321459175,0.06043579385481699
0,21,0,0,0,-0.04073325988493083,-0.03636307993634472,0.060913208471049085
0,22,0,0,0,-0.04060472518056066,-0.03611825192802057,0.06054596645856286
0,23,0,0,0,-0.04042110417431754,-0.03647937324029869,0.060711225364181665
0,24,0,0,0,-0.040751621985555146,-0.036277390133431266,0.06098665687354633
0,25,0,0,0,-0.04040274207369323,-0.036497735340923,0.06079079446688701
0,26,0,0,0,-0.04040274207369323,-0.036497735340923,0.060815277267719424
0,27,0,0,0,-0.040408862773901336,-0.03658954584404456,0.060815277267719424
0,28,0,0,0,-0.040537397478271515,-0.03652833884196352,0.06078467376667891
0,29,0,0,0,-0.0403598971722365,-0.03671195984820663,0.060570449259395275
0,30,0,0,0,-0.040653690782225485,-0.036436528338841964,0.06058269065981148
0,31,0,0,0,-0.040439466274941854,-0.03650997674133921,0.06058269065981148
0,32,0,0,0,-0.04055575957889583,-0.03646713183988248,0.060698983963765454
0,33,0,0,0,-0.04063532868160118,-0.03646101113967438,0.06058269065981148
0,34,0,0,0,-0.04064144938180928,-0.03666911494674991,0.060711225364181665
0,35,0,0,0,-0.040580242379728244,-0.03667523564695801,0.06083976006855184
0,36,0,0,0,-0.04074550128534704,-0.03657118374342025,0.06061941486106011
0,37,0,0,0,-0.04063532868160118,-0.03652221814175542,0.060564328559187176
0,38,0,0,0,-0.04054351817847962,-0.0361855796303097,0.06062553556126821
0,39,0,0,0,-0.040696535683682214,-0.036393683437385235,0.060674501162933034
0,40,0,0,0,-0.04065981148243359,-0.03638144203696903,0.06085812216917615
0,41,0,0,0,-0.04065981148243359,-0.03638144203696903,0.06063777696168442
0,42,0,0,0,-0.04047619047619048,-0.03660790794466887,0.06063777696168442
0,43,0,0,0,-0.04070265638389032,-0.03638144203696903,0.06043579385481699
0,44,0,0,0,-0.04045782837556616,-0.03628963153384747,0.060711225364181665
0,45,0,0,0,-0.04070265638389032,-0.0368098910515363,0.06061941486106011
0,46,0,0,0,-0.04075774268576325,-0.03648549394050679,0.060680621863141146
0,47,0,0,0,-0.040653690782225485,-0.03669971844779042,0.06074182886522218
0,48,0,0,0,-0.04080058758721998,-0.036393683437385235,0.061023381074794956
0,49,0,0,0,-0.04057412167952014,-0.03650997674133921,0.06084588076875994
0,50,0,0,0,-0.04072101848451463,-0.03657730444362835,0.06039906965356837
0,51,0,0,0,-0.04032317297098788,-0.036552821642795934,0.060882604970008566
0,52,0,0,0,-0.04059860448035255,-0.03646101113967438,0.060925449871465295
0,53,0,0,0,-0.04046394907577427,-0.03651609744154731,0.06082139796792753
0,54,0,0,0,-0.04055575957889583,-0.036650752846125595,0.06084588076875994
0,55,0,0,0,-0.04054963887868772,-0.03639980413759334,0.0609315705716734
0,56,0,0,0,-0.04054963887868772,-0.03673032194883095,0.06085812216917615
0,57,0,0,0,-0.040537397478271515,-0.03673032194883095,0.06085812216917615
0,58,0,0,0,-0.04071489778430652,-0.036436528338841964,0.06079079446688701
0,59,0,0,0,-0.04073938058513894,-0.036620149345085076,0.06069286326355735
0,60,0,0,0,-0.04053127677806341,-0.036491614640714896,0.060705104663973566
0,61,0,0,0,-0.04062920798139307,-0.03673032194883095,0.06073570816501408
0,62,0,0,0,-0.04074550128534704,-0.03673032194883095,0.06055208715877096
0,63,0,0,0,-0.040623087281184966,-0.03637532133676093,0.060631656261476305
0,64,0,0,0,-0.04100869139429551,-0.03660790794466887,0.06064389766189252
0,65,0,0,0,-0.04056188027910393,-0.036405924837801446,0.06068674256334925
0,66,0,0,0,-0.04064757008201738,-0.03643040763863386,0.060705104663973566
0,67,0,0,0,-0.040310931570571674,-0.03675480474966336,0.06079079446688701
0,68,0,0,0,-0.04059248378014445,-0.03672420124862284,0.06069286326355735
0,69,0,0,0,-0.04064757008201738,-0.03657730444362835,0.060809156567511326
0,70,0,0,0,-0.04076998408617946,-0.03648549394050679,0.06052148365773045
0,71,0,0,0,-0.03920308483290488,-0.03637532133676093,0.06069286326355735
0,72,0,0,0,-0.04048843187660668,-0.03637532133676093,0.06069286326355735
0,73,0,0,0,-0.04065981148243359,-0.03636307993634472,0.06068674256334925
0,74,0,0,0,-0.040665932182641695,-0.03621618313135023,0.06080303586730322
