values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.042147141633002816,-0.01551597502754315,0.06972701677071858
0,1,0,0,0,-0.041951279226343494,-0.015038560411311052,0.0694393438609377
0,2,0,0,0,-0.041951279226343494,-0.015038560411311052,0.0694393438609377
0,3,0,0,0,-0.04194515852613539,-0.015026319010894846,0.0694515852613539
0,4,0,0,0,-0.042220590035500064,-0.01536907822254866,0.0696168441669727
0,5,0,0,0,-0.042220590035500064,-0.01536907822254866,0.0696168441669727
0,6,0,0,0,-0.041932917125719185,-0.015118129514016403,0.069457705961562
0,7,0,0,0,-0.04223895213612437,-0.015289509119843312,0.06981270657363202
0,8,0,0,0,-0.04223895213612437,-0.015289509119843312,0.06981270657363202
0,9,0,0,0,-0.04208593463092178,-0.015381319622964868,0.06954339576447546
0,10,0,0,0,-0.042189986534459545,-0.015375198922756763,0.06913942955074061
0,11,0,0,0,-0.042189986534459545,-0.015375198922756763,0.06913942955074061
0,12,0,0,0,-0.04211041743175419,-0.015479250826294528,0.06996572407883463
0,13,0,0,0,-0.04204308972946505,-0.01516097441547313,0.06970865467009427
0,14,0,0,0,-0.042165503733627124,-0.015228302117762271,0.0692740849553189
0,15,0,0,0,-0.042165503733627124,-0.015228302117762271,0.0692740849553189
0,16,0,0,0,-0.042177745134043335,-0.015356836822132453,0.06951891296364304
0,17,0,0,0,-0.0421287795323785,-0.01535071612192435,0.069457705961562
0,18,0,0,0,-0.0421287795323785,-0.01535071612192435,0.069457705961562
0,19,0,0,0,-0.04207369323050557,-0.015601664830456604,0.069457705961562
0,20,0,0,0,-0.041963520626759704,-0.015491492226710734,0.06946382666177012
0,21,0,0,0,-0.041963520626759704,-0.015491492226710734,0.06946382666177012
0,22,0,0,0,-0.04192679642551107,-0.01541804382421349,0.06934753335781614
0,23,0,0,0,-0.04198800342759212,-0.01519157791651365,0.06951891296364304
0,24,0,0,0,-0.04198800342759212,-0.01519157791651365,0.06951891296364304
0,25,0,0,0,-0.04189619292447056,-0.015142612314848819,0.06948830946260252
0,26,0,0,0,-0.04194515852613539,-0.015154853715265027,0.06937201615864855
0,27,0,0,0,-0.04194515852613539,-0.015154853715265027,0.06937201615864855
0,28,0,0,0,-0.041920675725302975,-0.015356836822132453,0.06932305055698372
0,29,0,0,0,-0.042153262333210914,-0.01535071612192435,0.06963520626759702
0,30,0,0,0,-0.042153262333210914,-0.01535071612192435,0.06963520626759702
0,31,0,0,0,-0.04208593463092178,-0.01535071612192435,0.06940874035989716
0,32,0,0,0,-0.04226955563716489,-0.015295629820051415,0.06949443016281062
0,33,0,0,0,-0.04226955563716489,-0.015295629820051415,0.06949443016281062
0,34,0,0,0,-0.04192679642551107,-0.015405802423797282,0.0694393438609377
0,35,0,0,0,-0.041877830823846246,-0.015203819316929856,0.06932305055698372
0,36,0,0,0,-0.042147141633002816,-0.015430285224629697,0.06951279226343494
0,37,0,0,0,-0.042147141633002816,-0.015430285224629697,0.06951279226343494
0,38,0,0,0,-0.04182886522218142,-0.015387440323172972,0.06926796425511078
0,39,0,0,0,-0.04209817603133799,-0.015381319622964868,0.06942098176031339
0,40,0,0,0,-0.04209817603133799,-0.015381319622964868,0.06942098176031339
0,41,0,0,0,-0.04208593463092178,-0.015454768025462112,0.06972089607051046
0,42,0,0,0,-0.04224507283633248,-0.015448647325254009,0.06947606806218631
0,43,0,0,0,-0.04224507283633248,-0.015448647325254009,0.06947606806218631
0,44,0,0,0,-0.042134900232586606,-0.015130370914432612,0.0691516709511568
0,45,0,0,0,-0.04193903782592728,-0.015405802423797282,0.06937201615864855
0,46,0,0,0,-0.04193903782592728,-0.015405802423797282,0.06937201615864855
0,47,0,0,0,-0.041877830823846246,-0.015326233321091934,0.06935977475823234
0,48,0,0,0,-0.04205533112988126,-0.015099767413392093,0.06926796425511078
0,49,0,0,0,-0.04192679642551107,-0.015454768025462112,0.06946994736197822
0,50,0,0,0,-0.04220834863508385,-0.015173215815889337,0.06967805116905375
0,51,0,0,0,-0.04207369323050557,-0.015216060717346064,0.06964132696780512
0,52,0,0,0,-0.04238584894111887,-0.015381319622964868,0.06957399926551597
0,53,0,0,0,-0.04205533112988126,-0.015124250214224508,0.06948218876239441
0,54,0,0,0,-0.04190231362467866,-0.015399681723589178,0.06928632635573509
0,55,0,0,0,-0.04234912473987024,-0.015442526625045905,0.06941486106010528
0,56,0,0,0,-0.04078222548659567,-0.015424164524421594,0.06942098176031339
0,57,0,0,0,-0.041975762027175914,-0.015424164524421594,0.06942098176031339
0,58,0,0,0,-0.042177745134043335,-0.015467009425878319,0.07011262088382911
0,59,0,0,0,-0.042294038437997304,-0.015136491614640715,0.069457705961562
0,60,0,0,0,-0.041792141020932795,-0.015411923124005387,0.06913942955074061
0,61,0,0,0,-0.041932917125719185,-0.01536907822254866,0.06946994736197822
0,62,0,0,0,-0.041890072224262456,-0.015246664218386583,0.06933529195739993
0,63,0,0,0,-0.041663606316562615,-0.015142612314848819,0.06966580976863754
0,64,0,0,0,-0.04203084832904884,-0.015307871220467622,0.06959236136614029
0,65,0,0,0,-0.04211041743175419,-0.015228302117762271,0.06957399926551597
0,66,0,0,0,-0.042018606928632636,-0.015503733627126943,0.06976986167217529
0,67,0,0,0,-0.0419696413269678,-0.015240543518178478,0.06957399926551597
0,68,0,0,0,-0.0419696413269678,-0.015240543518178478,0.06942710246052149
0,69,0,0,0,-0.041908434324886765,-0.015246664218386583,0.06942710246052149
0,70,0,0,0,-0.042006365528216426,-0.015430285224629697,0.06933529195739993
0,71,0,0,0,-0.04203084832904884,-0.015503733627126943,0.06947606806218631
0,72,0,0,0,-0.04207369323050557,-0.015203819316929856,0.06939649895948097
0,73,0,0,0,-0.041963520626759704,-0.015307871220467622,0.06942098176031339
0,74,0,0,0,-0.041963520626759704,-0.015252784918594687,0.06954339576447546
