values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.005025094870853225,-0.03241522830211776,0.08876239441792141
0,1,0,0,0,-0.005025094870853225,-0.03241522830211776,0.08876239441792141
0,2,0,0,0,-0.005245440078344963,-0.032672297710858125,0.08881748071979434
0,3,0,0,0,-0.005086301872934264,-0.032531521606071735,0.08931937813685885
0,4,0,0,0,-0.005086301872934264,-0.032531521606071735,0.08931937813685885
0,5,0,0,0,-0.005147508875015302,-0.0326416942098176,0.08869506671563226
0,6,0,0,0,-0.005269922879177378,-0.03249479740482311,0.08886644632145918
0,7,0,0,0,-0.005269922879177378,-0.03249479740482311,0.08886644632145918
0,8,0,0,0,-0.005288284979801689,-0.032690659811482434,0.0885848941118864
0,9,0,0,0,-0.005098543273350471,-0.03254376300648794,0.0889215326233321
0,10,0,0,0,-0.005098543273350471,-0.03254376300648794,0.0889215326233321
0,11,0,0,0,-0.005116905373974782,-0.03259884930836088,0.08882972212021055
0,12,0,0,0,-0.005165870975639613,-0.03283755661647693,0.0892398090341535
0,13,0,0,0,-0.005165870975639613,-0.03283755661647693,0.0892398090341535
0,14,0,0,0,-0.005190353776472029,-0.032629452809401396,0.0889031705227078
0,15,0,0,0,-0.0053494919818827275,-0.03254988370669605,0.08871342881625657
0,16,0,0,0,-0.0053494919818827275,-0.03254988370669605,0.08871342881625657
0,17,0,0,0,-0.00520871587709634,-0.032445831803158284,0.088737911617089
0,18,0,0,0,-0.005153629575223405,-0.03266617701065001,0.08883584282041865
0,19,0,0,0,-0.005202595176888236,-0.032604970008568976,0.08860937691271882
0,20,0,0,0,-0.005202595176888236,-0.032604970008568976,0.08860937691271882
0,21,0,0,0,-0.005190353776472029,-0.032562125107112254,0.08865834251438365
0,22,0,0,0,-0.005318888480842209,-0.03265393561023381,0.08880523931937814
0,23,0,0,0,-0.005318888480842209,-0.03265393561023381,0.08880523931937814
0,24,0,0,0,-0.005018974170645122,-0.03237238340066104,0.08884196352062676
0,25,0,0,0,-0.005276043579385482,-0.03273350471293916,0.0887562737177133
0,26,0,0,0,-0.005276043579385482,-0.03273350471293916,0.0887562737177133
0,27,0,0,0,-0.005312767780634105,-0.032745746113355366,0.08881748071979434
0,28,0,0,0,-0.00520871587709634,-0.03261109070877709,0.08885420492104297
0,29,0,0,0,-0.00520871587709634,-0.03261109070877709,0.08885420492104297
0,30,0,0,0,-0.005269922879177378,-0.03250703880523932,0.08898273962541314
0,31,0,0,0,-0.005184233076263925,-0.03241522830211776,0.08880523931937814
0,32,0,0,0,-0.005184233076263925,-0.03241522830211776,0.08880523931937814
0,33,0,0,0,-0.005227077977720651,-0.03246419390378259,0.08900110172603745
0,34,0,0,0,-0.005288284979801689,-0.0326416942098176,0.0887501530175052
0,35,0,0,0,-0.005288284979801689,-0.0326416942098176,0.0887501530175052
0,36,0,0,0,-0.005422940384379973,-0.03270902191210674,0.0889092912229159
0,37,0,0,0,-0.005263802178969274,-0.03258660790794467,0.08886032562125107
0,38,0,0,0,-0.005074060472518056,-0.03254988370669605,0.08865834251438365
0,39,0,0,0,-0.005074060472518056,-0.03254988370669605,0.08865834251438365
0,40,0,0,0,-0.00508018117272616,-0.032445831803158284,0.08870118741584038
0,41,0,0,0,-0.005086301872934264,-0.032690659811482434,0.08871954951646469
0,42,0,0,0,-0.005086301872934264,-0.032690659811482434,0.08871954951646469
0,43,0,0,0,-0.0051413881748071984,-0.0326416942098176,0.0887501530175052
0,44,0,0,0,-0.00495164646835598,-0.032402986901701555,0.0889092912229159
0,45,0,0,0,-0.00495164646835598,-0.032402986901701555,0.0889092912229159
0,46,0,0,0,-0.005373974782715143,-0.032647814910025705,0.08881748071979434
0,47,0,0,0,-0.005227077977720651,-0.03258048720773656,0.08881136001958624
0,48,0,0,0,-0.005227077977720651,-0.03258048720773656,0.08881136001958624
0,49,0,0,0,-0.005055698371893744,-0.032660056310441915,0.0887256702166728
0,50,0,0,0,-0.005239319378136859,-0.0326355735096095,0.08884196352062676
0,51,0,0,0,-0.005239319378136859,-0.0326355735096095,0.08884196352062676
0,52,0,0,0,-0.00520871587709634,-0.032402986901701555,0.08901334312645368
0,53,0,0,0,-0.005227077977720651,-0.03255600440690415,0.08905618802791039
0,54,0,0,0,-0.005227077977720651,-0.03255600440690415,0.08905618802791039
0,55,0,0,0,-0.005294405680009793,-0.032745746113355366,0.08862773901334313
0,56,0,0,0,-0.005049577671685641,-0.03259884930836088,0.08868894601542417
0,57,0,0,0,-0.005049577671685641,-0.03259884930836088,0.08868894601542417
0,58,0,0,0,-0.005355612682090831,-0.03248867670461501,0.088737911617089
0,59,0,0,0,-0.005086301872934264,-0.0324764353041988,0.0889092912229159
0,60,0,0,0,-0.00533725058146652,-0.03277634961439589,0.08868894601542417
0,61,0,0,0,-0.00533725058146652,-0.03277634961439589,0.08868894601542417
0,62,0,0,0,-0.005318888480842209,-0.03259884930836088,0.08887868772187538
0,63,0,0,0,-0.00495164646835598,-0.032629452809401396,0.0887317909168809
0,64,0,0,0,-0.00495164646835598,-0.032629452809401396,0.0887317909168809
0,65,0,0,0,-0.005012853470437019,-0.032445831803158284,0.08877463581833762
0,66,0,0,0,-0.005306647080426001,-0.032660056310441915,0.0892459297343616
0,67,0,0,0,-0.005306647080426001,-0.032660056310441915,0.0892459297343616
0,68,0,0,0,-0.00520871587709634,-0.03253764230627984,0.08894601542416453
0,69,0,0,0,-0.00520871587709634,-0.03273350471293916,0.08862773901334313
0,70,0,0,0,-0.00520871587709634,-0.03273350471293916,0.08862773901334313
0,71,0,0,0,-0.0051781123760558205,-0.03259272860815277,0.08884196352062676
0,72,0,0,0,-0.005135267474599094,-0.03250703880523932,0.08857877341167829
0,73,0,0,0,-0.005135267474599094,-0.03250703880523932,0.08857877341167829
0,74,0,0,0,-0.005276043579385482,-0.03266617701065001,0.08905618802791039
