values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.018221324519525035,-0.012761659933896437,-0.05113845023870731
0,1,0,0,0,-0.01803770351328192,-0.012798384135145061,-0.051407761047863876
0,2,0,0,0,-0.01803770351328192,-0.012798384135145061,-0.051407761047863876
0,3,0,0,0,-0.01814787611702779,-0.01282898763618558,-0.05144448524911251
0,4,0,0,0,-0.018153996817235892,-0.012841229036601787,-0.0506426735218509
0,5,0,0,0,-0.018153996817235892,-0.012841229036601787,-0.0506426735218509
0,6,0,0,0,-0.018098910515362956,-0.012761659933896437,-0.051120088138083
0,7,0,0,0,-0.018209083119108828,-0.01284734973680989,-0.051156812339331614
0,8,0,0,0,-0.018209083119108828,-0.01284734973680989,-0.051156812339331614
0,9,0,0,0,-0.018270290121189865,-0.012877953237850409,-0.0511323295384992
0,10,0,0,0,-0.018288652221814174,-0.012620883829110049,-0.051065001836210065
0,11,0,0,0,-0.018288652221814174,-0.012620883829110049,-0.051065001836210065
0,12,0,0,0,-0.018196841718692618,-0.012731056432855919,-0.05133431264536663
0,13,0,0,0,-0.018190721018484516,-0.01293916023993145,-0.05138939894723956
0,14,0,0,0,-0.018190721018484516,-0.01293916023993145,-0.05138939894723956
0,15,0,0,0,-0.018258048720773655,-0.012657608030358671,-0.051009915534337126
0,16,0,0,0,-0.01805606561390623,-0.012724935732647815,-0.05124250214224507
0,17,0,0,0,-0.01805606561390623,-0.012724935732647815,-0.05124250214224507
0,18,0,0,0,-0.018466152527849188,-0.01289631533847472,-0.05117517443995593
0,19,0,0,0,-0.01838658342514384,-0.012822866935977475,-0.051205777940996455
0,20,0,0,0,-0.01829477292202228,-0.012792263434936956,-0.05118129514016403
0,21,0,0,0,-0.01829477292202228,-0.012792263434936956,-0.05118129514016403
0,22,0,0,0,-0.018270290121189865,-0.012767780634104543,-0.051236381442036974
0,23,0,0,0,-0.018288652221814174,-0.012902436038682824,-0.051205777940996455
0,24,0,0,0,-0.018288652221814174,-0.012902436038682824,-0.051205777940996455
0,25,0,0,0,-0.018209083119108828,-0.012816746235769371,-0.05105888113600195
0,26,0,0,0,-0.018411066225976252,-0.013012608642428694,-0.05121801934141266
0,27,0,0,0,-0.018411066225976252,-0.013012608642428694,-0.05121801934141266
0,28,0,0,0,-0.0181662382176521,-0.012975884441180072,-0.05136491614640715
0,29,0,0,0,-0.01817847961806831,-0.012951401640347656,-0.05124250214224507
0,30,0,0,0,-0.01817847961806831,-0.012951401640347656,-0.05124250214224507
0,31,0,0,0,-0.018276410821397967,-0.012822866935977475,-0.05135879544619905
0,32,0,0,0,-0.018160117517443997,-0.012865711837434202,-0.05110784673766679
0,33,0,0,0,-0.018160117517443997,-0.012865711837434202,-0.05110784673766679
0,34,0,0,0,-0.018239686620149347,-0.012498469824947973,-0.051413881748071974
0,35,0,0,0,-0.018227445219733136,-0.012786142734728853,-0.05097319133308851
0,36,0,0,0,-0.018227445219733136,-0.012786142734728853,-0.05097319133308851
0,37,0,0,0,-0.018031582813073814,-0.01268209083119109,-0.051162933039539726
0,38,0,0,0,-0.018245807320357448,-0.013049332843677316,-0.05108948463704248
0,39,0,0,0,-0.018245807320357448,-0.013049332843677316,-0.05108948463704248
0,40,0,0,0,-0.018013220712449506,-0.012963643040763865,-0.051303709144326116
0,41,0,0,0,-0.01821520381931693,-0.012975884441180072,-0.051211898641204553
0,42,0,0,0,-0.01813563471661158,-0.012761659933896437,-0.05123026074182887
0,43,0,0,0,-0.01813563471661158,-0.012761659933896437,-0.05123026074182887
0,44,0,0,0,-0.018068307014322438,-0.012706573632023505,-0.05125474354266128
0,45,0,0,0,-0.01808666911494675,-0.012902436038682824,-0.05113845023870731
0,46,0,0,0,-0.01808666911494675,-0.012902436038682824,-0.05113845023870731
0,47,0,0,0,-0.018227445219733136,-0.01300648794222059,-0.05104051903537765
0,48,0,0,0,-0.01831313502264659,-0.012963643040763865,-0.051022156934753336
0,49,0,0,0,-0.01831313502264659,-0.012963643040763865,-0.051022156934753336
0,50,0,0,0,-0.018239686620149347,-0.012510711225364183,-0.051211898641204553
0,51,0,0,0,-0.018429428326600564,-0.012975884441180072,-0.05133431264536663
0,52,0,0,0,-0.018429428326600564,-0.012975884441180072,-0.05133431264536663
0,53,0,0,0,-0.018043824213490024,-0.012663728730566776,-0.05125474354266128
0,54,0,0,0,-0.01821520381931693,-0.01278002203452075,-0.05124250214224507
0,55,0,0,0,-0.01821520381931693,-0.01278002203452075,-0.05124250214224507
0,56,0,0,0,-0.01809278981515485,-0.012841229036601787,-0.05113845023870731
0,57,0,0,0,-0.01811727261598727,-0.012884073938058512,-0.05105888113600195
0,58,0,0,0,-0.01811727261598727,-0.012884073938058512,-0.05105888113600195
0,59,0,0,0,-0.017884686008079322,-0.01268209083119109,-0.051407761047863876
0,60,0,0,0,-0.018196841718692618,-0.01282898763618558,-0.05137715754682336
0,61,0,0,0,-0.018196841718692618,-0.01282898763618558,-0.05137715754682336
0,62,0,0,0,-0.018190721018484516,-0.012786142734728853,-0.05097931203329661
0,63,0,0,0,-0.01812951401640348,-0.012810625535561268,-0.0511323295384992
0,64,0,0,0,-0.018019341412657607,-0.013000367242012487,-0.05133431264536663
0,65,0,0,0,-0.018019341412657607,-0.013000367242012487,-0.05133431264536663
0,66,0,0,0,-0.018013220712449506,-0.012731056432855919,-0.05134655404578283
0,67,0,0,0,-0.018502876729097808,-0.012798384135145061,-0.05132819194515853
0,68,0,0,0,-0.018502876729097808,-0.012798384135145061,-0.05132819194515853
0,69,0,0,0,-0.018227445219733136,-0.01284734973680989,-0.05133431264536663
0,70,0,0,0,-0.018258048720773655,-0.012743297833272127,-0.051193536540580245
0,71,0,0,0,-0.018258048720773655,-0.012743297833272127,-0.051193536540580245
0,72,0,0,0,-0.01818460031827641,-0.012982005141388175,-0.0512914677439099
