values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.018190721018484516,-0.012926918839515241,-0.05114457093891541
0,1,0,0,0,-0.018190721018484516,-0.012926918839515241,-0.05114457093891541
0,2,0,0,0,-0.018098910515362956,-0.013281919451585262,-0.05100379483412902
0,3,0,0,0,-0.018153996817235892,-0.013073815644509731,-0.0512792263434937
0,4,0,0,0,-0.018153996817235892,-0.013073815644509731,-0.0512792263434937
0,5,0,0,0,-0.017982617211408987,-0.013049332843677316,-0.051169053739747825
0,6,0,0,0,-0.018049944913698126,-0.013177867548047497,-0.051438364548904394
0,7,0,0,0,-0.018049944913698126,-0.013177867548047497,-0.051438364548904394
0,8,0,0,0,-0.018013220712449506,-0.013073815644509731,-0.05122414004162076
0,9,0,0,0,-0.018013220712449506,-0.012994246541804384,-0.051156812339331614
0,10,0,0,0,-0.018013220712449506,-0.012994246541804384,-0.051156812339331614
0,11,0,0,0,-0.01803770351328192,-0.01300648794222059,-0.05104051903537765
0,12,0,0,0,-0.017884686008079322,-0.013159505447423187,-0.05138939894723956
0,13,0,0,0,-0.017884686008079322,-0.013159505447423187,-0.05138939894723956
0,14,0,0,0,-0.01792753090953605,-0.01293916023993145,-0.05125474354266128
0,15,0,0,0,-0.01811727261598727,-0.013190108948463706,-0.05131595054474232
0,16,0,0,0,-0.01817847961806831,-0.013067694944301628,-0.05104051903537765
0,17,0,0,0,-0.01817847961806831,-0.013067694944301628,-0.05104051903537765
0,18,0,0,0,-0.0181662382176521,-0.013049332843677316,-0.05147508875015302
0,19,0,0,0,-0.017896927408495533,-0.01300648794222059,-0.05122414004162076
0,20,0,0,0,-0.017896927408495533,-0.01300648794222059,-0.05122414004162076
0,21,0,0,0,-0.018417186926184357,-0.012908556738890927,-0.0512853470437018
0,22,0,0,0,-0.018319255722854692,-0.013153384747215082,-0.05118741584037214
0,23,0,0,0,-0.018319255722854692,-0.013153384747215082,-0.05118741584037214
0,24,0,0,0,-0.01811727261598727,-0.013202350348879913,-0.05104663973558575
0,25,0,0,0,-0.018068307014322438,-0.013128901946382665,-0.05114457093891541
0,26,0,0,0,-0.018068307014322438,-0.013128901946382665,-0.05114457093891541
0,27,0,0,0,-0.01787856530787122,-0.013000367242012487,-0.0512792263434937
0,28,0,0,0,-0.017994858611825194,-0.013079936344717834,-0.05119965724078834
0,29,0,0,0,-0.017994858611825194,-0.013079936344717834,-0.05119965724078834
0,30,0,0,0,-0.01812339331619537,-0.013135022646590768,-0.05105888113600195
0,31,0,0,0,-0.01811727261598727,-0.012963643040763865,-0.051407761047863876
0,32,0,0,0,-0.01811727261598727,-0.012963643040763865,-0.051407761047863876
0,33,0,0,0,-0.01795813441057657,-0.013024850042844902,-0.051407761047863876
0,34,0,0,0,-0.018019341412657607,-0.012982005141388175,-0.051297588444118004
0,35,0,0,0,-0.018019341412657607,-0.012982005141388175,-0.051297588444118004
0,36,0,0,0,-0.01810503121557106,-0.012884073938058512,-0.05132819194515853
0,37,0,0,0,-0.017994858611825194,-0.012835108336393683,-0.05123026074182887
0,38,0,0,0,-0.017994858611825194,-0.013098298445342146,-0.05140164034765578
0,39,0,0,0,-0.018270290121189865,-0.013098298445342146,-0.05140164034765578
0,40,0,0,0,-0.018043824213490024,-0.013000367242012487,-0.051407761047863876
0,41,0,0,0,-0.01810503121557106,-0.013055453543885421,-0.05121801934141266
0,42,0,0,0,-0.01810503121557106,-0.013055453543885421,-0.05121801934141266
0,43,0,0,0,-0.01798873791161709,-0.013037091443261109,-0.05131595054474232
0,44,0,0,0,-0.01808666911494675,-0.01278002203452075,-0.051450605949320605
0,45,0,0,0,-0.01808666911494675,-0.01278002203452075,-0.051450605949320605
0,46,0,0,0,-0.018025462112865712,-0.012773901334312646,-0.051395519647447666
0,47,0,0,0,-0.01810503121557106,-0.012920798139307138,-0.05134043334557473
0,48,0,0,0,-0.01810503121557106,-0.012920798139307138,-0.05134043334557473
0,49,0,0,0,-0.01811727261598727,-0.013220712449504225,-0.05117517443995593
0,50,0,0,0,-0.017939772309952258,-0.013306402252417675,-0.0512792263434937
0,51,0,0,0,-0.017939772309952258,-0.013306402252417675,-0.0512792263434937
0,52,0,0,0,-0.018074427714530543,-0.012963643040763865,-0.05150569225119354
0,53,0,0,0,-0.017945893010160363,-0.01282898763618558,-0.05124862284245317
0,54,0,0,0,-0.017945893010160363,-0.01282898763618558,-0.05124862284245317
0,55,0,0,0,-0.018172358917860204,-0.012933039539723346,-0.051548537152650266
0,56,0,0,0,-0.017896927408495533,-0.01293916023993145,-0.05149957155098543
0,57,0,0,0,-0.017896927408495533,-0.01293916023993145,-0.05149957155098543
0,58,0,0,0,-0.018068307014322438,-0.01300648794222059,-0.05131595054474232
0,59,0,0,0,-0.01790916880891174,-0.012982005141388175,-0.05122414004162076
0,60,0,0,0,-0.01790916880891174,-0.012982005141388175,-0.05122414004162076
0,61,0,0,0,-0.018013220712449506,-0.013067694944301628,-0.051309829844534215
0,62,0,0,0,-0.017994858611825194,-0.012786142734728853,-0.05140164034765578
0,63,0,0,0,-0.0180071000122414,-0.01310441914555025,-0.051591382054106995
0,64,0,0,0,-0.0180071000122414,-0.01310441914555025,-0.051591382054106995
0,65,0,0,0,-0.01812951401640348,-0.012982005141388175,-0.0511323295384992
0,66,0,0,0,-0.01778063410454156,-0.013055453543885421,-0.05132819194515853
0,67,0,0,0,-0.01778063410454156,-0.013055453543885421,-0.05132819194515853
0,68,0,0,0,-0.018013220712449506,-0.012969763740971968,-0.05153629575223405
0,69,0,0,0,-0.018000979312033295,-0.01295752234055576,-0.0514567266495287
0,70,0,0,0,-0.018000979312033295,-0.01295752234055576,-0.0514567266495287
0,71,0,0,0,-0.01805606561390623,-0.013055453543885421,-0.051371036846615245
0,72,0,0,0,-0.017976496511200882,-0.013000367242012487,-0.051309829844534215
