values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.0254009058636308,-0.05591871710123638,-0.06500795691027053
0,1,0,0,0,-0.025345819561757865,-0.056292079813930716,-0.06563226833149713
0,2,0,0,0,-0.025149957155098546,-0.05602276900477414,-0.06552821642795936
0,3,0,0,0,-0.02535806096217407,-0.05606561390623087,-0.0649467499081895
0,4,0,0,0,-0.025351940261965966,-0.0562675970130983,-0.06523442281797037
0,5,0,0,0,-0.02513159505447423,-0.05604725180560656,-0.06571183743420247
0,6,0,0,0,-0.025523319867792875,-0.0561207002081038,-0.06488554290610846
0,7,0,0,0,-0.025254009058636305,-0.05616966580976864,-0.06539968172358918
0,8,0,0,0,-0.02560900967070633,-0.05587587219977965,-0.06524054351817848
0,9,0,0,0,-0.025162198555514752,-0.0562737177133064,-0.0655955441302485
0,10,0,0,0,-0.02509487085322561,-0.0561145795078957,-0.06571795813441059
0,11,0,0,0,-0.025266250459052515,-0.05624923491247399,-0.06567511323295386
0,12,0,0,0,-0.025217284857387685,-0.05575957889582568,-0.0656200269310809
0,13,0,0,0,-0.025388664463214593,-0.055979924103317424,-0.06533847472150814
0,14,0,0,0,-0.025376423062798387,-0.05585138939894724,-0.0654425266250459
0,15,0,0,0,-0.025376423062798387,-0.05585138939894724,-0.0654425266250459
0,16,0,0,0,-0.025333578161341658,-0.055924837801444485,-0.06524054351817848
0,17,0,0,0,-0.02509487085322561,-0.05624923491247399,-0.06547313012608642
0,18,0,0,0,-0.025284612559676827,-0.05609009670706329,-0.06541192312400539
0,19,0,0,0,-0.025345819561757865,-0.055900355000612065,-0.06534459542171625
0,20,0,0,0,-0.025198922756763376,-0.055998286203941726,-0.06545476802546212
0,21,0,0,0,-0.025425388664463217,-0.055900355000612065,-0.06562614763128902
0,22,0,0,0,-0.025425388664463217,-0.055900355000612065,-0.06562614763128902
0,23,0,0,0,-0.025278491859468722,-0.055937079201860695,-0.06568735463337005
0,24,0,0,0,-0.02522340555759579,-0.05598604480352552,-0.0654425266250459
0,25,0,0,0,-0.025149957155098546,-0.05605949320602277,-0.06546088872567021
0,26,0,0,0,-0.02538254376300649,-0.05598604480352552,-0.06560166483045661
0,27,0,0,0,-0.025590647570082014,-0.056139062308728116,-0.06538744032317298
0,28,0,0,0,-0.025198922756763376,-0.05580854449749051,-0.06532011262088383
0,29,0,0,0,-0.025247888358428207,-0.05571673399436896,-0.06533847472150814
0,30,0,0,0,-0.025302974660301136,-0.05602276900477414,-0.0654364059248378
0,31,0,0,0,-0.02537030236259028,-0.05577794099644999,-0.0655894234300404
0,32,0,0,0,-0.02541926796425511,-0.05582078589790672,-0.06539356102338108
0,33,0,0,0,-0.025284612559676827,-0.056071734606438974,-0.06573019953482678
0,34,0,0,0,-0.02535806096217407,-0.05595544130248501,-0.06538744032317298
0,35,0,0,0,-0.0254009058636308,-0.05590647570082017,-0.06539968172358918
0,36,0,0,0,-0.02517443995593096,-0.05597380340310931,-0.0652772677194271
0,37,0,0,0,-0.02544987146529563,-0.05624311421226589,-0.06535683682213245
0,38,0,0,0,-0.025327457461133553,-0.056083976006855184,-0.0654425266250459
0,39,0,0,0,-0.025302974660301136,-0.056071734606438974,-0.06554657852858367
0,40,0,0,0,-0.025302974660301136,-0.056071734606438974,-0.06554657852858367
0,41,0,0,0,-0.025296853960093034,-0.05618802791039294,-0.06533847472150814
0,42,0,0,0,-0.025302974660301136,-0.056077855306647086,-0.06538131962296487
0,43,0,0,0,-0.025168319255722854,-0.05602888970498225,-0.06556494062920798
0,44,0,0,0,-0.025156077855306647,-0.05612682090831191,-0.0654241645244216
0,45,0,0,0,-0.025015301750520257,-0.05575957889582568,-0.06530787122046762
0,46,0,0,0,-0.025119353654058024,-0.05598604480352552,-0.06568123393316196
0,47,0,0,0,-0.025511078467376668,-0.05598604480352552,-0.0652772677194271
0,48,0,0,0,-0.025162198555514752,-0.055979924103317424,-0.06524054351817848
0,49,0,0,0,-0.02529073325988493,-0.05566776839270412,-0.065448647325254
0,50,0,0,0,-0.025241767658220098,-0.05601052760435794,-0.06557718202962419
0,51,0,0,0,-0.02511323295384992,-0.05597380340310931,-0.06557106132941608
0,52,0,0,0,-0.02522340555759579,-0.05586975149957155,-0.06532623332109193
0,53,0,0,0,-0.02522340555759579,-0.056083976006855184,-0.06566287183253763
0,54,0,0,0,-0.025376423062798387,-0.056083976006855184,-0.06566287183253763
0,55,0,0,0,-0.025278491859468722,-0.05584526869873914,-0.06522830211776227
0,56,0,0,0,-0.025376423062798387,-0.055937079201860695,-0.06546088872567021
0,57,0,0,0,-0.025205043456971478,-0.05586975149957155,-0.06547925082629454
0,58,0,0,0,-0.025376423062798387,-0.05605337250581467,-0.065271147019219
0,59,0,0,0,-0.02518056065613906,-0.05605337250581467,-0.06555881992899988
0,60,0,0,0,-0.02538254376300649,-0.056145183008936214,-0.0656139062308728
0,61,0,0,0,-0.025235646958011997,-0.0559493206022769,-0.06553433712816746
0,62,0,0,0,-0.025376423062798387,-0.05609621740727139,-0.06558330272983229
0,63,0,0,0,-0.025278491859468722,-0.055753458195617576,-0.0654425266250459
0,64,0,0,0,-0.025070388052393193,-0.05600440690414984,-0.0651120088138083
0,65,0,0,0,-0.025205043456971478,-0.05602276900477414,-0.06555881992899988
0,66,0,0,0,-0.025064267352185088,-0.056224752111641574,-0.06503856041131105
0,67,0,0,0,-0.025156077855306647,-0.05589423430040397,-0.06535683682213245
0,68,0,0,0,-0.02511323295384992,-0.05602276900477414,-0.06532011262088383
0,69,0,0,0,-0.02532133676092545,-0.0561023381074795,-0.06555881992899988
0,70,0,0,0,-0.02532133676092545,-0.0561023381074795,-0.06555881992899988
0,71,0,0,0,-0.025198922756763376,-0.055998286203941726,-0.06537519892275676
0,72,0,0,0,-0.025296853960093034,-0.05615742440935243,-0.06529562982005141
