values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.022052882849798016,-0.04880034275921165,-0.044570938915411924
0,1,0,0,0,-0.022052882849798016,-0.04880034275921165,-0.044570938915411924
0,2,0,0,0,-0.02226710735708165,-0.04926551597502754,-0.04450973191333089
0,3,0,0,0,-0.02224874525645734,-0.04908189496878443,-0.0443750765087526
0,4,0,0,0,-0.02224874525645734,-0.04908189496878443,-0.0443750765087526
0,5,0,0,0,-0.022193658954584406,-0.049014567266495286,-0.0443750765087526
0,6,0,0,0,-0.022432366262700454,-0.04891051536295753,-0.04454645611457951
0,7,0,0,0,-0.022432366262700454,-0.04891051536295753,-0.04454645611457951
0,8,0,0,0,-0.022432366262700454,-0.04893499816378994,-0.04411800710001224
0,9,0,0,0,-0.022224262455624925,-0.04889215326233321,-0.044399559309585016
0,10,0,0,0,-0.022065124250214223,-0.0488676704615008,-0.04484637042477659
0,11,0,0,0,-0.022065124250214223,-0.0488676704615008,-0.04484637042477659
0,12,0,0,0,-0.02224874525645734,-0.04880646345941976,-0.0445403354143714
0,13,0,0,0,-0.02224874525645734,-0.0488737911617089,-0.04449749051291468
0,14,0,0,0,-0.02224874525645734,-0.0488737911617089,-0.04449749051291468
0,15,0,0,0,-0.022389521361243725,-0.048818704859835964,-0.044399559309585016
0,16,0,0,0,-0.022401762761659935,-0.0490329293671196,-0.04450361121312278
0,17,0,0,0,-0.022401762761659935,-0.0490329293671196,-0.04450361121312278
0,18,0,0,0,-0.0221814175541682,-0.0490390500673277,-0.04444852491124985
0,19,0,0,0,-0.02224874525645734,-0.04899620516587098,-0.04447912841229036
0,20,0,0,0,-0.02224874525645734,-0.04899620516587098,-0.04447912841229036
0,21,0,0,0,-0.02236503856041131,-0.04900844656628718,-0.044417921410209324
0,22,0,0,0,-0.022340555759578894,-0.04894111886399804,-0.044570938915411924
0,23,0,0,0,-0.022340555759578894,-0.04894111886399804,-0.044570938915411924
0,24,0,0,0,-0.02257314236748684,-0.049002325866079076,-0.044154731301260866
0,25,0,0,0,-0.022260986656873545,-0.04926551597502754,-0.04450973191333089
0,26,0,0,0,-0.022260986656873545,-0.04926551597502754,-0.04450973191333089
0,27,0,0,0,-0.022156934753335782,-0.049002325866079076,-0.04430774880646346
0,28,0,0,0,-0.022144693352919572,-0.04896560166483045,-0.04467499081894969
0,29,0,0,0,-0.022144693352919572,-0.04896560166483045,-0.04467499081894969
0,30,0,0,0,-0.02239564206145183,-0.04909413636920064,-0.044430162810625534
0,31,0,0,0,-0.022585383767903047,-0.04889215326233321,-0.044528094013955195
0,32,0,0,0,-0.02247521116415718,-0.048775859958379235,-0.04452197331374709
0,33,0,0,0,-0.02247521116415718,-0.048775859958379235,-0.04452197331374709
0,34,0,0,0,-0.0223527971599951,-0.04899620516587098,-0.04445464561145795
0,35,0,0,0,-0.022052882849798016,-0.04892275676337373,-0.044626025217284856
0,36,0,0,0,-0.022052882849798016,-0.04892275676337373,-0.044626025217284856
0,37,0,0,0,-0.022114089851879053,-0.04906965356836822,-0.04435671440812829
0,38,0,0,0,-0.02226710735708165,-0.04925327457461133,-0.04446076631166605
0,39,0,0,0,-0.02226710735708165,-0.04925327457461133,-0.04446076631166605
0,40,0,0,0,-0.02242624556249235,-0.049271636675235646,-0.04435059370792019
0,41,0,0,0,-0.022456849063532867,-0.049088015668992534,-0.04452197331374709
0,42,0,0,0,-0.022456849063532867,-0.049088015668992534,-0.04452197331374709
0,43,0,0,0,-0.02229771085812217,-0.049198188272738405,-0.04423430040396621
0,44,0,0,0,-0.022212021055208718,-0.049057412167952015,-0.044656628718325375
0,45,0,0,0,-0.022212021055208718,-0.049057412167952015,-0.044656628718325375
0,46,0,0,0,-0.022377279960827518,-0.048886032562125106,-0.04450361121312278
0,47,0,0,0,-0.022077365650630433,-0.04902068796670339,-0.044558697514995714
0,48,0,0,0,-0.022077365650630433,-0.04902068796670339,-0.044558697514995714
0,49,0,0,0,-0.022456849063532867,-0.04899008446566287,-0.044411800710001226
0,50,0,0,0,-0.02243848696290856,-0.04895336026441425,-0.04446076631166605
0,51,0,0,0,-0.02243848696290856,-0.04895336026441425,-0.04446076631166605
0,52,0,0,0,-0.02249357326478149,-0.049002325866079076,-0.04426490390500673
0,53,0,0,0,-0.0223527971599951,-0.048971722365038564,-0.04465050801811728
0,54,0,0,0,-0.0223527971599951,-0.04892275676337373,-0.04454645611457951
0,55,0,0,0,-0.022358917860203206,-0.04892275676337373,-0.04454645611457951
0,56,0,0,0,-0.02249357326478149,-0.048818704859835964,-0.04450361121312278
0,57,0,0,0,-0.022212021055208718,-0.049130860570449256,-0.04430774880646346
0,58,0,0,0,-0.022212021055208718,-0.049130860570449256,-0.04430774880646346
0,59,0,0,0,-0.022285469457705962,-0.04878198065858734,-0.04477904272248745
0,60,0,0,0,-0.02257314236748684,-0.04886154976129269,-0.044656628718325375
0,61,0,0,0,-0.02257314236748684,-0.04886154976129269,-0.044656628718325375
0,62,0,0,0,-0.02236503856041131,-0.04884930836087649,-0.044515852613538985
0,63,0,0,0,-0.022199779654792508,-0.04876973925817114,-0.04468111151915779
0,64,0,0,0,-0.022199779654792508,-0.04876973925817114,-0.04468111151915779
0,65,0,0,0,-0.022487452564573386,-0.04897784306524666,-0.04454645611457951
0,66,0,0,0,-0.02212021055208716,-0.04884318766066838,-0.04468111151915779
0,67,0,0,0,-0.02212021055208716,-0.04884318766066838,-0.04468111151915779
0,68,0,0,0,-0.022334435059370793,-0.04883706696046028,-0.04472395642061452
0,69,0,0,0,-0.02252417676582201,-0.04909413636920064,-0.044442404211041744
0,70,0,0,0,-0.02252417676582201,-0.04909413636920064,-0.044442404211041744
0,71,0,0,0,-0.02243848696290856,-0.048702411555881994,-0.04460154241645244
0,72,0,0,0,-0.022212021055208718,-0.04906353286816012,-0.044687232219365894
