values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.019451585261353897,-0.057846737666789085,-0.06465907699840862
0,1,0,0,0,-0.019451585261353897,-0.057846737666789085,-0.06465907699840862
0,2,0,0,0,-0.019329171257191823,-0.05773044436283511,-0.06482433590402742
0,3,0,0,0,-0.019114946749908192,-0.05768759946137838,-0.06461011139674379
0,4,0,0,0,-0.019114946749908192,-0.05768759946137838,-0.06461011139674379
0,5,0,0,0,-0.01910270534949198,-0.05790182396866202,-0.06472640470069776
0,6,0,0,0,-0.019139429550740605,-0.057675358060962176,-0.06440200758966826
0,7,0,0,0,-0.019139429550740605,-0.057675358060962176,-0.06440200758966826
0,8,0,0,0,-0.019255722854694575,-0.05771208226221079,-0.06456726649528706
0,9,0,0,0,-0.019200636552821643,-0.05793242746970253,-0.06448157669237362
0,10,0,0,0,-0.019427102460521484,-0.05784061696658098,-0.06473252540090586
0,11,0,0,0,-0.019427102460521484,-0.05784061696658098,-0.06473252540090586
0,12,0,0,0,-0.019108826049700087,-0.05762639245929735,-0.06438364548904395
0,13,0,0,0,-0.019157791651364917,-0.0578650997674134,-0.06456726649528706
0,14,0,0,0,-0.019157791651364917,-0.0578650997674134,-0.06456726649528706
0,15,0,0,0,-0.019157791651364917,-0.05789570326845391,-0.06473864610111398
0,16,0,0,0,-0.019298567756151304,-0.0577182029624189,-0.06413269678051169
0,17,0,0,0,-0.019298567756151304,-0.0577182029624189,-0.06413269678051169
0,18,0,0,0,-0.01923124005386216,-0.05773044436283511,-0.06453054229403844
0,19,0,0,0,-0.01921287795323785,-0.0578712204676215,-0.06467743909903292
0,20,0,0,0,-0.01921287795323785,-0.0578712204676215,-0.06467743909903292
0,21,0,0,0,-0.019396498959480965,-0.05785285836699718,-0.06437140408862774
0,22,0,0,0,-0.019249602154486473,-0.05777328926429184,-0.06456726649528706
0,23,0,0,0,-0.019249602154486473,-0.05777328926429184,-0.06456726649528706
0,24,0,0,0,-0.019298567756151304,-0.05751621985555148,-0.06434692128779532
0,25,0,0,0,-0.019200636552821643,-0.05762027175908924,-0.06427959358550618
0,26,0,0,0,-0.019200636552821643,-0.05762027175908924,-0.06427959358550618
0,27,0,0,0,-0.018974170645121802,-0.0578650997674134,-0.06427959358550618
0,28,0,0,0,-0.019414861060105277,-0.05762639245929735,-0.06453054229403844
0,29,0,0,0,-0.019414861060105277,-0.05762639245929735,-0.06453054229403844
0,30,0,0,0,-0.019304688456359406,-0.05765699596033787,-0.06429183498592239
0,31,0,0,0,-0.019329171257191823,-0.05753458195617579,-0.06408985187905496
0,32,0,0,0,-0.019151670951156812,-0.057693720161586484,-0.06437752478883584
0,33,0,0,0,-0.019151670951156812,-0.057693720161586484,-0.06437752478883584
0,34,0,0,0,-0.018974170645121802,-0.05775492716366752,-0.06443873179091689
0,35,0,0,0,-0.01923124005386216,-0.05773044436283511,-0.06419390378259274
0,36,0,0,0,-0.01923124005386216,-0.05773044436283511,-0.06419390378259274
0,37,0,0,0,-0.019139429550740605,-0.057767168564083725,-0.0646345941975762
0,38,0,0,0,-0.01935365405802424,-0.0577182029624189,-0.06450605949320602
0,39,0,0,0,-0.01935365405802424,-0.0577182029624189,-0.06450605949320602
0,40,0,0,0,-0.01917615375198923,-0.05764475455992165,-0.06424899008446566
0,41,0,0,0,-0.019341412657608033,-0.0578834618680377,-0.0644632145917493
0,42,0,0,0,-0.019341412657608033,-0.0578834618680377,-0.0644632145917493
0,43,0,0,0,-0.0192924470559432,-0.057461133553678545,-0.06448769739258171
0,44,0,0,0,-0.019255722854694575,-0.05758354755784062,-0.06432243848696291
0,45,0,0,0,-0.019255722854694575,-0.05758354755784062,-0.06432243848696291
0,46,0,0,0,-0.019427102460521484,-0.05747337495409475,-0.06454890439466275
0,47,0,0,0,-0.019316929856775616,-0.057920186069286325,-0.06452442159383034
0,48,0,0,0,-0.019316929856775616,-0.057920186069286325,-0.06452442159383034
0,49,0,0,0,-0.01935365405802424,-0.05772432366262701,-0.06451830089362223
0,50,0,0,0,-0.019078222548659568,-0.05792630676949443,-0.06442036969029256
0,51,0,0,0,-0.019078222548659568,-0.05792630676949443,-0.06442036969029256
0,52,0,0,0,-0.01935977475823234,-0.05768147876117028,-0.06423674868404947
0,53,0,0,0,-0.019170033051781124,-0.05768759946137838,-0.06443873179091689
0,54,0,0,0,-0.01942098176031338,-0.05777940996449994,-0.06421838658342514
0,55,0,0,0,-0.01942098176031338,-0.05777940996449994,-0.06421838658342514
0,56,0,0,0,-0.019304688456359406,-0.05773044436283511,-0.06411433467988738
0,57,0,0,0,-0.019494430162810626,-0.05758354755784062,-0.06411433467988738
0,58,0,0,0,-0.019494430162810626,-0.05758354755784062,-0.06411433467988738
0,59,0,0,0,-0.019200636552821643,-0.05785897906720529,-0.06415105888113601
0,60,0,0,0,-0.019298567756151304,-0.05772432366262701,-0.06459174929611947
0,61,0,0,0,-0.019298567756151304,-0.05772432366262701,-0.06459174929611947
0,62,0,0,0,-0.019567878565307874,-0.05793242746970253,-0.06449993879299792
0,63,0,0,0,-0.019329171257191823,-0.05751009915534337,-0.06446933529195739
0,64,0,0,0,-0.019329171257191823,-0.05751009915534337,-0.06446933529195739
0,65,0,0,0,-0.01948830946260252,-0.05785897906720529,-0.06424286938425756
0,66,0,0,0,-0.019396498959480965,-0.05754682335659199,-0.06442649039050066
0,67,0,0,0,-0.019396498959480965,-0.05754682335659199,-0.06442649039050066
0,68,0,0,0,-0.019476068062186314,-0.057907944668870115,-0.06423062798384135
0,69,0,0,0,-0.01940261965968907,-0.057693720161586484,-0.0644632145917493
0,70,0,0,0,-0.01940261965968907,-0.057693720161586484,-0.0644632145917493
0,71,0,0,0,-0.01943322316072959,-0.057846737666789085,-0.06440200758966826
0,72,0,0,0,-0.019280205655526992,-0.05785285836699718,-0.0644632145917493
