values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.0265271147019219,-0.048788101358795445,-0.05503121557106133
0,1,0,0,0,-0.0265271147019219,-0.048788101358795445,-0.05503121557106133
0,2,0,0,0,-0.026520994001713795,-0.048898273962541317,-0.05492716366752356
0,3,0,0,0,-0.02667401150691639,-0.048971722365038564,-0.05457828375566165
0,4,0,0,0,-0.02667401150691639,-0.048971722365038564,-0.05477414616232097
0,5,0,0,0,-0.0266862529073326,-0.0488676704615008,-0.05477414616232097
0,6,0,0,0,-0.02670461500795691,-0.04910637776961684,-0.05485371526502632
0,7,0,0,0,-0.026465907699840863,-0.048916636063165625,-0.055012853470437016
0,8,0,0,0,-0.026465907699840863,-0.048916636063165625,-0.055012853470437016
0,9,0,0,0,-0.026594442404211042,-0.049014567266495286,-0.054939405067939776
0,10,0,0,0,-0.026557718202962422,-0.049014567266495286,-0.05470681846003182
0,11,0,0,0,-0.026557718202962422,-0.049014567266495286,-0.054804749663361484
0,12,0,0,0,-0.026729097808789327,-0.04876973925817114,-0.054804749663361484
0,13,0,0,0,-0.02653323540213,-0.04885542906108459,-0.05457216305545355
0,14,0,0,0,-0.026827029012118985,-0.048684049455257686,-0.055257681478761166
0,15,0,0,0,-0.026582201003794836,-0.048959480964622354,-0.05484759456481821
0,16,0,0,0,-0.02642918349859224,-0.04883706696046028,-0.05468233565919941
0,17,0,0,0,-0.026423062798384134,-0.048879911861917,-0.05477414616232097
0,18,0,0,0,-0.026631166605459666,-0.04880646345941976,-0.05474966336148855
0,19,0,0,0,-0.02699228791773779,-0.048928877463581835,-0.05446811115191578
0,20,0,0,0,-0.026643408005875873,-0.04897784306524666,-0.05474966336148855
0,21,0,0,0,-0.026588321704002937,-0.048788101358795445,-0.055116905373974776
0,22,0,0,0,-0.026600563104419144,-0.04891051536295753,-0.054804749663361484
0,23,0,0,0,-0.02666789080670829,-0.048818704859835964,-0.054804749663361484
0,24,0,0,0,-0.026710735708165012,-0.048702411555881994,-0.05472518056065614
0,25,0,0,0,-0.02670461500795691,-0.04874525645733872,-0.054615007956910266
0,26,0,0,0,-0.02670461500795691,-0.04874525645733872,-0.056181907210184845
0,27,0,0,0,-0.02694944301628106,-0.04902068796670339,-0.05489043946627494
0,28,0,0,0,-0.026594442404211042,-0.04884930836087649,-0.0545048353531644
0,29,0,0,0,-0.026582201003794836,-0.049002325866079076,-0.05478026686252907
0,30,0,0,0,-0.026520994001713795,-0.04897784306524666,-0.05478638756273718
0,31,0,0,0,-0.026778063410454155,-0.04897784306524666,-0.05472518056065614
0,32,0,0,0,-0.026729097808789327,-0.04914922267107357,-0.05470681846003182
0,33,0,0,0,-0.026631166605459666,-0.0487146529562982,-0.054688456359407514
0,34,0,0,0,-0.026698494307748805,-0.04884318766066838,-0.05471905986044804
0,35,0,0,0,-0.026600563104419144,-0.049130860570449256,-0.054700697759823724
0,36,0,0,0,-0.026520994001713795,-0.048684049455257686,-0.054957767168564084
0,37,0,0,0,-0.02665564940629208,-0.04902068796670339,-0.05503121557106133
0,38,0,0,0,-0.026637287305667768,-0.04891051536295753,-0.054241645244215944
0,39,0,0,0,-0.02662504590525156,-0.04891051536295753,-0.054841473864610114
0,40,0,0,0,-0.026520994001713795,-0.048671808054841476,-0.05462112865711838
0,41,0,0,0,-0.026520994001713795,-0.048671808054841476,-0.054755784061696657
0,42,0,0,0,-0.026649528706083975,-0.048928877463581835,-0.054755784061696657
0,43,0,0,0,-0.0265271147019219,-0.04895336026441425,-0.05478026686252907
0,44,0,0,0,-0.026637287305667768,-0.049130860570449256,-0.0548169910637777
0,45,0,0,0,-0.02661892520504346,-0.04899620516587098,-0.054810870363569596
0,46,0,0,0,-0.02666177010650018,-0.04891051536295753,-0.054663973558575094
0,47,0,0,0,-0.0268453911127433,-0.04880034275921165,-0.0548231117639858
0,48,0,0,0,-0.026820908311910883,-0.04894111886399804,-0.0548292324641939
0,49,0,0,0,-0.026508752601297585,-0.048916636063165625,-0.05467621495899131
0,50,0,0,0,-0.026784184110662263,-0.04880034275921165,-0.054841473864610114
0,51,0,0,0,-0.026508752601297585,-0.04936344717835721,-0.05462112865711838
0,52,0,0,0,-0.026692373607540704,-0.04895336026441425,-0.055098543273350474
0,53,0,0,0,-0.026692373607540704,-0.04926551597502754,-0.05473742196107234
0,54,0,0,0,-0.026710735708165012,-0.04926551597502754,-0.05473742196107234
0,55,0,0,0,-0.02675358060962174,-0.048898273962541317,-0.05470681846003182
0,56,0,0,0,-0.02661280450483535,-0.04908189496878443,-0.0549944913698127
0,57,0,0,0,-0.026563838903170524,-0.04897784306524666,-0.05457216305545355
0,58,0,0,0,-0.02657608030358673,-0.049088015668992534,-0.05486595666544253
0,59,0,0,0,-0.026588321704002937,-0.049002325866079076,-0.054804749663361484
0,60,0,0,0,-0.02642918349859224,-0.04897784306524666,-0.05493328436773167
0,61,0,0,0,-0.02656995960337863,-0.048702411555881994,-0.05473742196107234
0,62,0,0,0,-0.026765822010037948,-0.04906965356836822,-0.05485371526502632
0,63,0,0,0,-0.026588321704002937,-0.049057412167952015,-0.0548292324641939
0,64,0,0,0,-0.026410821397967927,-0.048916636063165625,-0.05492716366752356
0,65,0,0,0,-0.02657608030358673,-0.04907577426857633,-0.05485371526502632
0,66,0,0,0,-0.026582201003794836,-0.04865344595421716,-0.054945525768147874
0,67,0,0,0,-0.026808666911494677,-0.04875137715754682,-0.054914922267107355
0,68,0,0,0,-0.02666789080670829,-0.0490329293671196,-0.05500061207002081
0,69,0,0,0,-0.0266862529073326,-0.049100257069408744,-0.054982249969396504
0,70,0,0,0,-0.026472028400048964,-0.04914922267107357,-0.05500061207002081
0,71,0,0,0,-0.026594442404211042,-0.04884318766066838,-0.05440690414983475
0,72,0,0,0,-0.026594442404211042,-0.048959480964622354,-0.054663973558575094
