values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.01803770351328192,-0.05216672787366875,-0.06960460276655649
0,1,0,0,0,-0.01812951401640348,-0.05198922756763373,-0.06937813685885666
0,2,0,0,0,-0.018025462112865712,-0.052148365773044436,-0.06948830946260252
0,3,0,0,0,-0.018025462112865712,-0.052148365773044436,-0.06948830946260252
0,4,0,0,0,-0.018068307014322438,-0.05219733137470926,-0.06954951646468356
0,5,0,0,0,-0.01809278981515485,-0.052081038070755294,-0.06950055086301873
0,6,0,0,0,-0.01809278981515485,-0.052081038070755294,-0.06951279226343494
0,7,0,0,0,-0.01809278981515485,-0.05216672787366875,-0.06951279226343494
0,8,0,0,0,-0.01803770351328192,-0.05211776227200392,-0.06973313747092667
0,9,0,0,0,-0.018043824213490024,-0.05216672787366875,-0.06926796425511078
0,10,0,0,0,-0.018043824213490024,-0.05216672787366875,-0.06926796425511078
0,11,0,0,0,-0.018080548414738645,-0.05206879667033909,-0.06942710246052149
0,12,0,0,0,-0.01814787611702779,-0.05206267597013098,-0.06965356836822131
0,13,0,0,0,-0.01814787611702779,-0.05206267597013098,-0.06965356836822131
0,14,0,0,0,-0.01811727261598727,-0.05224017627616599,-0.0696168441669727
0,15,0,0,0,-0.018227445219733136,-0.052050434569714775,-0.0692740849553189
0,16,0,0,0,-0.018227445219733136,-0.052050434569714775,-0.0692740849553189
0,17,0,0,0,-0.018245807320357448,-0.05224017627616599,-0.0696168441669727
0,18,0,0,0,-0.018196841718692618,-0.05213612437262823,-0.06968417186926185
0,19,0,0,0,-0.018196841718692618,-0.05213612437262823,-0.06968417186926185
0,20,0,0,0,-0.01798873791161709,-0.052148365773044436,-0.06948830946260252
0,21,0,0,0,-0.017884686008079322,-0.052154486473252534,-0.06985555147508875
0,22,0,0,0,-0.017884686008079322,-0.052154486473252534,-0.06985555147508875
0,23,0,0,0,-0.0181662382176521,-0.05198922756763373,-0.06951891296364304
0,24,0,0,0,-0.01814787611702779,-0.05227690047741461,-0.06958011996572408
0,25,0,0,0,-0.01814787611702779,-0.05227690047741461,-0.06958011996572408
0,26,0,0,0,-0.01813563471661158,-0.05201983106867426,-0.06970865467009427
0,27,0,0,0,-0.018258048720773655,-0.051952503366385114,-0.06958011996572408
0,28,0,0,0,-0.018221324519525035,-0.05230750397845514,-0.06963520626759702
0,29,0,0,0,-0.018221324519525035,-0.05230750397845514,-0.06963520626759702
0,30,0,0,0,-0.01792141020932795,-0.05209940017137961,-0.06972089607051046
0,31,0,0,0,-0.018196841718692618,-0.05208715877096339,-0.06931080915656751
0,32,0,0,0,-0.018196841718692618,-0.05208715877096339,-0.06931080915656751
0,33,0,0,0,-0.018160117517443997,-0.05224017627616599,-0.06953727506426735
0,34,0,0,0,-0.01814787611702779,-0.05227690047741461,-0.0697576202717591
0,35,0,0,0,-0.01814787611702779,-0.05227690047741461,-0.0697576202717591
0,36,0,0,0,-0.017939772309952258,-0.05207491737054719,-0.06956787856530787
0,37,0,0,0,-0.01813563471661158,-0.05230138327824703,-0.06958011996572408
0,38,0,0,0,-0.01813563471661158,-0.05230138327824703,-0.06958011996572408
0,39,0,0,0,-0.01808666911494675,-0.05218508997429307,-0.06965968906842943
0,40,0,0,0,-0.018355979924103316,-0.052038193169298565,-0.06971477537030236
0,41,0,0,0,-0.018355979924103316,-0.052038193169298565,-0.06971477537030236
0,42,0,0,0,-0.018160117517443997,-0.052160607173460646,-0.06965356836822131
0,43,0,0,0,-0.01812339331619537,-0.052234055575957894,-0.06952503366385114
0,44,0,0,0,-0.01812339331619537,-0.052234055575957894,-0.06952503366385114
0,45,0,0,0,-0.018227445219733136,-0.052295262578038924,-0.06969641326967804
0,46,0,0,0,-0.018380462724935733,-0.052148365773044436,-0.06969641326967804
0,47,0,0,0,-0.018380462724935733,-0.052148365773044436,-0.06969641326967804
0,48,0,0,0,-0.01821520381931693,-0.05195862406659322,-0.06973313747092667
0,49,0,0,0,-0.01838658342514384,-0.052111641571795805,-0.06958011996572408
0,50,0,0,0,-0.018019341412657607,-0.052448280083241525,-0.06951279226343494
0,51,0,0,0,-0.018019341412657607,-0.052448280083241525,-0.06951279226343494
0,52,0,0,0,-0.01805606561390623,-0.05221569347533358,-0.06965356836822131
0,53,0,0,0,-0.017982617211408987,-0.05222793487574978,-0.06962908556738891
0,54,0,0,0,-0.017982617211408987,-0.05222793487574978,-0.06962908556738891
0,55,0,0,0,-0.01823356591994124,-0.052221814175541684,-0.06956175786509977
0,56,0,0,0,-0.018172358917860204,-0.05228302117762272,-0.0697759823723834
0,57,0,0,0,-0.018172358917860204,-0.05228302117762272,-0.0697759823723834
0,58,0,0,0,-0.018019341412657607,-0.05201371036846615,-0.06972701677071858
0,59,0,0,0,-0.018080548414738645,-0.0522462969763741,-0.06980046517321582
0,60,0,0,0,-0.018080548414738645,-0.0522462969763741,-0.06980046517321582
0,61,0,0,0,-0.01809278981515485,-0.052234055575957894,-0.06942710246052149
0,62,0,0,0,-0.017939772309952258,-0.05227077977720651,-0.06917615375198923
0,63,0,0,0,-0.017939772309952258,-0.05227077977720651,-0.06917615375198923
0,64,0,0,0,-0.017903048108703638,-0.052295262578038924,-0.0692740849553189
0,65,0,0,0,-0.018062186314114333,-0.05202595176888236,-0.06913942955074061
0,66,0,0,0,-0.018062186314114333,-0.05202595176888236,-0.06913942955074061
0,67,0,0,0,-0.018258048720773655,-0.05196474476680132,-0.06963520626759702
0,68,0,0,0,-0.01808666911494675,-0.05208715877096339,-0.06965356836822131
0,69,0,0,0,-0.01808666911494675,-0.05208715877096339,-0.06965356836822131
0,70,0,0,0,-0.01818460031827641,-0.052191210674501165,-0.06948218876239441
0,71,0,0,0,-0.01821520381931693,-0.05233810747949565,-0.06959848206634839
0,72,0,0,0,-0.018300893622230384,-0.0522462969763741,-0.06955563716489166
