values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.015895458440445587,-0.05439466274941853,-0.062039417309340185
0,1,0,0,0,-0.01595054474231852,-0.054217162443383524,-0.06238829722120211
0,2,0,0,0,-0.015668992532745746,-0.05406414493818092,-0.06235769372016159
0,3,0,0,0,-0.015668992532745746,-0.05406414493818092,-0.06235769372016159
0,4,0,0,0,-0.01551597502754315,-0.0541804382421349,-0.06226588321704003
0,5,0,0,0,-0.015754682335659197,-0.05432121434692129,-0.06224140041620761
0,6,0,0,0,-0.015754682335659197,-0.05432121434692129,-0.06224140041620761
0,7,0,0,0,-0.015699596033786265,-0.0543395764475456,-0.062296486718080545
0,8,0,0,0,-0.01586485493940507,-0.05414983474109438,-0.06211286571183744
0,9,0,0,0,-0.01586485493940507,-0.05414983474109438,-0.06211286571183744
0,10,0,0,0,-0.015779165136491614,-0.053960093034643164,-0.062192434814542785
0,11,0,0,0,-0.015522095727751256,-0.0541681968417187,-0.06213734851266985
0,12,0,0,0,-0.01590157914065369,-0.05409474843922145,-0.06231484881870486
0,13,0,0,0,-0.01590157914065369,-0.05409474843922145,-0.06231484881870486
0,14,0,0,0,-0.015809768637532133,-0.05405190353776472,-0.061800710001224134
0,15,0,0,0,-0.015919941241278,-0.05420492104296731,-0.06232096951891296
0,16,0,0,0,-0.015919941241278,-0.05420492104296731,-0.06232096951891296
0,17,0,0,0,-0.015766923736075408,-0.05424776594442404,-0.062192434814542785
0,18,0,0,0,-0.015999510343983354,-0.05409474843922145,-0.06231484881870486
0,19,0,0,0,-0.015999510343983354,-0.05409474843922145,-0.06231484881870486
0,20,0,0,0,-0.015705716733994367,-0.05419267964255111,-0.06249846982494798
0,21,0,0,0,-0.015681233933161953,-0.05400293793609989,-0.062180193414126575
0,22,0,0,0,-0.015681233933161953,-0.05400293793609989,-0.062180193414126575
0,23,0,0,0,-0.01596890684294283,-0.054174317541926795,-0.06227200391724813
0,24,0,0,0,-0.01587097563961317,-0.05411923124005387,-0.06246174562369935
0,25,0,0,0,-0.01587097563961317,-0.05411923124005387,-0.06246174562369935
0,26,0,0,0,-0.01566287183253764,-0.05406414493818092,-0.062253641816623816
0,27,0,0,0,-0.015675113232953848,-0.0541681968417187,-0.062473987024115565
0,28,0,0,0,-0.015675113232953848,-0.0541681968417187,-0.062473987024115565
0,29,0,0,0,-0.01588321704002938,-0.05409474843922145,-0.06201493450850777
0,30,0,0,0,-0.015711837434202472,-0.05409474843922145,-0.062290366017872446
0,31,0,0,0,-0.015711837434202472,-0.05409474843922145,-0.062290366017872446
0,32,0,0,0,-0.01580364793732403,-0.053819316929856774,-0.06199657240788346
0,33,0,0,0,-0.015858734239196964,-0.05420492104296731,-0.06235157301995349
0,34,0,0,0,-0.015895458440445587,-0.054021300036724194,-0.062473987024115565
0,35,0,0,0,-0.015895458440445587,-0.054021300036724194,-0.062473987024115565
0,36,0,0,0,-0.01586485493940507,-0.053856041131105405,-0.06214346921287796
0,37,0,0,0,-0.015852613538988862,-0.05426612804504836,-0.062394417921410206
0,38,0,0,0,-0.015852613538988862,-0.05426612804504836,-0.062394417921410206
0,39,0,0,0,-0.015956665442526625,-0.054272248745256456,-0.06213734851266985
0,40,0,0,0,-0.015650630432121435,-0.05408250703880524,-0.06199657240788346
0,41,0,0,0,-0.015650630432121435,-0.05408250703880524,-0.06199657240788346
0,42,0,0,0,-0.015717958134410577,-0.05399681723589178,-0.06232096951891296
0,43,0,0,0,-0.015773044436283513,-0.054260007344840246,-0.062290366017872446
0,44,0,0,0,-0.015773044436283513,-0.054260007344840246,-0.062290366017872446
0,45,0,0,0,-0.015736320235034885,-0.054174317541926795,-0.06201493450850777
0,46,0,0,0,-0.015754682335659197,-0.05405190353776472,-0.062094503611213124
0,47,0,0,0,-0.015754682335659197,-0.05405190353776472,-0.062094503611213124
0,48,0,0,0,-0.015926061941486106,-0.054260007344840246,-0.062180193414126575
0,49,0,0,0,-0.015613906230872813,-0.05411311053984576,-0.06230260741828865
0,50,0,0,0,-0.015613906230872813,-0.05411311053984576,-0.06230260741828865
0,51,0,0,0,-0.015932182641694208,-0.053874403231729706,-0.06246174562369935
0,52,0,0,0,-0.015675113232953848,-0.05404578283755662,-0.06210062431142123
0,53,0,0,0,-0.015675113232953848,-0.05404578283755662,-0.06210062431142123
0,54,0,0,0,-0.01566287183253764,-0.05407638633859714,-0.062253641816623816
0,55,0,0,0,-0.015822010037948343,-0.054131472640470066,-0.061941486106010524
0,56,0,0,0,-0.015962786142734726,-0.05410698983963765,-0.06217407271391847
0,57,0,0,0,-0.015962786142734726,-0.05410698983963765,-0.06217407271391847
0,58,0,0,0,-0.01588321704002938,-0.05403354143714041,-0.06216183131350227
0,59,0,0,0,-0.015601664830456604,-0.054376300648794215,-0.06182519280205655
0,60,0,0,0,-0.015601664830456604,-0.054376300648794215,-0.06182519280205655
0,61,0,0,0,-0.015754682335659197,-0.05408250703880524,-0.062339331619537273
0,62,0,0,0,-0.015711837434202472,-0.0541681968417187,-0.06210062431142123
0,63,0,0,0,-0.015711837434202472,-0.0541681968417187,-0.06210062431142123
0,64,0,0,0,-0.015822010037948343,-0.054131472640470066,-0.06224140041620761
0,65,0,0,0,-0.015956665442526625,-0.05380095482923246,-0.062253641816623816
0,66,0,0,0,-0.015809768637532133,-0.054100869139429554,-0.06231484881870486
0,67,0,0,0,-0.015809768637532133,-0.054100869139429554,-0.06231484881870486
0,68,0,0,0,-0.015797527237115926,-0.05436405924837802,-0.062088382911005026
0,69,0,0,0,-0.015956665442526625,-0.05404578283755662,-0.06231484881870486
0,70,0,0,0,-0.015956665442526625,-0.05404578283755662,-0.06231484881870486
0,71,0,0,0,-0.015815889337740238,-0.053953972334435066,-0.06235157301995349
0,72,0,0,0,-0.015926061941486106,-0.05410698983963765,-0.06217407271391847
