values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.02289141877830824,-0.041265760803035866,-0.055545354388542044
0,1,0,0,0,-0.02289141877830824,-0.041265760803035866,-0.055545354388542044
0,2,0,0,0,-0.022824091076019095,-0.04108213979679275,-0.05577794099644999
0,3,0,0,0,-0.022842453176643407,-0.04118619170033051,-0.05571061329416085
0,4,0,0,0,-0.022842453176643407,-0.04118619170033051,-0.05571061329416085
0,5,0,0,0,-0.022756763373729956,-0.041418778308238466,-0.05573509609499326
0,6,0,0,0,-0.022854694577059614,-0.04128412290366018,-0.05575957889582568
0,7,0,0,0,-0.022854694577059614,-0.04128412290366018,-0.05575957889582568
0,8,0,0,0,-0.02295874648059738,-0.041265760803035866,-0.05579018239686621
0,9,0,0,0,-0.023050556983718936,-0.041235157301995354,-0.05536785408250704
0,10,0,0,0,-0.023050556983718936,-0.041235157301995354,-0.05536785408250704
0,11,0,0,0,-0.022940384379973068,-0.04110662259762517,-0.05589423430040397
0,12,0,0,0,-0.022885298078100136,-0.04143101970865467,-0.0554657852858367
0,13,0,0,0,-0.022885298078100136,-0.04143101970865467,-0.0554657852858367
0,14,0,0,0,-0.023044436283510834,-0.041033174195127926,-0.05559431999020688
0,15,0,0,0,-0.02300771208226221,-0.041137226098665686,-0.055881992899987756
0,16,0,0,0,-0.02300771208226221,-0.041137226098665686,-0.055881992899987756
0,17,0,0,0,-0.02278124617456237,-0.04120455380095483,-0.05571061329416085
0,18,0,0,0,-0.022940384379973068,-0.04150446811115192,-0.05552699228791774
0,19,0,0,0,-0.022903660178724448,-0.04122903660178724,-0.055539233688333946
0,20,0,0,0,-0.022903660178724448,-0.04122903660178724,-0.055539233688333946
0,21,0,0,0,-0.02300771208226221,-0.04133308850532501,-0.055826906598114824
0,22,0,0,0,-0.02265271147019219,-0.04105765699596034,-0.05579018239686621
0,23,0,0,0,-0.02265271147019219,-0.04105765699596034,-0.05579018239686621
0,24,0,0,0,-0.023050556983718936,-0.041051536295752235,-0.05571061329416085
0,25,0,0,0,-0.022848573876851512,-0.041180071000122415,-0.05564940629207982
0,26,0,0,0,-0.022848573876851512,-0.041180071000122415,-0.05564940629207982
0,27,0,0,0,-0.02292202227934876,-0.04124127800220345,-0.05577794099644999
0,28,0,0,0,-0.022677194271024607,-0.04127188150324397,-0.055539233688333946
0,29,0,0,0,-0.022677194271024607,-0.04127188150324397,-0.05571061329416085
0,30,0,0,0,-0.022934263679764966,-0.0411617088994981,-0.05571061329416085
0,31,0,0,0,-0.02300771208226221,-0.04115558819929,-0.05556371648916636
0,32,0,0,0,-0.02290978087893255,-0.04129636430407639,-0.05555759578895826
0,33,0,0,0,-0.02290978087893255,-0.04129636430407639,-0.05555759578895826
0,34,0,0,0,-0.022762884073938058,-0.04144326110907088,-0.055582078589790675
0,35,0,0,0,-0.022787366874770475,-0.04134532990574122,-0.05552699228791774
0,36,0,0,0,-0.022787366874770475,-0.04134532990574122,-0.05552699228791774
0,37,0,0,0,-0.022970987881013587,-0.04125351940261966,-0.05587587219977965
0,38,0,0,0,-0.02278124617456237,-0.04110662259762517,-0.05556371648916636
0,39,0,0,0,-0.02278124617456237,-0.04110662259762517,-0.05556371648916636
0,40,0,0,0,-0.02303831558330273,-0.041167829599706204,-0.05553311298812584
0,41,0,0,0,-0.02292814297955686,-0.04121067450116293,-0.0554719059860448
0,42,0,0,0,-0.02292814297955686,-0.04121067450116293,-0.05566776839270412
0,43,0,0,0,-0.022738401273105644,-0.04118619170033051,-0.05566776839270412
0,44,0,0,0,-0.022756763373729956,-0.041192312400538625,-0.05557595788958257
0,45,0,0,0,-0.022793487574978576,-0.04136981270657363,-0.05571061329416085
0,46,0,0,0,-0.022793487574978576,-0.04136981270657363,-0.05571061329416085
0,47,0,0,0,-0.022793487574978576,-0.04128412290366018,-0.0556310441914555
0,48,0,0,0,-0.023044436283510834,-0.041320847104908805,-0.05574733749540948
0,49,0,0,0,-0.023044436283510834,-0.041320847104908805,-0.05574733749540948
0,50,0,0,0,-0.02279960827518668,-0.041308605704492594,-0.055612682090831186
0,51,0,0,0,-0.022983229281429797,-0.04157791651364916,-0.05566164769249602
0,52,0,0,0,-0.022983229281429797,-0.04157791651364916,-0.05566164769249602
0,53,0,0,0,-0.0226649528706084,-0.04124127800220345,-0.05538009548292324
0,54,0,0,0,-0.022726159872689437,-0.041192312400538625,-0.05566164769249602
0,55,0,0,0,-0.022726159872689437,-0.041192312400538625,-0.05566164769249602
0,56,0,0,0,-0.02286693597747582,-0.04118619170033051,-0.05558819928999877
0,57,0,0,0,-0.022915901579140655,-0.04125351940261966,-0.055967682702901214
0,58,0,0,0,-0.022915901579140655,-0.04125351940261966,-0.055967682702901214
0,59,0,0,0,-0.022995470681846004,-0.04121067450116293,-0.055967682702901214
0,60,0,0,0,-0.02292202227934876,-0.0413269678051169,-0.0554719059860448
0,61,0,0,0,-0.02292202227934876,-0.0413269678051169,-0.0554719059860448
0,62,0,0,0,-0.022769004774146163,-0.041094381197208964,-0.05567388909291223
0,63,0,0,0,-0.022805728975394783,-0.04143101970865467,-0.05573509609499326
0,64,0,0,0,-0.022775125474354264,-0.041020932794711716,-0.055857510099155336
0,65,0,0,0,-0.022775125474354264,-0.041020932794711716,-0.055857510099155336
0,66,0,0,0,-0.022903660178724448,-0.04138205410698984,-0.05571673399436896
0,67,0,0,0,-0.02279960827518668,-0.041278002203452076,-0.05549026808666911
0,68,0,0,0,-0.02279960827518668,-0.041278002203452076,-0.05549026808666911
0,69,0,0,0,-0.02275064267352185,-0.04122903660178724,-0.055478026686252915
0,70,0,0,0,-0.022848573876851512,-0.041149467499081896,-0.05575957889582568
0,71,0,0,0,-0.022848573876851512,-0.041149467499081896,-0.05575957889582568
0,72,0,0,0,-0.022946505080181173,-0.04110050189741706,-0.0556310441914555
