values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.026214958991308608,-0.05310319500550863,-0.060068551842330765
0,1,0,0,0,-0.02615987268943567,-0.053035867303219485,-0.0602766556494063
0,2,0,0,0,-0.02615987268943567,-0.053035867303219485,-0.0602766556494063
0,3,0,0,0,-0.026270045293181537,-0.053146039906965356,-0.06025829354878198
0,4,0,0,0,-0.02598237238340066,-0.053035867303219485,-0.06033174195127923
0,5,0,0,0,-0.02598237238340066,-0.053035867303219485,-0.06033174195127923
0,6,0,0,0,-0.025951768882360143,-0.05310931570571673,-0.06037458685273596
0,7,0,0,0,-0.026110907087770842,-0.052993022401762756,-0.060325621251071125
0,8,0,0,0,-0.026110907087770842,-0.052993022401762756,-0.060325621251071125
0,9,0,0,0,-0.026227200391724815,-0.053029746603011386,-0.06033174195127923
0,10,0,0,0,-0.026068062186314116,-0.05326233321091933,-0.06016036234545232
0,11,0,0,0,-0.026068062186314116,-0.05326233321091933,-0.06016036234545232
0,12,0,0,0,-0.02612314848818705,-0.05302362590280328,-0.06038070755294406
0,13,0,0,0,-0.02617211408985188,-0.05315216060717346,-0.06039906965356837
0,14,0,0,0,-0.02617211408985188,-0.05315216060717346,-0.06039906965356837
0,15,0,0,0,-0.0262088382911005,-0.05306647080426,-0.06035010405190354
0,16,0,0,0,-0.026245562492349123,-0.052993022401762756,-0.060466397355857515
0,17,0,0,0,-0.026245562492349123,-0.052993022401762756,-0.060466397355857515
0,18,0,0,0,-0.026227200391724815,-0.05324397111029502,-0.0604480352552332
0,19,0,0,0,-0.026227200391724815,-0.053115436405924844,-0.06055208715877096
0,20,0,0,0,-0.026227200391724815,-0.053115436405924844,-0.060411311053984576
0,21,0,0,0,-0.026049700085689804,-0.05287060839760068,-0.060411311053984576
0,22,0,0,0,-0.026080303586730323,-0.05320724690904639,-0.06025829354878198
0,23,0,0,0,-0.026319010894846374,-0.05279715999510344,-0.0604602766556494
0,24,0,0,0,-0.026319010894846374,-0.05279715999510344,-0.0604602766556494
0,25,0,0,0,-0.026196596890684293,-0.05306647080426,-0.06026441424899008
0,26,0,0,0,-0.026129269188395154,-0.05312155710613294,-0.060705104663973566
0,27,0,0,0,-0.026129269188395154,-0.05312155710613294,-0.060705104663973566
0,28,0,0,0,-0.026184355490268086,-0.05310931570571673,-0.060466397355857515
0,29,0,0,0,-0.026086424286938425,-0.05282776349614395,-0.060564328559187176
0,30,0,0,0,-0.026086424286938425,-0.05282776349614395,-0.060564328559187176
0,31,0,0,0,-0.02617211408985188,-0.05296853960093034,-0.06026441424899008
0,32,0,0,0,-0.02596401028277635,-0.0532256090096707,-0.06053984575835476
0,33,0,0,0,-0.02596401028277635,-0.0532256090096707,-0.06053984575835476
0,34,0,0,0,-0.02614151058881136,-0.053115436405924844,-0.060270534949198186
0,35,0,0,0,-0.026147631289019462,-0.05301138450238707,-0.060411311053984576
0,36,0,0,0,-0.026147631289019462,-0.05301138450238707,-0.060411311053984576
0,37,0,0,0,-0.026380217896927412,-0.05313991920675726,-0.06052148365773045
0,38,0,0,0,-0.026055820785897903,-0.05325009181050312,-0.060423552454400786
0,39,0,0,0,-0.026074182886522218,-0.052937936099889824,-0.060282776349614396
0,40,0,0,0,-0.026074182886522218,-0.052937936099889824,-0.060282776349614396
0,41,0,0,0,-0.026312890194638266,-0.05309095360509243,-0.060209327947117156
0,42,0,0,0,-0.02606194148610601,-0.052974660301138454,-0.06049088015668993
0,43,0,0,0,-0.02606194148610601,-0.052974660301138454,-0.06049088015668993
0,44,0,0,0,-0.026129269188395154,-0.05332354021300036,-0.06039906965356837
0,45,0,0,0,-0.026337372995470683,-0.05298690170155466,-0.06050312155710613
0,46,0,0,0,-0.026337372995470683,-0.05298690170155466,-0.06050312155710613
0,47,0,0,0,-0.026037458685273594,-0.05323785041008692,-0.060068551842330765
0,48,0,0,0,-0.02606194148610601,-0.05309707430530053,-0.06053372505814665
0,49,0,0,0,-0.02606194148610601,-0.05309707430530053,-0.06053372505814665
0,50,0,0,0,-0.026043579385481696,-0.05290733259884931,-0.060454155955441305
0,51,0,0,0,-0.02606194148610601,-0.05300526380217897,-0.060454155955441305
0,52,0,0,0,-0.02606194148610601,-0.05300526380217897,-0.060454155955441305
0,53,0,0,0,-0.026049700085689804,-0.05326233321091933,-0.06047863875627372
0,54,0,0,0,-0.02598237238340066,-0.05317052270779778,-0.060497000856898034
0,55,0,0,0,-0.02598237238340066,-0.05317052270779778,-0.060497000856898034
0,56,0,0,0,-0.026092544987146533,-0.05292569469947363,-0.06026441424899008
0,57,0,0,0,-0.02609866568735463,-0.05278491859468724,-0.060386828253152156
0,58,0,0,0,-0.02609866568735463,-0.05278491859468724,-0.06050924225731423
0,59,0,0,0,-0.026135389888603255,-0.05315828130738156,-0.06050924225731423
0,60,0,0,0,-0.0262088382911005,-0.053176643408005875,-0.06036846615252785
0,61,0,0,0,-0.026245562492349123,-0.05312155710613294,-0.060423552454400786
0,62,0,0,0,-0.026245562492349123,-0.05312155710613294,-0.060423552454400786
0,63,0,0,0,-0.026086424286938425,-0.053146039906965356,-0.060423552454400786
0,64,0,0,0,-0.026006855184233076,-0.0528828497980169,-0.06047251805606561
0,65,0,0,0,-0.026006855184233076,-0.0528828497980169,-0.06047251805606561
0,66,0,0,0,-0.025908923980903414,-0.05306647080426,-0.06038070755294406
0,67,0,0,0,-0.026117027787978947,-0.05320724690904639,-0.060411311053984576
0,68,0,0,0,-0.026117027787978947,-0.05320724690904639,-0.060411311053984576
0,69,0,0,0,-0.025951768882360143,-0.053029746603011386,-0.06054596645856286
0,70,0,0,0,-0.025957889582568245,-0.05332354021300036,-0.06062553556126821
0,71,0,0,0,-0.025957889582568245,-0.05332354021300036,-0.06062553556126821
0,72,0,0,0,-0.026043579385481696,-0.05295629820051414,-0.060356224752111644
