values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.01969641326967805,-0.0508018117272616,-0.06197208960705105
0,1,0,0,0,-0.019543395764475453,-0.05086301872934264,-0.06185579630309708
0,2,0,0,0,-0.019543395764475453,-0.05086301872934264,-0.06185579630309708
0,3,0,0,0,-0.019586240665932182,-0.05075896682580487,-0.0622169176153752
0,4,0,0,0,-0.019641326967805118,-0.05087526012975885,-0.06181907210184845
0,5,0,0,0,-0.019641326967805118,-0.05087526012975885,-0.06181907210184845
0,6,0,0,0,-0.01965968906842943,-0.05072224262455625,-0.06167829599706206
0,7,0,0,0,-0.019812706573632023,-0.05078957032684539,-0.06198433100746725
0,8,0,0,0,-0.019812706573632023,-0.05078957032684539,-0.06198433100746725
0,9,0,0,0,-0.019720896070510467,-0.05078957032684539,-0.061837434202472764
0,10,0,0,0,-0.019794344473007715,-0.050452931815399685,-0.06197208960705105
0,11,0,0,0,-0.019794344473007715,-0.050452931815399685,-0.06197208960705105
0,12,0,0,0,-0.019757620271759087,-0.0506365528216428,-0.062155710613294154
0,13,0,0,0,-0.01953727506426735,-0.050924225731423675,-0.06181907210184845
0,14,0,0,0,-0.01953727506426735,-0.050924225731423675,-0.0620455380095483
0,15,0,0,0,-0.01965968906842943,-0.050807932427469706,-0.0620455380095483
0,16,0,0,0,-0.019714775370302362,-0.05091810503121556,-0.06195984820663484
0,17,0,0,0,-0.01972701677071857,-0.050850777328926434,-0.061868037703513276
0,18,0,0,0,-0.01972701677071857,-0.050850777328926434,-0.061868037703513276
0,19,0,0,0,-0.019892275676337372,-0.05072836332476436,-0.06192312400538622
0,20,0,0,0,-0.019476068062186314,-0.05047129391602399,-0.06189864120455381
0,21,0,0,0,-0.019476068062186314,-0.05047129391602399,-0.06189864120455381
0,22,0,0,0,-0.019653568368221325,-0.05086301872934264,-0.06186191700330518
0,23,0,0,0,-0.01954951646468356,-0.05090586363079937,-0.06191700330517811
0,24,0,0,0,-0.01954951646468356,-0.05090586363079937,-0.06191700330517811
0,25,0,0,0,-0.019678051169053738,-0.05066103562247522,-0.0620455380095483
0,26,0,0,0,-0.019512792263434935,-0.05090586363079937,-0.06189864120455381
0,27,0,0,0,-0.019512792263434935,-0.05090586363079937,-0.06189864120455381
0,28,0,0,0,-0.019782103072591505,-0.05072836332476436,-0.0620455380095483
0,29,0,0,0,-0.019641326967805118,-0.05066103562247522,-0.061941486106010524
0,30,0,0,0,-0.019641326967805118,-0.05066103562247522,-0.061941486106010524
0,31,0,0,0,-0.019653568368221325,-0.05061207002081038,-0.06189864120455381
0,32,0,0,0,-0.01956175786509977,-0.05089362223038315,-0.06185579630309708
0,33,0,0,0,-0.01956175786509977,-0.05089362223038315,-0.06185579630309708
0,34,0,0,0,-0.01966580976863753,-0.050814053127677804,-0.062039417309340185
0,35,0,0,0,-0.019671930468845637,-0.05086301872934264,-0.061690537397478276
0,36,0,0,0,-0.019592361366140287,-0.0506426735218509,-0.06211898641204554
0,37,0,0,0,-0.019592361366140287,-0.0506426735218509,-0.06211898641204554
0,38,0,0,0,-0.01954951646468356,-0.050673277022891414,-0.0620577794099645
0,39,0,0,0,-0.019567878565307874,-0.050967070632880404,-0.06178234790059983
0,40,0,0,0,-0.019567878565307874,-0.050967070632880404,-0.06178234790059983
0,41,0,0,0,-0.01937201615864855,-0.05085689802913453,-0.061953727506426734
0,42,0,0,0,-0.01962908556738891,-0.05075284612559677,-0.06216795201371037
0,43,0,0,0,-0.01962908556738891,-0.05075284612559677,-0.06216795201371037
0,44,0,0,0,-0.01956175786509977,-0.05085689802913453,-0.0622169176153752
0,45,0,0,0,-0.0196107234667646,-0.05083241522830212,-0.06217407271391847
0,46,0,0,0,-0.0196107234667646,-0.05083241522830212,-0.06217407271391847
0,47,0,0,0,-0.019733137470926674,-0.05074060472518056,-0.061653813196229645
0,48,0,0,0,-0.019598482066348392,-0.050942587832047984,-0.062088382911005026
0,49,0,0,0,-0.019598482066348392,-0.050942587832047984,-0.062088382911005026
0,50,0,0,0,-0.01969029256946995,-0.050807932427469706,-0.06184355490268086
0,51,0,0,0,-0.0196107234667646,-0.050771208226221075,-0.06181907210184845
0,52,0,0,0,-0.01940261965968907,-0.05083853592851022,-0.0620577794099645
0,53,0,0,0,-0.019757620271759087,-0.05072836332476436,-0.062223038315583304
0,54,0,0,0,-0.019708654670094257,-0.05089974293059126,-0.062155710613294154
0,55,0,0,0,-0.019800465173215816,-0.050991553433712825,-0.062039417309340185
0,56,0,0,0,-0.01954951646468356,-0.05061207002081038,-0.061800710001224134
0,57,0,0,0,-0.019751499571550986,-0.05066103562247522,-0.06175786509976742
0,58,0,0,0,-0.01969029256946995,-0.05072224262455625,-0.06199045170767535
0,59,0,0,0,-0.01969641326967805,-0.05099767413392092,-0.0618925205043457
0,60,0,0,0,-0.01969641326967805,-0.05099767413392092,-0.0618925205043457
0,61,0,0,0,-0.01974537887134288,-0.05083241522830212,-0.06196596890684294
0,62,0,0,0,-0.019684171869261843,-0.050948708532256096,-0.06210674501162933
0,63,0,0,0,-0.019849430774880647,-0.05078344962663729,-0.06212510711225364
0,64,0,0,0,-0.01943322316072959,-0.05078957032684539,-0.06203329660913208
0,65,0,0,0,-0.01990451707675358,-0.050869139429550736,-0.06199657240788346
0,66,0,0,0,-0.019733137470926674,-0.05082629452809402,-0.06177010650018362
0,67,0,0,0,-0.01946994736197821,-0.05073448402497246,-0.06210674501162933
0,68,0,0,0,-0.019824947974048233,-0.05088750153017505,-0.061953727506426734
0,69,0,0,0,-0.019678051169053738,-0.05089974293059126,-0.06188639980413759
0,70,0,0,0,-0.019586240665932182,-0.050948708532256096,-0.0620455380095483
0,71,0,0,0,-0.019849430774880647,-0.05074672542538866,-0.06183131350226466
0,72,0,0,0,-0.019849430774880647,-0.05074672542538866,-0.06183131350226466
