values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.026404700697759825,-0.05219733137470926,-0.0561145795078957
0,1,0,0,0,-0.026055820785897903,-0.05210552087158771,-0.05601052760435794
0,2,0,0,0,-0.026055820785897903,-0.05210552087158771,-0.05601052760435794
0,3,0,0,0,-0.02601297588444118,-0.05198310686742563,-0.05591259640102828
0,4,0,0,0,-0.0258783204798629,-0.05198310686742563,-0.05582078589790672
0,5,0,0,0,-0.0258783204798629,-0.05198310686742563,-0.05582078589790672
0,6,0,0,0,-0.02609866568735463,-0.05218508997429307,-0.055839147998531034
0,7,0,0,0,-0.025945648182152038,-0.052191210674501165,-0.05573509609499326
0,8,0,0,0,-0.025945648182152038,-0.052191210674501165,-0.05573509609499326
0,9,0,0,0,-0.025970130982984452,-0.05187905496388787,-0.055937079201860695
0,10,0,0,0,-0.02623944179214102,-0.051836210062431144,-0.05577794099644999
0,11,0,0,0,-0.02623944179214102,-0.051836210062431144,-0.05577794099644999
0,12,0,0,0,-0.02642918349859224,-0.05188517566409597,-0.05583302729832292
0,13,0,0,0,-0.026129269188395154,-0.052093279471171504,-0.055967682702901214
0,14,0,0,0,-0.026129269188395154,-0.052093279471171504,-0.055967682702901214
0,15,0,0,0,-0.02634961439588689,-0.0517750030603501,-0.055753458195617576
0,16,0,0,0,-0.026092544987146533,-0.052331986779287555,-0.05575957889582568
0,17,0,0,0,-0.026092544987146533,-0.052331986779287555,-0.05575957889582568
0,18,0,0,0,-0.026074182886522218,-0.05195862406659322,-0.055698371893744644
0,19,0,0,0,-0.02625780389276533,-0.05201983106867426,-0.055937079201860695
0,20,0,0,0,-0.02625780389276533,-0.05203207246909046,-0.05574733749540948
0,21,0,0,0,-0.02617211408985188,-0.05203207246909046,-0.05574733749540948
0,22,0,0,0,-0.026202717590892398,-0.05203207246909046,-0.05601664830456604
0,23,0,0,0,-0.02612314848818705,-0.05203207246909046,-0.05577182029624189
0,24,0,0,0,-0.02612314848818705,-0.05203207246909046,-0.05577182029624189
0,25,0,0,0,-0.02614151058881136,-0.05206267597013098,-0.05598604480352552
0,26,0,0,0,-0.026325131595054473,-0.05228302117762272,-0.05609009670706329
0,27,0,0,0,-0.026325131595054473,-0.05228302117762272,-0.05609009670706329
0,28,0,0,0,-0.026245562492349123,-0.05198922756763373,-0.055698371893744644
0,29,0,0,0,-0.02615987268943567,-0.05183008936222304,-0.055722854694577065
0,30,0,0,0,-0.02615987268943567,-0.05183008936222304,-0.055722854694577065
0,31,0,0,0,-0.02615375198922757,-0.05187905496388787,-0.0559309585016526
0,32,0,0,0,-0.026221079691516706,-0.05190353776472029,-0.055943199902068794
0,33,0,0,0,-0.026221079691516706,-0.05190353776472029,-0.055943199902068794
0,34,0,0,0,-0.026006855184233076,-0.05183008936222304,-0.0559493206022769
0,35,0,0,0,-0.026196596890684293,-0.051934141265760805,-0.055698371893744644
0,36,0,0,0,-0.026196596890684293,-0.051934141265760805,-0.055698371893744644
0,37,0,0,0,-0.026312890194638266,-0.05206879667033909,-0.05603501040519036
0,38,0,0,0,-0.026214958991308608,-0.051866813563471656,-0.05609621740727139
0,39,0,0,0,-0.026214958991308608,-0.051866813563471656,-0.05609621740727139
0,40,0,0,0,-0.026270045293181537,-0.052160607173460646,-0.05570449259395275
0,41,0,0,0,-0.026147631289019462,-0.05190353776472029,-0.05571061329416085
0,42,0,0,0,-0.026147631289019462,-0.052111641571795805,-0.05600440690414984
0,43,0,0,0,-0.026025217284857387,-0.052111641571795805,-0.05600440690414984
0,44,0,0,0,-0.02609866568735463,-0.051909658464928385,-0.05585138939894724
0,45,0,0,0,-0.026135389888603255,-0.05201983106867426,-0.05538009548292324
0,46,0,0,0,-0.026135389888603255,-0.05201983106867426,-0.05538009548292324
0,47,0,0,0,-0.026245562492349123,-0.05218508997429307,-0.05602888970498225
0,48,0,0,0,-0.026129269188395154,-0.05238707308116049,-0.05582078589790672
0,49,0,0,0,-0.026129269188395154,-0.05238707308116049,-0.05582078589790672
0,50,0,0,0,-0.025755906475700818,-0.05218508997429307,-0.05591871710123638
0,51,0,0,0,-0.026214958991308608,-0.05185457216305546,-0.05577794099644999
0,52,0,0,0,-0.026092544987146533,-0.05201371036846615,-0.05590647570082017
0,53,0,0,0,-0.026080303586730323,-0.05228302117762272,-0.055839147998531034
0,54,0,0,0,-0.026202717590892398,-0.0522462969763741,-0.05574121679520137
0,55,0,0,0,-0.026068062186314116,-0.05204431386950668,-0.055937079201860695
0,56,0,0,0,-0.026214958991308608,-0.05201371036846615,-0.0559309585016526
0,57,0,0,0,-0.026337372995470683,-0.05207491737054719,-0.05591259640102828
0,58,0,0,0,-0.02623944179214102,-0.05207491737054719,-0.0559309585016526
0,59,0,0,0,-0.026221079691516706,-0.05205655526992288,-0.05552087158770963
0,60,0,0,0,-0.026092544987146533,-0.052093279471171504,-0.05587587219977965
0,61,0,0,0,-0.02625780389276533,-0.05191577916513649,-0.0556310441914555
0,62,0,0,0,-0.02625780389276533,-0.05218508997429307,-0.05567388909291223
0,63,0,0,0,-0.026282286693597744,-0.05218508997429307,-0.05567388909291223
0,64,0,0,0,-0.02615375198922757,-0.05206879667033909,-0.0559309585016526
0,65,0,0,0,-0.02625780389276533,-0.052154486473252534,-0.05589423430040397
0,66,0,0,0,-0.026196596890684293,-0.05208715877096339,-0.05601052760435794
0,67,0,0,0,-0.026074182886522218,-0.05189741706451219,-0.055722854694577065
0,68,0,0,0,-0.026221079691516706,-0.0519218998653446,-0.05603501040519036
0,69,0,0,0,-0.026092544987146533,-0.052178969274084955,-0.05588811360019587
0,70,0,0,0,-0.02619047619047619,-0.051866813563471656,-0.05570449259395275
0,71,0,0,0,-0.026319010894846374,-0.051909658464928385,-0.05581466519769862
0,72,0,0,0,-0.026233321091932917,-0.05218508997429307,-0.05571061329416085
