values,position,position,position,position,position,position,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnet,Magnet,Magnet
axis,x,x,y,y,z,z,x,x,y,y,z,z,x,y,z
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,position,position,position
Sensor,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019220712449504174,0.00013675259762449562,-0.048432917125719135,0.00012469407595673668,-0.05809052515607781,0.00014784701279116819,-1.5,0.0,3.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.012832415228302071,0.0001123167229337478,-0.00021771330640221433,0.00015278673535273636,-0.0003775247888357896,0.00013335041344692897,-1.5,0.0,3.0
2,0.0,0.0,35.0,0.0,0.0,0.0,0.013900599828620346,0.00013391619372007764,0.001693230505569783,0.00013159547143458937,-0.15245880768759942,0.00014321873065354022,-1.5,0.0,3.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.03468105031215567,0.00012733438562954178,0.010986473252540041,0.00013667059645915808,-0.03893438609376908,0.00014671250163909855,-1.5,0.0,3.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018290304810870312,9.615640510706487e-05,-0.045743542661280404,0.00014195573432821182,-0.057435120577794055,0.00016570225060698739,-2.5,1.0,4.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.011869873913575664,0.00010909743712985017,0.000994552576814742,0.00017544819962501024,-0.00049002325866074,0.00013396179358128726,-2.5,1.0,4.0
2,0.0,0.0,35.0,0.0,0.0,0.0,0.018994430162810574,0.00011642077308687308,-0.002527910392948904,0.0001260434243929327,-0.138589913086057,0.00014428302134417698,-2.5,1.0,4.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.031198127065736273,0.00011145785589574775,0.010427469702533911,0.00012083193562651937,-0.037553800954829186,0.0001440101053424598,-2.5,1.0,4.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023125107112253594,0.00011169527905805133,-0.05643518178479614,0.0001429402352504052,-0.06319127188150321,0.00013635525372206653,1.5,-4.0,2.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.016872934263679723,0.00011648837798851038,-0.004082568245807273,0.0001517535100620177,-0.0015691027053494511,0.00015819500056399368,1.5,-4.0,2.0
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.00734692128779527,0.00011318898254342261,0.029545170767535753,0.0001458681795064526,-0.16756236993512055,0.00013360369662919667,1.5,-4.0,2.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.04291424899008442,0.00013390029792601196,0.01579342636797644,0.00013905206092341922,-0.04536167217529681,0.00013546427704136114,1.5,-4.0,2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025052454400783408,9.345578966993447e-05,-0.04580474966336144,0.00011747074376899501,-0.05712859591137221,0.0001409092483671245,5.0,0.5,3.5
1,35.0,0.0,0.0,0.0,0.0,0.0,0.013224323662626953,9.687484374411483e-05,-0.00429171257191818,0.00017425330650328608,-0.0018414126576079852,0.00012315482480534202,5.0,0.5,3.5
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.025479005998286154,0.0001315224113167455,9.05251560778424e-05,0.00016679237325851036,-0.136792324641939,0.00013079111340671263,5.0,0.5,3.5
3,35.0,0.0,35.0,0.0,0.0,0.0,0.04463893989472391,0.00012246003986423834,0.008433161953727454,0.00012863533709931192,-0.0532232219365895,0.00018877876777766928,5.0,0.5,3.5
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02300636552821638,0.00012919272494236987,-0.04192312400538617,0.00012071437566434869,-0.05321030725915041,0.00014892941591047098,3.5,4.5,2.5
1,35.0,0.0,0.0,0.0,0.0,0.0,0.010580181172726102,0.00011681146545159616,-0.001646774390990276,0.0001639343726281083,2.362590280327961e-05,0.00010842774826140058,3.5,4.5,2.5
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.018076753580609575,0.00014182131854096605,-0.02584141265760798,0.00015076521681885635,-0.13727065736320232,0.00013984451457057137,3.5,4.5,2.5
3,35.0,0.0,35.0,0.0,0.0,0.0,0.041904027420736886,0.00012211713025709437,0.002921104174317495,0.0001370574597311957,-0.046494736197820984,0.00014872395725409136,3.5,4.5,2.5
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025264230627983792,0.00010476790408162792,-0.045765699596033736,0.0001509196129172457,-0.05960025706940869,0.00014658863060815314,5.0,-1.0,5.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.013905312767780587,0.00012194439066772581,-0.004435916268821106,0.00015276782423101742,-0.003233382298934945,0.000111713826339895,5.0,-1.0,5.0
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.021195372750642632,0.00013924635435771482,0.009779899620516537,0.0001593822755592603,-0.12571606071734603,0.00015842680192893139,5.0,-1.0,5.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.041007161219243436,0.00012510587755728625,0.01128418411066221,0.00014069112317214945,-0.05374256334924711,0.0001716585198903138,5.0,-1.0,5.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023005631044191413,0.00010940819607936822,-0.05109272860815272,0.00011775476468770455,-0.05848892153262329,0.0001498721023271987,2.0,-1.0,2.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.014421165381319568,0.00012110763673852384,-0.003396927408495487,0.00012429296679906314,-0.000701677071856966,0.0001477585941552284,2.0,-1.0,2.0
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.011155833027298272,0.00012326890620779,0.007518912963642992,0.00015044074467274472,-0.1643087893254988,0.00013156192346951834,2.0,-1.0,2.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.043600318276410775,0.00013029404559187992,0.011328497980168883,0.00015045848954810777,-0.04580064879422201,0.000137293927535844,2.0,-1.0,2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02576043579385477,0.00013307981574972616,-0.051059309585016484,0.00011583605329975023,-0.05878675480474962,0.00017168885054088867,4.5,-1.5,2.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.015273166850287625,0.00011644794324372798,-0.005606438976618876,0.00014908300997294724,-0.001574121679520081,0.0001462083647293219,4.5,-1.5,2.0
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.02835469457705957,0.00010307849410531742,0.011228914187783028,0.00013526435532516768,-0.15827739013343123,0.000208139299018675,4.5,-1.5,2.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.04893114212265878,0.00012884978889963567,0.011686803770351282,0.00013463824697702148,-0.05281613416574851,0.00014857071790246168,4.5,-1.5,2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01697704737421957,0.00010724613646433565,-0.0585492716366752,0.00012498242201785872,-0.0652984453421471,0.00016864278547514683,-3.0,-5.0,2.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.016240359897172194,0.00010250154101393652,-0.000687599461378332,0.00014203578990065814,-0.000606316562614709,0.00013587185801948218,-3.0,-5.0,2.0
2,0.0,0.0,35.0,0.0,0.0,0.0,0.0259779042722487,0.00010160598842920463,0.03689680499449133,0.00013516590037108877,-0.16672989349981635,0.00016622138967786743,-3.0,-5.0,2.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.0339550128534704,0.00010247155931928382,0.016447545599216504,0.00015608179510158193,-0.03666580976863748,0.00013445409720621025,-3.0,-5.0,2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019081221691761484,0.00011285844210672465,-0.05280591259640098,0.00011585891868107296,-0.05594876973925813,0.00016504717877903537,-1.5,0.0,0.0
1,35.0,0.0,0.0,0.0,0.0,0.0,0.01352809401395514,0.00013093837022306663,-0.0007085934630921301,0.0001611722287773686,0.0013057289753947371,0.0001582991051688634,-1.5,0.0,0.0
