values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,-0.0718815032439711,-0.04585628595911372,-0.09502999143101971,0.0,0.0,0.0
0,1,-0.0718815032439711,-0.04585628595911372,-0.09502999143101971,0.0,0.0,0.0
0,2,-0.07180805484147387,-0.046150079569102706,-0.09525645733871954,0.0,0.0,0.0
0,3,-0.07161219243481455,-0.0459725792630677,-0.09512180193414127,0.0,0.0,0.0
0,4,-0.07161219243481455,-0.0459725792630677,-0.09512180193414127,0.0,0.0,0.0
0,5,-0.07191210674501163,-0.04602766556494063,-0.09479128412290366,0.0,0.0,0.0
0,6,-0.07181417554168197,-0.04608887256702167,-0.0951768882360142,0.0,0.0,0.0
0,7,-0.07181417554168197,-0.04608887256702167,-0.0951768882360142,0.0,0.0,0.0
0,8,-0.0718508997429306,-0.046180683070143225,-0.09488309462602522,0.0,0.0,0.0
0,9,-0.07191210674501163,-0.046137838168686496,-0.09515240543518179,0.0,0.0,0.0
0,10,-0.07166115803647938,-0.04588688946015424,-0.09483412902436039,0.0,0.0,0.0
0,11,-0.07166115803647938,-0.04588688946015424,-0.09483412902436039,0.0,0.0,0.0
0,12,-0.07180805484147387,-0.04622964867180805,-0.09427102460521483,0.0,0.0,0.0
0,13,-0.07201615864854939,-0.04611947606806219,-0.09494430162810626,0.0,0.0,0.0
0,14,-0.07201615864854939,-0.04611947606806219,-0.09494430162810626,0.0,0.0,0.0
0,15,-0.0718570204431387,-0.0459725792630677,-0.09493818092789816,0.0,0.0,0.0
0,16,-0.07164891663606317,-0.0459725792630677,-0.09479128412290366,0.0,0.0,0.0
0,17,-0.07175908923980903,-0.04608887256702167,-0.09527481943934386,0.0,0.0,0.0
0,18,-0.07175908923980903,-0.04593585506181907,-0.09501162933039539,0.0,0.0,0.0
0,19,-0.0720100379483413,-0.046168441669727014,-0.09507283633247644,0.0,0.0,0.0
0,20,-0.07212021055208716,-0.04600318276410821,-0.09513404333455747,0.0,0.0,0.0
0,21,-0.07164279593585507,-0.04599094136369201,-0.09515852613538989,0.0,0.0,0.0
0,22,-0.0718692618435549,-0.0459725792630677,-0.09540947484392215,0.0,0.0,0.0
0,23,-0.07180193414126576,-0.04588688946015424,-0.0950055086301873,0.0,0.0,0.0
0,24,-0.07164891663606317,-0.046082751866813564,-0.09529318153996817,0.0,0.0,0.0
0,25,-0.0715448647325254,-0.04599706206390011,-0.09468111151915778,0.0,0.0,0.0
0,26,-0.07140408862773902,-0.04600930346431632,-0.09496266372873056,0.0,0.0,0.0
0,27,-0.07177745134043334,-0.045807320357448895,-0.09489533602644143,0.0,0.0,0.0
0,28,-0.07189986534459543,-0.045807320357448895,-0.09506059493206023,0.0,0.0,0.0
0,29,-0.07157546823356592,-0.04588688946015424,-0.09504223283143591,0.0,0.0,0.0
0,30,-0.07157546823356592,-0.04588688946015424,-0.09504223283143591,0.0,0.0,0.0
0,31,-0.07209572775125475,-0.04624801077243237,-0.09493206022769005,0.0,0.0,0.0
0,32,-0.07190598604480353,-0.046052148365773045,-0.09512180193414127,0.0,0.0,0.0
0,33,-0.0715509854327335,-0.046039906965356835,-0.09523809523809523,0.0,0.0,0.0
0,34,-0.0718631411433468,-0.045813441057656994,-0.09509731913330885,0.0,0.0,0.0
0,35,-0.07173460643897663,-0.04587464805973803,-0.09523197453788713,0.0,0.0,0.0
0,36,-0.0717101236381442,-0.0461317174684784,-0.09496878442893866,0.0,0.0,0.0
0,37,-0.07167339943689557,-0.04583792385848941,-0.09474843922144693,0.0,0.0,0.0
0,38,-0.0716856408373118,-0.04625413147264047,-0.0951891296364304,0.0,0.0,0.0
0,39,-0.07177133064022524,-0.04618680377035132,-0.09498714652956299,0.0,0.0,0.0
0,40,-0.07165503733627127,-0.04618680377035132,-0.09496266372873056,0.0,0.0,0.0
0,41,-0.07190598604480353,-0.04593585506181907,-0.09507283633247644,0.0,0.0,0.0
0,42,-0.07175908923980903,-0.04594809646223528,-0.09510956053372506,0.0,0.0,0.0
0,43,-0.07204064144938181,-0.0459848206634839,-0.09488921532623332,0.0,0.0,0.0
0,44,-0.0718631411433468,-0.04596033786265148,-0.09507283633247644,0.0,0.0,0.0
0,45,-0.07183865834251438,-0.04607663116660546,-0.0950177500306035,0.0,0.0,0.0
0,46,-0.07195495164646835,-0.04629085567388909,-0.09498714652956299,0.0,0.0,0.0
0,47,-0.07166115803647938,-0.04583180315828131,-0.09502387073081162,0.0,0.0,0.0
0,48,-0.07196719304688456,-0.04586852735952993,-0.09504835353164402,0.0,0.0,0.0
0,49,-0.07196719304688456,-0.04586852735952993,-0.09504835353164402,0.0,0.0,0.0
0,50,-0.0718570204431387,-0.04618680377035132,-0.09510956053372506,0.0,0.0,0.0
0,51,-0.07156322683314971,-0.046021544864732526,-0.09521973313747092,0.0,0.0,0.0
0,52,-0.07140408862773902,-0.046278614273472886,-0.09523197453788713,0.0,0.0,0.0
0,53,-0.0718508997429306,-0.04592973436161097,-0.09516464683559799,0.0,0.0,0.0
0,54,-0.07150814053127677,-0.045923613661402865,-0.09505447423185212,0.0,0.0,0.0
0,55,-0.07167952013710369,-0.045941975762027173,-0.09526257803892765,0.0,0.0,0.0
0,56,-0.07176520994001714,-0.045923613661402865,-0.09498714652956299,0.0,0.0,0.0
0,57,-0.07172236503856042,-0.045941975762027173,-0.09520749173705471,0.0,0.0,0.0
0,58,-0.0716917615375199,-0.04602766556494063,-0.09473619782103072,0.0,0.0,0.0
0,59,-0.0717101236381442,-0.046180683070143225,-0.09496878442893866,0.0,0.0,0.0
0,60,-0.07172236503856042,-0.04593585506181907,-0.09502387073081162,0.0,0.0,0.0
0,61,-0.07172236503856042,-0.045795078957032685,-0.09493818092789816,0.0,0.0,0.0
0,62,-0.07178969274084955,-0.045795078957032685,-0.09493818092789816,0.0,0.0,0.0
