values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,-0.0514567266495287,-0.049155343371281676,-0.07414616232096952,0.0,0.0,0.0
0,1,-0.05163422695556371,-0.049283878075651856,-0.07422573142367486,0.0,0.0,0.0
0,2,-0.05163422695556371,-0.049283878075651856,-0.07422573142367486,0.0,0.0,0.0
0,3,-0.0516036234545232,-0.04917982617211409,-0.07451952503366385,0.0,0.0,0.0
0,4,-0.05168319255722855,-0.04933284367731668,-0.07448280083241524,0.0,0.0,0.0
0,5,-0.05168319255722855,-0.04919206757253029,-0.07398702411555882,0.0,0.0,0.0
0,6,-0.05148733015056922,-0.04919206757253029,-0.07398702411555882,0.0,0.0,0.0
0,7,-0.05146896804994492,-0.04938180927898152,-0.0744460766311666,0.0,0.0,0.0
0,8,-0.051493450850777334,-0.0493573264781491,-0.07438486962908557,0.0,0.0,0.0
0,9,-0.051493450850777334,-0.0493573264781491,-0.07438486962908557,0.0,0.0,0.0
0,10,-0.05174439955930958,-0.049283878075651856,-0.07419512792263436,0.0,0.0,0.0
0,11,-0.051664830456604235,-0.049283878075651856,-0.0745990941363692,0.0,0.0,0.0
0,12,-0.051664830456604235,-0.049283878075651856,-0.0745990941363692,0.0,0.0,0.0
0,13,-0.051450605949320605,-0.04927775737544375,-0.07431142122658832,0.0,0.0,0.0
0,14,-0.05146284734973681,-0.04922267107357082,-0.07415228302117763,0.0,0.0,0.0
0,15,-0.05146284734973681,-0.04922267107357082,-0.07415228302117763,0.0,0.0,0.0
0,16,-0.05153629575223405,-0.04933284367731668,-0.07432978332721263,0.0,0.0,0.0
0,17,-0.05153629575223405,-0.049130860570449256,-0.07392581711347777,0.0,0.0,0.0
0,18,-0.05153629575223405,-0.0492043089729465,-0.07432978332721263,0.0,0.0,0.0
0,19,-0.05136491614640715,-0.0492043089729465,-0.07432978332721263,0.0,0.0,0.0
0,20,-0.05142000244828008,-0.04927775737544375,-0.07434202472762884,0.0,0.0,0.0
0,21,-0.051554657852858364,-0.04909413636920064,-0.07435426612804505,0.0,0.0,0.0
0,22,-0.051554657852858364,-0.04909413636920064,-0.07435426612804505,0.0,0.0,0.0
0,23,-0.051493450850777334,-0.049155343371281676,-0.07453176643408006,0.0,0.0,0.0
0,24,-0.051554657852858364,-0.049351205777941,-0.07450728363324764,0.0,0.0,0.0
0,25,-0.051554657852858364,-0.049351205777941,-0.07450728363324764,0.0,0.0,0.0
0,26,-0.05144448524911251,-0.04925327457461133,-0.07450116293303954,0.0,0.0,0.0
0,27,-0.05154241645244216,-0.049424654180438246,-0.07448892153262333,0.0,0.0,0.0
0,28,-0.05154241645244216,-0.049424654180438246,-0.07448892153262333,0.0,0.0,0.0
0,29,-0.0517566409597258,-0.04947974048231117,-0.0741094381197209,0.0,0.0,0.0
0,30,-0.051413881748071974,-0.04911249846982495,-0.07434814542783694,0.0,0.0,0.0
0,31,-0.051413881748071974,-0.04911249846982495,-0.07434814542783694,0.0,0.0,0.0
0,32,-0.05123026074182887,-0.0492043089729465,-0.07422573142367486,0.0,0.0,0.0
0,33,-0.051707675358060964,-0.04916146407148978,-0.07458685273595299,0.0,0.0,0.0
0,34,-0.051707675358060964,-0.04916146407148978,-0.07458685273595299,0.0,0.0,0.0
0,35,-0.051352674745990944,-0.04916146407148978,-0.07403598971722365,0.0,0.0,0.0
0,36,-0.05137715754682336,-0.04919206757253029,-0.07423185212388297,0.0,0.0,0.0
0,37,-0.05137715754682336,-0.04919206757253029,-0.07423185212388297,0.0,0.0,0.0
0,38,-0.051554657852858364,-0.04924103317419513,-0.07430530052638021,0.0,0.0,0.0
0,39,-0.051664830456604235,-0.04947974048231117,-0.07416452442159382,0.0,0.0,0.0
0,40,-0.05148733015056922,-0.049424654180438246,-0.07434202472762884,0.0,0.0,0.0
0,41,-0.05148733015056922,-0.049424654180438246,-0.07434202472762884,0.0,0.0,0.0
0,42,-0.05151793365160975,-0.04911249846982495,-0.07448892153262333,0.0,0.0,0.0
0,43,-0.05147508875015302,-0.04944913698127066,-0.07431754192679643,0.0,0.0,0.0
0,44,-0.05147508875015302,-0.04944913698127066,-0.07431754192679643,0.0,0.0,0.0
0,45,-0.05153629575223405,-0.04954706818460032,-0.07430530052638021,0.0,0.0,0.0
0,46,-0.0514567266495287,-0.04962051658709756,-0.07437262822866936,0.0,0.0,0.0
0,47,-0.0514567266495287,-0.04962051658709756,-0.07437262822866936,0.0,0.0,0.0
0,48,-0.05143224384869629,-0.04926551597502754,-0.07393805851389398,0.0,0.0,0.0
0,49,-0.05157301995348268,-0.04922879177377892,-0.07409719671930469,0.0,0.0,0.0
0,50,-0.05157301995348268,-0.04922879177377892,-0.07409719671930469,0.0,0.0,0.0
0,51,-0.05152405435181785,-0.04930836087648427,-0.07446443873179091,0.0,0.0,0.0
0,52,-0.0514567266495287,-0.04937568857877341,-0.07423185212388297,0.0,0.0,0.0
0,53,-0.0514567266495287,-0.04937568857877341,-0.07423185212388297,0.0,0.0,0.0
0,54,-0.05133431264536663,-0.049351205777941,-0.07410331741951279,0.0,0.0,0.0
0,55,-0.05156077855306647,-0.04922267107357082,-0.07417676582201004,0.0,0.0,0.0
0,56,-0.05156077855306647,-0.04922267107357082,-0.07417676582201004,0.0,0.0,0.0
0,57,-0.05159750275431509,-0.04932060227690048,-0.07428693842575591,0.0,0.0,0.0
0,58,-0.051793365160974415,-0.04926551597502754,-0.074115558819929,0.0,0.0,0.0
0,59,-0.051793365160974415,-0.04926551597502754,-0.074115558819929,0.0,0.0,0.0
0,60,-0.051591382054106995,-0.04946749908189497,-0.0741339209205533,0.0,0.0,0.0
0,61,-0.05156689925327458,-0.049198188272738405,-0.0744338352307504,0.0,0.0,0.0
0,62,-0.051236381442036974,-0.04912473987024116,-0.07414616232096952,0.0,0.0,0.0
0,63,-0.051236381442036974,-0.04912473987024116,-0.07414616232096952,0.0,0.0,0.0
