values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,-0.060992777573754445,-0.039796792753090955,-0.07087770840984209,0.0,0.0,0.0
0,1,-0.060992777573754445,-0.039796792753090955,-0.07087770840984209,0.0,0.0,0.0
0,2,-0.060711225364181665,-0.039882482556004406,-0.07096339821275553,0.0,0.0,0.0
0,3,-0.06097441547313013,-0.03994368955808544,-0.07131839882482556,0.0,0.0,0.0
0,4,-0.06097441547313013,-0.03994368955808544,-0.07131839882482556,0.0,0.0,0.0
0,5,-0.060956053372505814,-0.039839637654547684,-0.07098788101358795,0.0,0.0,0.0
0,6,-0.060680621863141146,-0.03974782715142612,-0.07114701921899866,0.0,0.0,0.0
0,7,-0.060680621863141146,-0.03974782715142612,-0.07120210552087158,0.0,0.0,0.0
0,8,-0.06083976006855184,-0.040035500061207,-0.07120210552087158,0.0,0.0,0.0
0,9,-0.060680621863141146,-0.04004774146162321,-0.07109805361733382,0.0,0.0,0.0
0,10,-0.0609376912718815,-0.03985187905496389,-0.07130003672420124,0.0,0.0,0.0
0,11,-0.0609376912718815,-0.03985187905496389,-0.07130003672420124,0.0,0.0,0.0
0,12,-0.0609193291712572,-0.03984575835475578,-0.07104296731546089,0.0,0.0,0.0
0,13,-0.06085812216917615,-0.039643775247888355,-0.07128779532378504,0.0,0.0,0.0
0,14,-0.06085812216917615,-0.039643775247888355,-0.07128779532378504,0.0,0.0,0.0
0,15,-0.06073570816501408,-0.03996817235891786,-0.07122046762149589,0.0,0.0,0.0
0,16,-0.06076019096584649,-0.03999265515975027,-0.07128167462357694,0.0,0.0,0.0
0,17,-0.06076019096584649,-0.03999265515975027,-0.07128167462357694,0.0,0.0,0.0
0,18,-0.06080303586730322,-0.03994981025829355,-0.07101236381442036,0.0,0.0,0.0
0,19,-0.06079079446688701,-0.03990696535683682,-0.07114089851879055,0.0,0.0,0.0
0,20,-0.06079079446688701,-0.03990696535683682,-0.07114089851879055,0.0,0.0,0.0
0,21,-0.06072958746480598,-0.039796792753090955,-0.07129391602399314,0.0,0.0,0.0
0,22,-0.06079691516709511,-0.04014567266495287,-0.07131839882482556,0.0,0.0,0.0
0,23,-0.06079691516709511,-0.04014567266495287,-0.07131839882482556,0.0,0.0,0.0
0,24,-0.0609315705716734,-0.03977230995225854,-0.07101848451462847,0.0,0.0,0.0
0,25,-0.06083363936834374,-0.04007222426245562,-0.07125107112253641,0.0,0.0,0.0
0,26,-0.06083363936834374,-0.04007222426245562,-0.07125107112253641,0.0,0.0,0.0
0,27,-0.06082751866813564,-0.03998653445954217,-0.07125107112253641,0.0,0.0,0.0
0,28,-0.060913208471049085,-0.03993144815766923,-0.0712143469212878,0.0,0.0,0.0
0,29,-0.060913208471049085,-0.03993144815766923,-0.0712143469212878,0.0,0.0,0.0
0,30,-0.06083976006855184,-0.03977843065246664,-0.07088382911005019,0.0,0.0,0.0
0,31,-0.06082751866813564,-0.03994981025829355,-0.07093891541192313,0.0,0.0,0.0
0,32,-0.06083363936834374,-0.039882482556004406,-0.07147141633002815,0.0,0.0,0.0
0,33,-0.06083363936834374,-0.039882482556004406,-0.07147141633002815,0.0,0.0,0.0
0,34,-0.06074794956543028,-0.04001713796058269,-0.07132451952503366,0.0,0.0,0.0
0,35,-0.06113355367854082,-0.03990696535683682,-0.07117150201983106,0.0,0.0,0.0
0,36,-0.06113355367854082,-0.03990696535683682,-0.07117150201983106,0.0,0.0,0.0
0,37,-0.06083976006855184,-0.03997429305912596,-0.07110417431754193,0.0,0.0,0.0
0,38,-0.060656139062308725,-0.03983351695433958,-0.07106745011629331,0.0,0.0,0.0
0,39,-0.060656139062308725,-0.03983351695433958,-0.07106745011629331,0.0,0.0,0.0
0,40,-0.06077855306647081,-0.039784551352674745,-0.07119598482066349,0.0,0.0,0.0
0,41,-0.06079691516709511,-0.039784551352674745,-0.07128167462357694,0.0,0.0,0.0
0,42,-0.06079691516709511,-0.039784551352674745,-0.07128167462357694,0.0,0.0,0.0
0,43,-0.060631656261476305,-0.03991920675725303,-0.07107357081650141,0.0,0.0,0.0
0,44,-0.06097441547313013,-0.03982127555392337,-0.07096951891296364,0.0,0.0,0.0
0,45,-0.06097441547313013,-0.03982127555392337,-0.07096951891296364,0.0,0.0,0.0
0,46,-0.06080303586730322,-0.040139551964744766,-0.07123270902191212,0.0,0.0,0.0
0,47,-0.06083976006855184,-0.04005998286203942,-0.07097563961317174,0.0,0.0,0.0
0,48,-0.06083976006855184,-0.04005998286203942,-0.07097563961317174,0.0,0.0,0.0
0,49,-0.06089484637042477,-0.039625413147264046,-0.07111641571795814,0.0,0.0,0.0
0,50,-0.060852001468968055,-0.039870241155588196,-0.07111641571795814,0.0,0.0,0.0
0,51,-0.061096829477292204,-0.03996205165870976,-0.07093891541192313,0.0,0.0,0.0
0,52,-0.061096829477292204,-0.03996205165870976,-0.07093891541192313,0.0,0.0,0.0
0,53,-0.06071734606438976,-0.04007222426245562,-0.07053494919818827,0.0,0.0,0.0
0,54,-0.06106010527604357,-0.040023258660790796,-0.07110417431754193,0.0,0.0,0.0
0,55,-0.06106010527604357,-0.040023258660790796,-0.07110417431754193,0.0,0.0,0.0
0,56,-0.060809156567511326,-0.04001713796058269,-0.07104296731546089,0.0,0.0,0.0
0,57,-0.0609315705716734,-0.039711102950177504,-0.07106745011629331,0.0,0.0,0.0
0,58,-0.0609315705716734,-0.039711102950177504,-0.07106745011629331,0.0,0.0,0.0
0,59,-0.06089484637042477,-0.03998653445954217,-0.07112865711837434,0.0,0.0,0.0
0,60,-0.06085812216917615,-0.03985187905496389,-0.07127555392336883,0.0,0.0,0.0
0,61,-0.06085812216917615,-0.03985187905496389,-0.07127555392336883,0.0,0.0,0.0
0,62,-0.06088872567021667,-0.03997429305912596,-0.07117150201983106,0.0,0.0,0.0
