values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.006769494430162811,-0.005037336271269433,-0.10573509609499328
0,1,0,0,0,-0.006708287428081773,-0.005282164279593585,-0.10577182029624188
0,2,0,0,0,-0.006708287428081773,-0.005282164279593585,-0.10577182029624188
0,3,0,0,0,-0.006475700820173828,-0.004982249969396499,-0.10568000979312034
0,4,0,0,0,-0.006757253029746603,-0.005092422573142368,-0.10560656139062308
0,5,0,0,0,-0.006757253029746603,-0.005092422573142368,-0.10560656139062308
0,6,0,0,0,-0.006793977230995225,-0.005067939772309953,-0.10563716489166361
0,7,0,0,0,-0.006604235524544008,-0.005135267474599094,-0.10557595788958256
0,8,0,0,0,-0.006604235524544008,-0.005135267474599094,-0.10557595788958256
0,9,0,0,0,-0.00672052882849798,-0.004963887868772188,-0.10539845758354756
0,10,0,0,0,-0.006696046027665566,-0.005074060472518056,-0.10559431999020688
0,11,0,0,0,-0.006696046027665566,-0.005074060472518056,-0.10559431999020688
0,12,0,0,0,-0.006665442526625045,-0.005018974170645122,-0.10572285469457705
0,13,0,0,0,-0.006873546333700575,-0.0049332843677316685,-0.1056310441914555
0,14,0,0,0,-0.006873546333700575,-0.0049332843677316685,-0.1056310441914555
0,15,0,0,0,-0.006855184233076264,-0.005282164279593585,-0.10575957889582568
0,16,0,0,0,-0.006738890929122292,-0.005018974170645122,-0.10556983718937447
0,17,0,0,0,-0.006738890929122292,-0.005018974170645122,-0.10556983718937447
0,18,0,0,0,-0.006787856530787122,-0.005110784673766679,-0.10541681968417187
0,19,0,0,0,-0.006965356836822133,-0.005086301872934264,-0.1053127677806341
0,20,0,0,0,-0.006604235524544008,-0.005190353776472029,-0.10549638878687721
0,21,0,0,0,-0.006604235524544008,-0.005190353776472029,-0.10549638878687721
0,22,0,0,0,-0.006579752723711594,-0.0049332843677316685,-0.10548414738646102
0,23,0,0,0,-0.006702166727873669,-0.005074060472518056,-0.10563716489166361
0,24,0,0,0,-0.006702166727873669,-0.005074060472518056,-0.10563716489166361
0,25,0,0,0,-0.006647080426000734,-0.005367854082507039,-0.10548414738646102
0,26,0,0,0,-0.006885787734116783,-0.005282164279593585,-0.10533112988125841
0,27,0,0,0,-0.006885787734116783,-0.005282164279593585,-0.10533112988125841
0,28,0,0,0,-0.006904149834741094,-0.005147508875015302,-0.10564328559187171
0,29,0,0,0,-0.006879667033908679,-0.005227077977720651,-0.1054719059860448
0,30,0,0,0,-0.006879667033908679,-0.005227077977720651,-0.1054719059860448
0,31,0,0,0,-0.006855184233076264,-0.005343371281674623,-0.1054657852858367
0,32,0,0,0,-0.006861304933284368,-0.005055698371893744,-0.10524544007834495
0,33,0,0,0,-0.006861304933284368,-0.005055698371893744,-0.10524544007834495
0,34,0,0,0,-0.006714408128289877,-0.005269922879177378,-0.10561268209083119
0,35,0,0,0,-0.006757253029746603,-0.00500061207002081,-0.10553311298812584
0,36,0,0,0,-0.006757253029746603,-0.00500061207002081,-0.10553311298812584
0,37,0,0,0,-0.006616476924960216,-0.004939405067939772,-0.10538621618313135
0,38,0,0,0,-0.00667156322683315,-0.004970008568980291,-0.10566776839270413
0,39,0,0,0,-0.006665442526625045,-0.005220957277512548,-0.10533725058146652
0,40,0,0,0,-0.006665442526625045,-0.005220957277512548,-0.10533725058146652
0,41,0,0,0,-0.006867425633492472,-0.004976129269188395,-0.10571061329416084
0,42,0,0,0,-0.006793977230995225,-0.0048965601664830456,-0.10569225119353653
0,43,0,0,0,-0.006793977230995225,-0.0048965601664830456,-0.10569225119353653
0,44,0,0,0,-0.006775615130370914,-0.005373974782715143,-0.10563716489166361
0,45,0,0,0,-0.006769494430162811,-0.005055698371893744,-0.10597380340310932
0,46,0,0,0,-0.006769494430162811,-0.005055698371893744,-0.10597380340310932
0,47,0,0,0,-0.0067266495287060845,-0.004890439466274942,-0.10568613049332845
0,48,0,0,0,-0.006824580732035746,-0.004835353164402008,-0.10555147508875015
0,49,0,0,0,-0.006824580732035746,-0.004835353164402008,-0.10555147508875015
0,50,0,0,0,-0.006689925327457461,-0.005129146774390991,-0.10559431999020688
0,51,0,0,0,-0.006806218631411433,-0.005165870975639613,-0.10562492349124739
0,52,0,0,0,-0.006806218631411433,-0.005165870975639613,-0.10562492349124739
0,53,0,0,0,-0.006677683927041253,-0.004884318766066838,-0.10544742318521239
0,54,0,0,0,-0.006665442526625045,-0.005098543273350471,-0.10580242379728241
0,55,0,0,0,-0.006665442526625045,-0.005098543273350471,-0.10580242379728241
0,56,0,0,0,-0.006824580732035746,-0.005263802178969274,-0.10549026808666913
0,57,0,0,0,-0.006732770228914188,-0.00508018117272616,-0.10556371648916636
0,58,0,0,0,-0.006732770228914188,-0.00508018117272616,-0.10556371648916636
0,59,0,0,0,-0.006934753335781614,-0.005037336271269433,-0.10533725058146652
0,60,0,0,0,-0.006702166727873669,-0.005067939772309953,-0.10534337128167462
0,61,0,0,0,-0.006689925327457461,-0.004939405067939772,-0.10549638878687721
0,62,0,0,0,-0.006689925327457461,-0.004939405067939772,-0.10549638878687721
0,63,0,0,0,-0.006616476924960216,-0.0051413881748071984,-0.10563716489166361
0,64,0,0,0,-0.006714408128289877,-0.004982249969396499,-0.10550863018729342
0,65,0,0,0,-0.006714408128289877,-0.004982249969396499,-0.10550863018729342
0,66,0,0,0,-0.006891908434324886,-0.004810870363569592,-0.10561268209083119
0,67,0,0,0,-0.006769494430162811,-0.004957767168564084,-0.10566776839270413
0,68,0,0,0,-0.006769494430162811,-0.004957767168564084,-0.10566776839270413
0,69,0,0,0,-0.006757253029746603,-0.005171991675847717,-0.10567388909291223
0,70,0,0,0,-0.006616476924960216,-0.004841473864610112,-0.10530052638021789
0,71,0,0,0,-0.006616476924960216,-0.004841473864610112,-0.10530052638021789
0,72,0,0,0,-0.006818460031827641,-0.005067939772309953,-0.10559431999020688
