values,,position,position,position,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,0,0,0,-0.003911127432978332,0.001621985555147509,-0.13149712327090218
0,1,0,0,0,-0.003880523931937814,0.0015852613538988862,-0.1313747092667401
0,2,0,0,0,-0.003880523931937814,0.0015852613538988862,-0.1313747092667401
0,3,0,0,0,-0.004070265638389032,0.0014995715509854327,-0.13155833027298322
0,4,0,0,0,-0.003898886032562125,0.001487330150569225,-0.13177255478026687
0,5,0,0,0,-0.003978455135267475,0.0015424164524421593,-0.13142367486840495
0,6,0,0,0,-0.003978455135267475,0.0015424164524421593,-0.13142367486840495
0,7,0,0,0,-0.003929489533602644,0.0016893132574366508,-0.13165626147631287
0,8,0,0,0,-0.003917248133186437,0.0016893132574366508,-0.13179703758109929
0,9,0,0,0,-0.003917248133186437,0.0016893132574366508,-0.13179703758109929
0,10,0,0,0,-0.004039662137348512,0.0014077610478638756,-0.13147264047006976
0,11,0,0,0,-0.004186558942343004,0.0014506059493206024,-0.1318337617823479
0,12,0,0,0,-0.0038621618313135022,0.001395519647447668,-0.13146651976986168
0,13,0,0,0,-0.0039539723344350595,0.0015056922511935366,-0.1315399681723589
0,14,0,0,0,-0.004106989839637655,0.0014995715509854327,-0.13172358917860202
0,15,0,0,0,-0.004088627739013343,0.0015362957522340557,-0.13173583057901822
0,16,0,0,0,-0.004088627739013343,0.0015362957522340557,-0.13173583057901822
0,17,0,0,0,-0.0039539723344350595,0.001670951156812339,-0.1314053127677806
0,18,0,0,0,-0.0036112131227812464,0.001487330150569225,-0.13162565797527237
0,19,0,0,0,-0.004302852246296977,0.0017015546578528582,-0.13161953727506426
0,20,0,0,0,-0.004143714040886278,0.0015975027543150937,-0.13195005508630187
0,21,0,0,0,-0.004058024237972824,0.0016464683559799242,-0.13169298567756152
0,22,0,0,0,-0.004204921042967316,0.0015975027543150937,-0.13160117517443998
0,23,0,0,0,-0.00392336883339454,0.001744399559309585,-0.13152772677194272
0,24,0,0,0,-0.0040090586363079935,0.0015791406536907822,-0.13162565797527237
0,25,0,0,0,-0.004223283143591627,0.0014689680499449136,-0.1316746235769372
0,26,0,0,0,-0.004253886644632146,0.0015791406536907822,-0.13154608887256702
0,27,0,0,0,-0.003984575835475578,0.0014383645489043947,-0.13157057167339942
0,28,0,0,0,-0.003984575835475578,0.0014383645489043947,-0.13157057167339942
0,29,0,0,0,-0.004113110539845758,0.0016281062553556128,-0.13151548537152652
0,30,0,0,0,-0.004094748439221447,0.0014689680499449136,-0.13128901946382668
0,31,0,0,0,-0.0040457828375566164,0.0016036234545231975,-0.13155833027298322
0,32,0,0,0,-0.004088627739013343,0.001670951156812339,-0.13176031337985067
0,33,0,0,0,-0.004211041743175419,0.001432243848696291,-0.13164402007589668
0,34,0,0,0,-0.004211041743175419,0.001432243848696291,-0.13164402007589668
0,35,0,0,0,-0.004253886644632146,0.0015607785530664707,-0.13172970987881014
0,36,0,0,0,-0.004204921042967316,0.0017382788591014814,-0.1315093646713184
0,37,0,0,0,-0.004119231240053862,0.0015301750520259516,-0.1317174684783939
0,38,0,0,0,-0.004119231240053862,0.0015301750520259516,-0.1317174684783939
0,39,0,0,0,-0.004094748439221447,0.0014200024482800833,-0.13176643408005878
0,40,0,0,0,-0.003715265026319011,0.0013771575468233565,-0.13184600318276413
0,41,0,0,0,-0.004204921042967316,0.0015424164524421593,-0.13168074427714532
0,42,0,0,0,-0.004149834741094381,0.0016954339576447544,-0.13154608887256702
0,43,0,0,0,-0.004149834741094381,0.0016954339576447544,-0.13154608887256702
0,44,0,0,0,-0.004204921042967316,0.0015118129514016404,-0.13175419267964256
0,45,0,0,0,-0.004149834741094381,0.001432243848696291,-0.13139919206757253
0,46,0,0,0,-0.004155955441302485,0.0013771575468233565,-0.1315399681723589
0,47,0,0,0,-0.003947851634226956,0.0016770718570204434,-0.13161341657485617
0,48,0,0,0,-0.0040457828375566164,0.0013404333455747338,-0.1316685028767291
0,49,0,0,0,-0.004088627739013343,0.001683192557228547,-0.1316746235769372
0,50,0,0,0,-0.004088627739013343,0.001683192557228547,-0.1316746235769372
0,51,0,0,0,-0.004027420736932305,0.0016770718570204434,-0.13144203696902926
0,52,0,0,0,-0.004027420736932305,0.0015852613538988862,-0.1315399681723589
0,53,0,0,0,-0.0040090586363079935,0.0016281062553556128,-0.13161341657485617
0,54,0,0,0,-0.004015179336516098,0.0015607785530664707,-0.13174195127922633
0,55,0,0,0,-0.0038193169298567755,0.0015791406536907822,-0.1315216060717346
0,56,0,0,0,-0.003941730934018852,0.001554657852858367,-0.13139919206757253
0,57,0,0,0,-0.004174317541926796,0.00146284734973681,-0.13169298567756152
0,58,0,0,0,-0.003941730934018852,0.0014750887501530177,-0.13147264047006976
0,59,0,0,0,-0.004125351940261967,0.0016036234545231975,-0.13138695066715633
0,60,0,0,0,-0.00392336883339454,0.0015424164524421593,-0.13160117517443998
0,61,0,0,0,-0.003880523931937814,0.001683192557228547,-0.13190721018484514
0,62,0,0,0,-0.004058024237972824,0.0015424164524421593,-0.13159505447423187
0,63,0,0,0,-0.003972334435059371,0.0014200024482800833,-0.131662382176521
0,64,0,0,0,-0.003905006732770229,0.001554657852858367,-0.1316501407761048
0,65,0,0,0,-0.003905006732770229,0.001554657852858367,-0.1316501407761048
0,66,0,0,0,-0.0038744032317297094,0.00146284734973681,-0.13165626147631287
0,67,0,0,0,-0.003966213734851267,0.00146284734973681,-0.13146039906965357
0,68,0,0,0,-0.0038621618313135022,0.0013649161464071489,-0.13125229526257803
0,69,0,0,0,-0.004198800342759212,0.001670951156812339,-0.13141755416819684
0,70,0,0,0,-0.003984575835475578,0.0016281062553556128,-0.1316868649773534
0,71,0,0,0,-0.004094748439221447,0.0015301750520259516,-0.13162565797527237
0,72,0,0,0,-0.004070265638389032,0.0015056922511935366,-0.1313379850654915
