X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
-5,-10,0,-0.010915338474721509,-0.01707104174317542,0.024959073325988495
-5,-10,1,-0.010498763618557963,-0.01567197208960705,0.02477839025584527
-5,-10,2,-0.010593022401762762,-0.014817399926551598,0.023832252417676583
-5,-10,3,-0.010039527481943936,-0.013707349736809891,0.02320353409230016
-5,-10,4,-0.009696462235279715,-0.012739483412902437,0.022068144203696904
-5,-10,5,-0.009418276410821397,-0.011922920798139308,0.021173420247276288
-5,-9,0,-0.010833198677928754,-0.017139960827518667,0.025130575345819563
-5,-9,1,-0.010706622597625167,-0.0156253323540213,0.025079589913086058
-5,-9,2,-0.010591002570694088,-0.014669095360509242,0.02392173705471906
-5,-9,3,-0.01009522585383768,-0.013690395397233445,0.023145326233321092
-5,-9,4,-0.00972376055820786,-0.012786367976496512,0.022058901946382665
-5,-9,5,-0.009439454033541437,-0.011818011996572408,0.02106281919451585
-5,-8,0,-0.010886632390745502,-0.0171263116660546,0.02503252172848574
-5,-8,1,-0.010671734606438974,-0.015705207491737056,0.025061533847472152
-5,-8,2,-0.010557216305545354,-0.014669340188517567,0.023910658587342395
-5,-8,3,-0.010036038682825314,-0.013798548169910638,0.023079712327090218
-5,-8,4,-0.009716844166972702,-0.012827376667890807,0.022035765699596033
-5,-8,5,-0.009412584159627861,-0.011945628595911372,0.021118211531399193
-5,-7,0,-0.010887060839760071,-0.01733361978210307,0.025056514873301506
-5,-7,1,-0.010719414861060105,-0.015645714285714287,0.025067164891663607
-5,-7,2,-0.010552564573387196,-0.01460990818949688,0.023891868037703514
-5,-7,3,-0.01010985432733505,-0.013793223160729588,0.023093422695556372
-5,-7,4,-0.009713110539845755,-0.012697250581466521,0.022013241522830213
-5,-7,5,-0.009371636675235644,-0.012048150324397112,0.021070653690782228
-5,-6,0,-0.010783192557228545,-0.01728624556249235,0.02504139674378749
-5,-6,1,-0.010704051903537765,-0.01550316317786755,0.02504861917003305
-5,-6,2,-0.010556053372505814,-0.01479505937079202,0.023914881870485984
-5,-6,3,-0.010098959480964623,-0.013874383645489045,0.0231010735708165
-5,-6,4,-0.009692973436161097,-0.012608745256457339,0.022056576080303588
-5,-6,5,-0.009362884073938059,-0.01189121557106133,0.02116332109193292
-5,-5,0,-0.010823466764597871,-0.01735302240176276,0.02507910025706941
-5,-5,1,-0.010693279471171501,-0.01569774023748317,0.025016730321948833
-5,-5,2,-0.01058879911861917,-0.014884482800832415,0.02396819316929857
-5,-5,3,-0.010092716366752356,-0.013402294038437998,0.02326382298934998
-5,-5,4,-0.009705214836577304,-0.012827437874892888,0.022049353654058024
-5,-5,5,-0.009416440200758967,-0.011815012853470438,0.021106888236014202
-5,-4,0,-0.010758158893377404,-0.01728214469335292,0.025088954584404456
-5,-4,1,-0.010691014812094505,-0.015560330517811239,0.025015261353898886
-5,-4,2,-0.01055525768147876,-0.014780675725302976,0.023945424164524422
-5,-4,3,-0.010136295752234056,-0.013820031827641082,0.02311974170645122
-5,-4,4,-0.00970680621863141,-0.012735810992777574,0.022040539845758357
-5,-4,5,-0.00946148855429061,-0.011947893254988372,0.02115163055453544
-5,-3,0,-0.010808532256090096,-0.017355042232831436,0.025137063288040152
-5,-3,1,-0.010783008936222305,-0.015777186926184357,0.024983311298812587
-5,-3,2,-0.010586595666544251,-0.014586098665687355,0.023967397478271514
-5,-3,3,-0.010023001591382055,-0.013637328926429184,0.02297296731546089
-5,-3,4,-0.009747141633002814,-0.012818930101603624,0.02208846492838781
-5,-3,5,-0.009454021300036725,-0.0118729146774391,0.02112396498959481
-5,-2,0,-0.010985175664095972,-0.01753137960582691,0.025267556616476925
-5,-2,1,-0.011025449871465295,-0.01602746235769372,0.02515389521361244
-5,-2,2,-0.01073924592973436,-0.015079059860448036,0.024116130493328437
-5,-2,3,-0.010266054596645854,-0.014020362345452321,0.02311031582813074
-5,-2,4,-0.009897221202105521,-0.01317362467866324,0.02215799608275187
-5,-2,5,-0.00965655526992288,-0.01234879911861917,0.021226303097074305
-5,-1,0,-0.010975872199779656,-0.017044783939282656,0.026418003427592117
-5,-1,1,-0.011145354388542049,-0.015431489778430653,0.026103460643897663
-5,-1,2,-0.010718313135022646,-0.014404252662504592,0.02505327090219121
-5,-1,3,-0.01025620026931081,-0.013478619170033053,0.02399946994736198
-5,-1,4,-0.009835646958011996,-0.012408659566654425,0.02306318643652834
-5,-1,5,-0.009569886154976129,-0.011658690170155465,0.02204292691883952
-5,0,0,-0.011357191822744521,-0.017091423674868406,0.027390031827641083
-5,0,1,-0.011525694699473621,-0.01557165381319623,0.02712678051169054
-5,0,2,-0.010970914432611091,-0.014421635451095606,0.025966662994246544
-5,0,3,-0.01049276533235402,-0.013468213979679277,0.02482441792141021
-5,0,4,-0.010120749173705472,-0.012523483902558454,0.023781573019953484
-5,0,5,-0.009770583914799853,-0.0119142294038438,0.02275188762394418
-5,1,0,-0.011331362467866323,-0.016254601542416452,0.028388318031582812
-5,1,1,-0.011484502387073079,-0.014731771330640226,0.028034541559554416
-5,1,2,-0.01099203084832905,-0.013726997184477905,0.02680305667768393
-5,1,3,-0.010502130003672422,-0.012795426612804505,0.025625372750642677
-5,1,4,-0.010042955074060472,-0.01189188884808422,0.024560676949443017
-5,1,5,-0.009665797527237115,-0.011149325498837067,0.0234819647447668
