X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
0,0,0,-0.05061519157791651,-0.047435242991798264,-0.013868404945525766
0,0,5,-0.04517064512180193,-0.040299853103195005,-0.011920124862284245
0,0,10,-0.04048726894356714,-0.03352081038070756,-0.011534520749173703
0,0,15,-0.036513649161464067,-0.028040151793365165,-0.012301566899253272
0,0,20,-0.03361151915779165,-0.023733810747949568,-0.013589851879054963
0,1,0,-0.05209719671930469,-0.04874280817725549,-0.012340739380585138
0,1,5,-0.0461426735218509,-0.04066164769249603,-0.010277512547435424
0,1,10,-0.041156751132329535,-0.03366556494062921,-0.010207430530052635
0,1,15,-0.036892520504345695,-0.027983596523442286,-0.011185824458318032
0,1,20,-0.03385340923001591,-0.023608030358673034,-0.012659811482433588
0,2,0,-0.053858795446199044,-0.05014659076998409,-0.010735585751009915
0,2,5,-0.04750275431509365,-0.04202729832292815,-0.00877426857632513
0,2,10,-0.04213434936956788,-0.034497123270902194,-0.008939282653935609
0,2,15,-0.0375003060350104,-0.02867492961194761,-0.010124678663239075
0,2,20,-0.034276043579385476,-0.02403348023013833,-0.011853348023013832
0,3,0,-0.05544454645611458,-0.051081282898763625,-0.008683314971232708
0,3,5,-0.048535928510221565,-0.04201952503366385,-0.006931325743665076
0,3,10,-0.04268221324519525,-0.03433168074427715,-0.007453849920430897
0,3,15,-0.03785469457705962,-0.02828455135267475,-0.009063838903170522
0,3,20,-0.034370608397600685,-0.02369739258171135,-0.011072163055453542
0,4,0,-0.057623821765209936,-0.05261145795078957,-0.0065538009548292316
0,4,5,-0.04994454645611458,-0.04333327212633126,-0.005225486595666542
0,4,10,-0.043724813318643654,-0.03508244583180316,-0.006041743175419268
0,4,15,-0.03857767168564084,-0.029020320724690907,-0.007938548169910636
0,4,20,-0.0349567266495287,-0.024210552087158773,-0.010242746970253395
0,5,0,-0.05934532990574122,-0.053159811482433594,-0.004218325376423061
0,5,5,-0.05109940017137961,-0.04321765209940018,-0.003322010037948339
0,5,10,-0.044395519647447666,-0.03500263190108949,-0.004647141633002814
0,5,15,-0.038929061084588074,-0.028548353531644022,-0.00682384624801077
0,5,20,-0.03504780266862529,-0.023724262455624926,-0.009447729220222793
0,6,0,-0.061589301016036234,-0.05448537152650264,-0.0017691883951524018
0,6,5,-0.052574121679520136,-0.044158770963398215,-0.0013330885053250106
0,6,10,-0.045362100624311424,-0.035519157791651365,-0.0030201371036846607
0,6,15,-0.03956524666421839,-0.028799669482188765,-0.005634410576569958
0,6,20,-0.035504590525156074,-0.023974048231117644,-0.008468355979924102
0,7,0,-0.0636791528950912,-0.05519861672175297,0.0006308605704492612
0,7,5,-0.05385175664095973,-0.04432978332721264,0.0007262822866936011
0,7,10,-0.04621704002937936,-0.03535041008691395,-0.001626392459297344
0,7,15,-0.04003782592728608,-0.028705900355000615,-0.004522769004774146
0,7,20,-0.03577047374219611,-0.023593157057167344,-0.007718753825437628
0,8,0,-0.06593689558085444,-0.05572328314359162,0.0033786265148733063
0,8,5,-0.055304566042355244,-0.04455759578895826,0.0027709633982127557
0,8,10,-0.047072163055453545,-0.0354654792508263,7.277512547435722e-05
0,8,15,-0.04061292691883951,-0.02861666054596646,-0.003327029012118985
0,8,20,-0.03605386216183131,-0.023582078589790674,-0.0066921899865344595
0,9,0,-0.068324029869017,-0.05653886644632146,0.006080854449749051
0,9,5,-0.056862345452319746,-0.044864426490390505,0.004805300526380216
0,9,10,-0.04800067327702289,-0.03552625780389277,0.001577304443628351
0,9,15,-0.04121214346921288,-0.028514750887501536,-0.0023057289753947857
0,9,20,-0.03648249479740482,-0.023432794711715024,-0.005934569714775368
0,10,0,-0.0706010527604358,-0.05666091320847105,0.009060472518056067
0,10,5,-0.05819274084955319,-0.04459431999020688,0.007173215815889339
0,10,10,-0.04872769004774146,-0.034860509242257316,0.0031855184233076303
0,10,15,-0.041614395886889456,-0.028048231117639863,-0.0009486473252540081
0,10,20,-0.03669953482678418,-0.02293450850777329,-0.005013281919451582
0,11,0,-0.07315558819929,-0.05702344228179704,0.011968662014934513
0,11,5,-0.0598117884686008,-0.04475804872077366,0.009327518668135634
0,11,10,-0.04981613416574856,-0.03489533602644143,0.00480940139551965
0,11,15,-0.042291161708899495,-0.027905373974782717,8.844411800710064e-05
