"Sensor 4 Average (x, y, z)"
"[-0.00324544007834497, 0.0028671195984821297, 0.020622781246174546]"
"[0.0004594809646223403, 0.003186191700330531, 0.021091443261109108]"
"[0.0043482678418410685, 0.0028685885665320487, 0.020258109927775853]"
"[0.0073162565797527425, 0.00246382666177012, 0.017650385604113195]"
"[0.009399253274574634, 0.0022177133064022816, 0.014393499816378934]"
"[-0.003794650508018131, -0.0007792263434936546, 0.02144876973925812]"
"[0.00031625657975269984, -0.0010776104786387047, 0.021921961072346674]"
"[0.004434692128779519, -0.0010563716489166257, 0.02091522830211765]"
"[0.007526257803892725, -0.0010044681111518912, 0.018326845391112838]"
"[0.009413942955074011, -0.00102050434569715, 0.014994552576814743]"
"[-0.003924837801444488, -0.004756579752723665, 0.02039656016648312]"
"[0.00016935977475820464, -0.004851756640959689, 0.021250581466519827]"
"[0.004072530297465994, -0.004742379728240893, 0.020106194148610645]"
"[0.007062553556126828, -0.004412780022034515, 0.017523503488799122]"
"[0.008993512057779426, -0.003847533357816091, 0.0142531521606072]"
"[-0.003509058636308012, -0.00768049944913695, 0.018188701187415765]"
"[-6.849063532871937e-05, -0.007960582690659766, 0.018851879054963945]"
"[0.003510711225364154, -0.007810564328559151, 0.018008324152282998]"
"[0.00647869996327579, -0.006830640225241736, 0.015776288407393903]"
"[0.008187599461378384, -0.006099461378381653, 0.01296162320969517]"
"[-0.003263067694944298, -0.009603929489533591, 0.015137103684661618]"
"[-0.0005430285224630061, -0.00989001101726034, 0.015496021544864805]"
"[0.002943261109070866, -0.009661586485493914, 0.014894479128412318]"
"[0.005561513037091445, -0.008667401150691596, 0.013249785775492726]"
"[0.007303831558330233, -0.007548598359652313, 0.010901823968661975]"
