No.,X,Y,Z,Displacement [mm]
    1,       0.00,        0.00,        0.00,        NaN
    2,       0.00,        0.00,        0.00,        NaN
    3,       0.00,        0.00,        0.00,        NaN
    4,        NaN,         NaN,         NaN,        NaN
    5,       0.00,        0.00,        0.00,       0.00
    6,      -0.01,        0.00,        0.04,       0.04
    7,      -0.01,        0.00,        0.02,       0.02
    8,      -0.01,        0.02,        0.05,       0.05
    9,      -0.00,        0.02,        0.03,       0.04
   10,       0.01,       -0.01,        0.03,       0.04
   11,      -0.01,       -0.01,        0.03,       0.03
   12,      -0.01,       -0.00,       -0.01,       0.01
   13,      -0.00,       -0.00,        0.05,       0.05
   14,      -0.00,       -0.00,        0.03,       0.03
   15,      -0.00,        0.02,        0.03,       0.03
   16,      -0.01,       -0.01,        0.00,       0.02
   17,      -0.01,        0.02,        0.02,       0.03
   18,      -0.00,       -0.00,        0.00,       0.01
   19,      -0.00,        0.01,        0.03,       0.03
   20,      -0.02,        0.01,        0.03,       0.04
   21,      -0.01,       -0.00,        0.02,       0.02
   22,       0.00,        0.02,        0.03,       0.04
   23,      -0.00,        0.02,        0.06,       0.06
   24,       0.00,        0.01,        0.05,       0.05
   25,      -0.00,        0.00,       -0.00,       0.01
   26,       0.00,        0.01,        0.01,       0.01
   27,      -0.01,       -0.01,       -0.00,       0.01
   28,      -0.01,        0.01,        0.01,       0.02
   29,      -0.01,        0.01,        0.03,       0.03
   30,      -0.00,       -0.01,        0.01,       0.02
   31,        NaN,         NaN,         NaN,        NaN
   32,        NaN,         NaN,         NaN,        NaN
   33,       0.00,       -0.00,       -0.03,       0.03
   34,       0.00,       -0.02,       -0.01,       0.02
   35,       0.02,       -0.03,       -0.01,       0.03
   36,       0.03,       -0.02,       -0.09,       0.09
   37,       0.02,       -0.01,       -0.06,       0.06
   38,       0.00,       -0.02,       -0.05,       0.05
   39,       0.02,       -0.04,       -0.06,       0.07
   40,       0.02,       -0.02,       -0.07,       0.07
   41,       0.03,       -0.02,       -0.06,       0.07
   42,       0.02,       -0.03,       -0.02,       0.04
   43,       0.02,       -0.03,       -0.04,       0.05
   44,       0.02,       -0.02,       -0.02,       0.04
   45,       0.02,       -0.04,       -0.10,       0.11
   46,        NaN,         NaN,         NaN,        NaN
   47,        NaN,         NaN,         NaN,        NaN
   48,      -0.01,        0.01,       -0.01,       0.02
   49,        NaN,         NaN,         NaN,        NaN
   50,        NaN,         NaN,         NaN,        NaN
   51,      -0.00,       -0.00,       -0.01,       0.02
   52,        NaN,         NaN,         NaN,        NaN
   53,        NaN,         NaN,         NaN,        NaN
   54,      -0.00,       -0.03,        0.01,       0.03
   55,       0.00,       -0.07,       -0.03,       0.07
   56,      -0.01,       -0.05,       -0.04,       0.07
   57,      -0.01,       -0.07,       -0.02,       0.07
   58,      -0.01,        0.04,        0.01,       0.05
   59,      -0.00,       -0.00,        0.03,       0.04
   60,      -0.02,       -0.04,       -0.04,       0.06
   61,      -0.00,       -0.04,       -0.02,       0.04
   62,        NaN,         NaN,         NaN,        NaN
   63,        NaN,         NaN,         NaN,        NaN
