No.,X,Y,Z,Displacement [mm]
2024-09-09T17:13:21.870,       0.00,        0.00,        0.00,        NaN
2024-09-09T17:13:21.870,       0.00,        0.00,        0.00,        NaN
2024-09-09T17:13:21.927,       0.00,        0.00,        0.00,        NaN
2024-09-09T17:13:55.934,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:13:56.101,      -0.01,       -0.00,       -0.01,       0.02
2024-09-09T17:13:56.599,      -0.01,        0.00,        0.01,       0.02
2024-09-09T17:13:57.115,      -0.00,       -0.01,       -0.01,       0.01
2024-09-09T17:13:57.633,       0.06,       -0.01,       -0.01,       0.06
2024-09-09T17:13:58.182,       0.02,       -0.01,       -0.05,       0.05
2024-09-09T17:13:58.699,      -0.04,        0.01,        0.01,       0.05
2024-09-09T17:13:59.197,      -0.04,       -0.01,       -0.01,       0.05
2024-09-09T17:13:59.713,      -0.02,       -0.02,       -0.02,       0.04
2024-09-09T17:14:00.229,      -0.03,       -0.03,       -0.02,       0.04
2024-09-09T17:14:00.730,      -0.02,       -0.01,        0.01,       0.02
2024-09-09T17:14:01.244,      -0.02,       -0.00,        0.00,       0.02
2024-09-09T17:14:01.761,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:05.207,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:05.408,      -0.00,       -0.02,       -0.01,       0.02
2024-09-09T17:14:05.925,      -0.00,       -0.04,       -0.04,       0.05
2024-09-09T17:14:06.439,       0.00,       -0.04,        0.03,       0.04
2024-09-09T17:14:06.955,      -0.01,       -0.03,       -0.01,       0.04
2024-09-09T17:14:07.454,      -0.01,       -0.03,        0.00,       0.03
2024-09-09T17:14:07.971,      -0.02,       -0.02,        0.04,       0.05
2024-09-09T17:14:08.487,      -0.00,       -0.02,        0.00,       0.02
2024-09-09T17:14:09.002,       0.01,       -0.07,       -0.02,       0.07
2024-09-09T17:14:09.519,       0.02,       -0.08,       -0.01,       0.08
2024-09-09T17:14:10.035,       0.02,       -0.07,       -0.01,       0.07
2024-09-09T17:14:10.601,       0.00,       -0.05,       -0.02,       0.05
2024-09-09T17:14:11.151,      -0.01,       -0.03,        0.03,       0.04
2024-09-09T17:14:11.666,      -0.01,       -0.01,        0.07,       0.07
2024-09-09T17:14:12.217,      -0.02,        0.02,        0.08,       0.08
2024-09-09T17:14:12.732,      -0.03,       -0.02,        0.04,       0.05
2024-09-09T17:14:13.248,      -0.02,       -0.03,        0.06,       0.07
2024-09-09T17:14:13.765,      -0.02,       -0.01,        0.05,       0.06
2024-09-09T17:14:14.313,      -0.02,       -0.02,        0.04,       0.05
2024-09-09T17:14:14.831,      -0.03,       -0.01,        0.10,       0.10
2024-09-09T17:14:15.348,      -0.02,       -0.01,        0.08,       0.08
2024-09-09T17:14:15.864,      -0.02,       -0.02,        0.07,       0.08
2024-09-09T17:14:16.378,      -0.02,        0.01,        0.06,       0.06
2024-09-09T17:14:16.878,      -0.02,       -0.01,        0.10,       0.10
2024-09-09T17:14:17.393,      -0.02,       -0.00,        0.12,       0.12
2024-09-09T17:14:17.912,      -0.01,       -0.01,        0.07,       0.07
2024-09-09T17:14:18.425,      -0.03,        0.00,        0.07,       0.07
2024-09-09T17:14:18.926,      -0.02,        0.01,        0.06,       0.06
2024-09-09T17:14:19.442,      -0.02,        0.00,        0.11,       0.12
2024-09-09T17:14:19.959,      -0.02,       -0.01,        0.07,       0.08
2024-09-09T17:14:20.346,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:22.041,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:22.041,       0.00,        0.00,        0.00,       0.00
2024-09-09T17:14:22.588,      -0.03,       -0.01,       -0.01,       0.04
2024-09-09T17:14:23.104,      -0.02,       -0.00,       -0.03,       0.04
2024-09-09T17:14:23.619,      -0.03,        0.01,        0.01,       0.03
2024-09-09T17:14:24.137,      -0.02,        0.03,        0.04,       0.05
2024-09-09T17:14:24.653,      -0.02,        0.01,        0.02,       0.03
2024-09-09T17:14:25.168,      -0.01,        0.03,        0.05,       0.06
2024-09-09T17:14:25.206,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:25.788,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:26.184,      -0.20,       -0.15,       -0.05,       0.25
2024-09-09T17:14:26.702,      -0.18,       -0.16,       -0.05,       0.25
2024-09-09T17:14:27.216,      -0.18,       -0.14,       -0.01,       0.23
2024-09-09T17:14:27.716,      -0.17,       -0.14,       -0.00,       0.22
2024-09-09T17:14:28.232,      -0.18,       -0.14,       -0.00,       0.23
2024-09-09T17:14:28.750,      -0.19,       -0.18,       -0.07,       0.26
2024-09-09T17:14:29.297,      -0.18,       -0.14,        0.04,       0.23
2024-09-09T17:14:29.813,      -0.19,       -0.14,        0.02,       0.23
2024-09-09T17:14:30.331,      -0.19,       -0.14,       -0.03,       0.24
2024-09-09T17:14:30.879,      -0.18,       -0.14,       -0.03,       0.23
2024-09-09T17:14:31.048,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:31.711,        NaN,         NaN,         NaN,        NaN
2024-09-09T17:14:31.911,      -0.00,        0.01,       -0.01,       0.02
2024-09-09T17:14:32.427,      -0.00,        0.02,       -0.01,       0.02
2024-09-09T17:14:32.928,       0.01,        0.03,       -0.00,       0.03
2024-09-09T17:14:33.445,       0.00,        0.00,        0.01,       0.01
2024-09-09T17:14:33.959,       0.01,       -0.01,        0.00,       0.01
2024-09-09T17:14:34.459,       0.01,       -0.01,       -0.01,       0.02
2024-09-09T17:14:34.975,       0.01,        0.00,       -0.04,       0.04
2024-09-09T17:14:35.493,      -0.00,        0.01,       -0.05,       0.05
2024-09-09T17:14:36.040,       0.00,       -0.00,       -0.04,       0.04
2024-09-09T17:14:36.556,      -0.00,        0.01,        0.00,       0.01
2024-09-09T17:14:37.073,       0.01,        0.01,        0.01,       0.02
2024-09-09T17:14:37.591,      -0.01,        0.02,        0.02,       0.02
2024-09-09T17:14:38.156,       0.01,        0.02,        0.03,       0.04
2024-09-09T17:14:38.656,      -0.00,        0.02,       -0.01,       0.02
2024-09-09T17:14:39.170,      -0.01,        0.00,       -0.03,       0.03
2024-09-09T17:14:39.703,      -0.01,       -0.00,       -0.04,       0.04
2024-09-09T17:14:40.218,       0.00,        0.01,       -0.04,       0.04
2024-09-09T17:14:40.735,      -0.00,        0.01,       -0.05,       0.05
2024-09-09T17:14:41.236,      -0.01,        0.02,       -0.00,       0.02
2024-09-09T17:14:41.750,      -0.00,        0.00,       -0.03,       0.03
2024-09-09T17:14:42.268,       0.01,        0.01,       -0.06,       0.06
2024-09-09T17:14:42.784,      -0.01,        0.02,        0.01,       0.02
2024-09-09T17:14:43.284,      -0.02,       -0.00,       -0.00,       0.02
2024-09-09T17:14:43.800,      -0.00,        0.00,       -0.01,       0.01
2024-09-09T17:14:44.314,      -0.00,       -0.00,        0.00,       0.00
2024-09-09T17:14:44.865,       0.00,        0.01,       -0.02,       0.03
2024-09-09T17:14:45.382,      -0.00,       -0.01,       -0.01,       0.02
2024-09-09T17:14:45.896,       0.01,        0.01,       -0.00,       0.01
2024-09-09T17:14:46.396,      -0.00,       -0.00,       -0.00,       0.01
2024-09-09T17:14:46.913,      -0.00,        0.03,       -0.00,       0.03
2024-09-09T17:14:47.428,       0.01,        0.01,       -0.00,       0.02
2024-09-09T17:14:47.980,      -0.01,        0.02,        0.01,       0.03
2024-09-09T17:14:48.494,       0.00,        0.01,       -0.04,       0.04
2024-09-09T17:14:49.010,      -0.01,        0.01,       -0.01,       0.02
2024-09-09T17:14:49.527,       0.00,        0.01,        0.01,       0.02
2024-09-09T17:14:50.077,      -0.01,       -0.00,       -0.03,       0.03
2024-09-09T17:14:50.593,      -0.01,        0.00,       -0.03,       0.03
2024-09-09T17:14:51.107,       0.01,       -0.00,        0.01,       0.01
2024-09-09T17:14:51.607,      -0.00,        0.01,        0.02,       0.02
2024-09-09T17:14:52.127,      -0.01,        0.01,        0.05,       0.06
2024-09-09T17:14:52.638,      -0.02,       -0.00,       -0.04,       0.04
2024-09-09T17:14:53.189,      -0.01,        0.02,       -0.01,       0.02
2024-09-09T17:14:53.704,      -0.02,        0.01,       -0.02,       0.03
2024-09-09T17:14:54.223,      -0.01,       -0.00,       -0.04,       0.04
2024-09-09T17:14:54.737,       0.01,        0.02,       -0.04,       0.05
2024-09-09T17:14:55.237,      -0.01,        0.02,       -0.03,       0.04
2024-09-09T17:14:55.753,      -0.01,        0.01,       -0.03,       0.03
2024-09-09T17:14:56.270,      -0.00,       -0.00,       -0.02,       0.02
2024-09-09T17:14:56.770,      -0.02,        0.00,        0.03,       0.03
2024-09-09T17:14:57.335,       0.00,       -0.01,       -0.03,       0.03
2024-09-09T17:14:57.900,      -0.00,        0.01,        0.03,       0.03
