Time,X,Y,Z,Displacement [mm]
2024-09-30T14:30:18.224,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:30:18.224,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:30:18.281,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:30:34.430,        NaN,         NaN,         NaN,        NaN
2024-09-30T14:30:34.430,       0.00,        0.00,        0.00,       0.00
2024-09-30T14:30:34.979,       0.02,        0.00,       -0.03,       0.04
2024-09-30T14:30:35.498,       0.01,       -0.00,       -0.01,       0.02
2024-09-30T14:30:36.011,       0.01,        0.01,       -0.00,       0.01
2024-09-30T14:30:36.512,      -0.01,       -0.00,       -0.04,       0.05
2024-09-30T14:30:37.029,       0.01,       -0.01,       -0.05,       0.05
2024-09-30T14:30:37.544,       0.02,        0.01,       -0.01,       0.02
2024-09-30T14:30:38.093,       0.01,       -0.00,        0.00,       0.01
2024-09-30T14:30:38.610,       0.01,        0.01,        0.01,       0.02
2024-09-30T14:30:39.126,       0.00,        0.01,        0.04,       0.04
2024-09-30T14:30:39.625,       0.01,        0.02,        0.01,       0.02
2024-09-30T14:30:40.141,       0.01,       -0.01,       -0.04,       0.04
2024-09-30T14:30:40.657,       0.02,       -0.00,        0.02,       0.02
2024-09-30T14:30:41.158,       0.01,       -0.00,       -0.00,       0.01
2024-09-30T14:30:41.671,       0.01,        0.01,        0.02,       0.02
2024-09-30T14:30:42.189,       0.00,        0.00,        0.02,       0.02
2024-09-30T14:30:42.689,       0.00,        0.01,        0.01,       0.01
2024-09-30T14:30:43.238,      -0.00,        0.01,        0.02,       0.02
2024-09-30T14:30:43.755,       0.01,        0.02,        0.01,       0.02
2024-09-30T14:30:44.270,       0.00,        0.00,       -0.02,       0.02
2024-09-30T14:30:44.771,       0.01,       -0.01,       -0.01,       0.02
2024-09-30T14:30:45.286,       0.01,        0.01,       -0.02,       0.02
2024-09-30T14:30:45.788,       0.01,       -0.00,       -0.03,       0.03
2024-09-30T14:30:46.300,       0.00,       -0.01,       -0.01,       0.01
2024-09-30T14:30:46.819,       0.01,       -0.01,       -0.08,       0.08
2024-09-30T14:30:47.334,       0.01,        0.01,        0.00,       0.01
2024-09-30T14:30:47.850,       0.01,        0.00,       -0.01,       0.01
2024-09-30T14:30:48.350,       0.01,        0.01,       -0.00,       0.01
2024-09-30T14:30:48.865,      -0.00,       -0.00,       -0.03,       0.03
2024-09-30T14:30:49.364,      -0.00,       -0.00,       -0.00,       0.00
2024-09-30T14:30:49.882,       0.01,       -0.00,       -0.01,       0.02
2024-09-30T14:30:50.396,       0.01,        0.02,       -0.01,       0.02
2024-09-30T14:30:50.912,      -0.00,        0.02,        0.00,       0.02
2024-09-30T14:30:51.462,       0.01,       -0.00,       -0.01,       0.02
2024-09-30T14:30:51.979,       0.01,       -0.02,       -0.04,       0.05
2024-09-30T14:30:52.495,       0.00,       -0.00,       -0.01,       0.01
2024-09-30T14:30:52.994,       0.00,        0.01,       -0.00,       0.01
2024-09-30T14:30:53.495,       0.00,       -0.01,       -0.02,       0.02
2024-09-30T14:30:54.010,       0.01,       -0.00,        0.01,       0.02
2024-09-30T14:30:54.527,       0.01,       -0.01,       -0.02,       0.02
2024-09-30T14:30:55.040,       0.01,        0.02,       -0.01,       0.03
2024-09-30T14:30:55.542,       0.01,       -0.01,       -0.03,       0.03
2024-09-30T14:30:56.056,       0.01,        0.01,       -0.03,       0.03
2024-09-30T14:30:56.605,       0.01,        0.00,       -0.02,       0.02
2024-09-30T14:30:57.124,       0.01,        0.02,        0.03,       0.04
2024-09-30T14:30:57.640,      -0.00,       -0.00,       -0.00,       0.01
2024-09-30T14:30:58.189,       0.01,       -0.01,       -0.01,       0.02
2024-09-30T14:30:58.705,       0.00,       -0.01,        0.01,       0.01
2024-09-30T14:30:59.223,       0.00,        0.01,        0.02,       0.02
2024-09-30T14:30:59.772,      -0.00,       -0.00,        0.01,       0.01
2024-09-30T14:31:00.286,       0.01,        0.02,        0.04,       0.05
2024-09-30T14:31:00.786,      -0.00,        0.01,        0.02,       0.02
2024-09-30T14:31:01.301,       0.00,       -0.01,       -0.05,       0.05
2024-09-30T14:31:01.800,       0.00,        0.01,        0.01,       0.02
2024-09-30T14:31:02.317,      -0.01,       -0.00,       -0.01,       0.02
2024-09-30T14:31:02.867,       0.00,        0.00,        0.02,       0.02
2024-09-30T14:31:03.383,       0.00,       -0.01,       -0.00,       0.01
2024-09-30T14:31:03.899,      -0.00,        0.02,        0.07,       0.07
2024-09-30T14:31:04.415,       0.01,       -0.02,       -0.02,       0.03
2024-09-30T14:31:04.966,       0.00,        0.00,        0.02,       0.02
2024-09-30T14:31:05.481,       0.00,       -0.00,        0.00,       0.00
2024-09-30T14:31:06.029,      -0.01,       -0.00,       -0.01,       0.01
2024-09-30T14:31:06.546,       0.01,        0.00,        0.01,       0.01
2024-09-30T14:31:07.047,       0.01,        0.01,        0.01,       0.02
2024-09-30T14:31:07.562,       0.00,        0.00,       -0.00,       0.01
2024-09-30T14:31:08.076,       0.01,        0.01,       -0.01,       0.02
2024-09-30T14:31:08.578,       0.01,        0.00,       -0.02,       0.02
2024-09-30T14:31:09.093,       0.01,        0.00,       -0.02,       0.02
2024-09-30T14:31:09.610,       0.00,       -0.01,       -0.02,       0.02
2024-09-30T14:31:10.110,       0.00,       -0.00,        0.02,       0.02
2024-09-30T14:31:10.677,       0.01,        0.00,       -0.02,       0.03
2024-09-30T14:31:11.177,      -0.01,        0.01,       -0.01,       0.01
2024-09-30T14:31:11.691,       0.00,        0.01,        0.02,       0.02
2024-09-30T14:31:12.207,      -0.00,        0.00,       -0.02,       0.02
2024-09-30T14:31:12.708,       0.01,        0.00,       -0.02,       0.02
2024-09-30T14:31:13.221,      -0.01,       -0.01,       -0.03,       0.04
2024-09-30T14:31:13.773,       0.01,        0.02,        0.00,       0.02
2024-09-30T14:31:14.289,       0.00,       -0.01,       -0.03,       0.03
2024-09-30T14:31:14.804,       0.00,        0.01,       -0.02,       0.02
2024-09-30T14:31:15.304,       0.00,        0.01,        0.03,       0.03
2024-09-30T14:31:15.819,       0.01,        0.01,        0.00,       0.02
2024-09-30T14:31:16.321,      -0.00,        0.01,        0.02,       0.02
2024-09-30T14:31:16.834,       0.00,        0.01,        0.01,       0.02
2024-09-30T14:31:17.351,       0.01,        0.02,        0.00,       0.02
2024-09-30T14:31:17.853,       0.01,        0.01,        0.01,       0.02
2024-09-30T14:31:18.400,       0.01,       -0.01,        0.02,       0.02
2024-09-30T14:31:18.915,       0.02,        0.01,       -0.01,       0.03
2024-09-30T14:31:19.433,      -0.00,        0.01,        0.01,       0.02
2024-09-30T14:31:19.980,      -0.00,       -0.01,        0.02,       0.03
2024-09-30T14:31:20.500,       0.00,       -0.01,       -0.01,       0.02
2024-09-30T14:31:21.014,       0.00,        0.01,       -0.02,       0.02
2024-09-30T14:31:21.514,       0.01,        0.00,       -0.02,       0.03
2024-09-30T14:31:22.031,       0.01,        0.02,       -0.01,       0.02
2024-09-30T14:31:22.580,      -0.01,        0.01,        0.02,       0.03
2024-09-30T14:31:23.097,      -0.01,        0.01,       -0.01,       0.01
2024-09-30T14:31:23.611,      -0.00,        0.01,        0.00,       0.01
2024-09-30T14:31:24.162,      -0.01,       -0.00,       -0.02,       0.02
2024-09-30T14:31:24.677,      -0.01,        0.00,       -0.01,       0.02
2024-09-30T14:31:25.193,       0.01,       -0.01,       -0.02,       0.03
2024-09-30T14:31:25.693,      -0.00,        0.02,        0.01,       0.02
2024-09-30T14:31:26.209,       0.00,       -0.02,       -0.04,       0.04
2024-09-30T14:31:26.758,      -0.00,        0.02,       -0.01,       0.02
2024-09-30T14:31:27.274,      -0.00,        0.01,        0.02,       0.03
2024-09-30T14:31:27.792,      -0.00,       -0.00,       -0.01,       0.01
2024-09-30T14:31:28.305,       0.00,        0.00,       -0.02,       0.03
2024-09-30T14:31:28.857,       0.00,       -0.00,       -0.05,       0.05
2024-09-30T14:31:29.372,       0.00,        0.00,       -0.02,       0.02
2024-09-30T14:31:29.922,      -0.01,       -0.01,        0.00,       0.01
2024-09-30T14:31:30.436,      -0.00,       -0.00,        0.00,       0.01
2024-09-30T14:31:30.953,       0.00,        0.00,        0.01,       0.01
2024-09-30T14:31:31.454,       0.01,        0.00,       -0.00,       0.01
