Time,X,Y,Z,Displacement [mm]
2024-09-30T14:21:01.179,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:21:01.179,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:21:01.268,       0.00,        0.00,        0.00,        NaN
2024-09-30T14:21:17.962,        NaN,         NaN,         NaN,        NaN
2024-09-30T14:21:18.000,        NaN,         NaN,         NaN,        NaN
2024-09-30T14:21:38.123,        NaN,         NaN,         NaN,        NaN
2024-09-30T14:21:38.224,      -0.00,       -0.00,       -0.02,       0.02
2024-09-30T14:21:38.724,      -0.02,       -0.01,        0.01,       0.02
2024-09-30T14:21:39.240,      -0.03,       -0.01,       -0.00,       0.03
2024-09-30T14:21:39.754,      -0.02,       -0.01,        0.02,       0.03
2024-09-30T14:21:40.269,      -0.03,        0.02,        0.07,       0.07
2024-09-30T14:21:40.770,      -0.02,        0.01,        0.03,       0.04
2024-09-30T14:21:41.287,      -0.02,       -0.00,        0.03,       0.04
2024-09-30T14:21:41.837,      -0.01,        0.01,        0.04,       0.05
2024-09-30T14:21:42.353,      -0.03,        0.02,        0.07,       0.07
2024-09-30T14:21:42.867,      -0.02,        0.01,        0.03,       0.04
2024-09-30T14:21:43.515,      -0.03,        0.01,        0.05,       0.06
2024-09-30T14:21:44.016,      -0.03,       -0.01,        0.03,       0.04
2024-09-30T14:21:44.515,      -0.03,        0.01,        0.04,       0.05
2024-09-30T14:21:45.032,      -0.01,       -0.00,        0.01,       0.01
2024-09-30T14:21:45.549,      -0.02,        0.00,        0.04,       0.04
2024-09-30T14:21:46.063,      -0.02,       -0.01,       -0.00,       0.03
2024-09-30T14:21:46.579,      -0.02,       -0.02,        0.02,       0.03
2024-09-30T14:21:47.080,      -0.01,       -0.01,        0.01,       0.02
2024-09-30T14:21:47.596,      -0.03,       -0.01,        0.05,       0.06
2024-09-30T14:21:48.111,      -0.02,        0.01,        0.06,       0.06
2024-09-30T14:21:48.627,      -0.02,       -0.00,        0.06,       0.07
2024-09-30T14:21:49.129,      -0.03,       -0.01,        0.05,       0.06
2024-09-30T14:21:49.643,      -0.02,        0.01,        0.05,       0.06
2024-09-30T14:21:50.159,      -0.02,       -0.00,        0.03,       0.04
2024-09-30T14:21:50.661,      -0.01,        0.01,        0.04,       0.05
2024-09-30T14:21:51.176,      -0.03,       -0.00,        0.02,       0.03
2024-09-30T14:21:51.691,      -0.02,        0.01,        0.02,       0.02
2024-09-30T14:21:52.192,      -0.01,       -0.00,        0.02,       0.02
2024-09-30T14:21:52.706,      -0.02,       -0.01,        0.02,       0.03
2024-09-30T14:21:53.221,      -0.02,        0.02,        0.04,       0.05
2024-09-30T14:21:53.790,      -0.02,        0.00,        0.05,       0.06
